# ----------------------------------------
# Alexa Internet
# Audience Overlaps for slate.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
slate.com,100,1383
theatlantic.com,27.1,901
vox.com,25.5,1117
npr.org,25.1,599
thehill.com,23.8,829
newyorker.com,23.4,1459
politico.com,23.4,1074
thedailybeast.com,23.3,1288
washingtonpost.com,23.1,226
nbcnews.com,21.4,912
latimes.com,21.1,998
newsweek.com,20.6,1604
cbsnews.com,20,750
vanityfair.com,19.9,2884
huffingtonpost.com,19.8,334
nymag.com,19.8,2241
nytimes.com,19.3,117
usatoday.com,19.3,440
abcnews.go.com,19,1081
time.com,18.7,767
nypost.com,18.6,734
businessinsider.com,18.2,373
nydailynews.com,18.2,1835
vulture.com,18.1,1574
cnn.com,17.8,104
chicagotribune.com,17.1,2019
cnbc.com,17.1,555
foxnews.com,16.8,258
wsj.com,16.7,546
rollingstone.com,16.5,1946
vice.com,16.5,166
gizmodo.com,16.4,508
hollywoodreporter.com,16.4,1612
avclub.com,16.2,1466
variety.com,16.1,1420
wired.com,16.1,1353
snopes.com,15.6,2302
theguardian.com,15.5,140
independent.co.uk,15.4,514
people.com,15.3,995
qz.com,15.3,2156
buzzfeed.com,15.2,206
ew.com,15.2,2073
salon.com,15.2,5417
thinkprogress.org,15.1,5070
theverge.com,14.9,443
reuters.com,14.7,580
pbs.org,14.5,1918
fivethirtyeight.com,14.4,1816
motherjones.com,14.3,7484
deadline.com,14.2,2314
fortune.com,13.5,2689
bustle.com,13.4,1387
mashable.com,13.4,1518
gq.com,13.1,2707
theroot.com,13.1,3108
telegraph.co.uk,13,553
axios.com,12.9,4585
cbslocal.com,12.8,2160
msnbc.com,12.8,2869
thecut.com,12.8,3757
usnews.com,12.8,821
bloomberg.com,12.7,444
deadspin.com,12.6,1131
marketwatch.com,12.6,1149
go.com,12.4,434
indiewire.com,12.4,3223
forbes.com,12.3,252
techcrunch.com,12.2,893
dailymail.co.uk,11.9,158
apnews.com,11.7,3370
bostonglobe.com,11.6,4602
jezebel.com,11.6,2690
theweek.com,11.6,7619
tmz.com,11.5,1137
theonion.com,11.4,3475
washingtonexaminer.com,11.4,7553
yelp.com,11.4,185
esquire.com,11.3,2317
rottentomatoes.com,11.3,400
urbandictionary.com,11.3,507
mentalfloss.com,11.2,3504
scientificamerican.com,11.2,4025
arstechnica.com,11.1,1236
lifehacker.com,11.1,676
redd.it,11.1,247
economist.com,10.9,2378
politifact.com,10.9,9880
psychologytoday.com,10.9,1553
smithsonianmag.com,10.9,6064
cbc.ca,10.7,984
fastcompany.com,10.7,3471
thrillist.com,10.6,2063
today.com,10.6,3673
pitchfork.com,10.5,1190
sbnation.com,10.5,2103
bleacherreport.com,10.4,617
cbssports.com,10.4,602
nationalreview.com,10.4,6233
newrepublic.com,10.4,15481
livescience.com,10.3,2377
nationalgeographic.com,10.3,1641
knowyourmeme.com,10.1,885
weather.com,10,261
complex.com,9.9,2717
history.com,9.9,2081
thewrap.com,9.9,7454
eater.com,9.8,2327
sfgate.com,9.8,1258
zillow.com,9.8,230
news.com.au,9.6,897
eventbrite.com,9.5,667
refinery29.com,9.4,2759
uproxx.com,9.4,4562
bbc.co.uk,9.3,101
theconversation.com,9.3,3776
howstuffworks.com,9.1,2099
ticketmaster.com,9.1,803
gfycat.com,9,266
pagesix.com,9,2824
allrecipes.com,8.9,977
craigslist.org,8.9,107
hulu.com,8.9,234
irs.gov,8.9,694
usps.com,8.9,370
thesun.co.uk,8.6,837
mirror.co.uk,8.5,1167
abc.net.au,8.3,1053
express.co.uk,8.2,634
washingtontimes.com,8.2,7141
realclearpolitics.com,7.9,5507
britannica.com,7.7,1257
aol.com,7.3,325
biography.com,6.3,5287
bbc.com,4,92
imdb.com,2.3,57
quora.com,2.3,100
