# ----------------------------------------
# Alexa Internet
# Audience Overlaps for economist.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
economist.com,100,2378
ft.com,21.1,1870
theatlantic.com,17.2,901
qz.com,15.4,2156
newyorker.com,15.2,1459
wsj.com,15.1,546
reuters.com,14.9,580
vox.com,14.4,1117
cnbc.com,14.3,555
hbr.org,13.4,3304
bloomberg.com,13.2,444
investopedia.com,13.2,624
brookings.edu,12.8,10320
fortune.com,12.8,2689
npr.org,12.8,599
washingtonpost.com,12.6,226
weforum.org,12.6,6771
nytimes.com,12.3,117
businessinsider.com,12.2,373
theconversation.com,12.2,3776
theguardian.com,12.2,140
politico.com,11.9,1074
aljazeera.com,11.7,2543
independent.co.uk,11.5,514
thehill.com,11.3,829
worldbank.org,11.3,2700
statista.com,11.2,2389
slate.com,10.9,1383
foreignpolicy.com,10.8,13184
scmp.com,10.8,3228
time.com,10.8,767
wired.com,10.7,1353
forbes.com,10.6,252
newsweek.com,10.6,1604
telegraph.co.uk,10.6,553
latimes.com,10.4,998
cnn.com,10.3,104
jstor.org,10.3,1145
marketwatch.com,10.2,1149
nbcnews.com,10,912
fastcompany.com,9.9,3471
huffingtonpost.com,9.9,334
cbsnews.com,9.7,750
harvard.edu,9.6,792
techcrunch.com,9.6,893
fivethirtyeight.com,9.5,1816
inc.com,9.5,2041
usnews.com,9.5,821
thedailybeast.com,9.4,1288
usatoday.com,9.4,440
stanford.edu,9.2,681
vice.com,9.2,166
mckinsey.com,8.9,6292
bbc.co.uk,8.8,101
vanityfair.com,8.8,2884
oecd.org,8.7,6744
abcnews.go.com,8.5,1081
nymag.com,8.5,2241
nypost.com,8.5,734
scientificamerican.com,8.5,4025
technologyreview.com,8.5,8499
britannica.com,8.4,1257
bbc.com,8.3,92
tandfonline.com,8.3,698
pbs.org,8.2,1918
seekingalpha.com,8.2,2012
sagepub.com,8,1195
tradingeconomics.com,8,6097
chicagotribune.com,7.9,2019
europa.eu,7.9,726
cbc.ca,7.8,984
foxnews.com,7.8,258
imf.org,7.8,11734
theverge.com,7.8,443
abc.net.au,7.6,1053
theglobeandmail.com,7.6,3459
economicshelp.org,7.5,23010
nationalgeographic.com,7.5,1641
lse.ac.uk,7.4,8235
yale.edu,7.4,3013
cfr.org,7.3,22979
thebalance.com,7.3,1255
un.org,7.3,1798
upenn.edu,7.3,2396
axios.com,7.2,4585
thediplomat.com,7.2,19431
merriam-webster.com,7.1,741
history.com,7,2081
nationalreview.com,7,6233
pewresearch.org,7,15082
smithsonianmag.com,6.9,6064
businessdictionary.com,6.8,4330
newrepublic.com,6.8,15481
thesaurus.com,6.8,284
medium.com,6.7,268
coindesk.com,6.6,3133
columbia.edu,6.6,1844
psychologytoday.com,6.6,1553
hbs.edu,6.5,13451
rollingstone.com,6.5,1946
ssrn.com,6.5,8542
berkeley.edu,6.4,999
buzzfeed.com,6.4,206
gq.com,6.4,2707
nber.org,6.4,17884
arstechnica.com,6.3,1236
gizmodo.com,6.3,508
motherjones.com,6.3,7484
purdue.edu,6.3,1324
straitstimes.com,6.3,3958
variety.com,6.3,1420
cornell.edu,6.2,1389
vulture.com,6.2,1574
foreignaffairs.com,6.1,26911
mashable.com,6.1,1518
nydailynews.com,6.1,1835
oup.com,6.1,1054
apnews.com,6,3370
glassdoor.com,6,401
go.com,6,434
hollywoodreporter.com,6,1612
irishtimes.com,6,4392
politico.eu,6,17574
uchicago.edu,6,2643
cia.gov,5.9,9244
citylab.com,5.9,12881
haaretz.com,5.9,7310
politifact.com,5.9,9880
thenation.com,5.8,17564
heritage.org,5.7,24420
stlouisfed.org,5.7,18125
worldatlas.com,5.6,8343
bigthink.com,5.5,10430
encyclopedia.com,5.4,10173
japantimes.co.jp,5.4,4962
magoosh.com,4.9,6679
dw.com,2.5,1126
poetsandquants.com,2.3,37423
gmatclub.com,2,11747
pri.org,1.8,28210
voanews.com,1.8,3153
csmonitor.com,1.5,19613
mises.org,1.5,28498
salon.com,1.5,5417
econlib.org,1.4,62567
