# ----------------------------------------
# Alexa Internet
# Audience Overlaps for vanityfair.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
vanityfair.com,100,2884
hollywoodreporter.com,29.4,1612
vulture.com,28.7,1574
variety.com,26.7,1420
people.com,26.5,995
thedailybeast.com,25.8,1288
vox.com,25.4,1117
ew.com,25.2,2073
deadline.com,25,2314
newyorker.com,24.9,1459
thehill.com,24.8,829
politico.com,23.9,1074
newsweek.com,23,1604
theatlantic.com,21.3,901
avclub.com,21.2,1466
indiewire.com,21.2,3223
latimes.com,21.2,998
rollingstone.com,21.2,1946
nymag.com,20.6,2241
nypost.com,20,734
npr.org,19.9,599
slate.com,19.9,1383
eonline.com,19.8,2350
nydailynews.com,19.8,1835
abcnews.go.com,19.6,1081
nbcnews.com,19.5,912
pagesix.com,19.4,2824
washingtonpost.com,19.4,226
cbsnews.com,19.1,750
usatoday.com,18.5,440
gq.com,17.7,2707
time.com,17.6,767
usmagazine.com,17.2,3813
independent.co.uk,17.1,514
foxnews.com,17,258
thewrap.com,17,7454
bustle.com,16.5,1387
nytimes.com,16.5,117
cnbc.com,16.3,555
businessinsider.com,16.1,373
chicagotribune.com,15.9,2019
cnn.com,15.9,104
tmz.com,15.9,1137
huffingtonpost.com,15.7,334
wsj.com,15.6,546
thecut.com,15.5,3757
cinemablend.com,15.4,4505
axios.com,15.3,4585
vice.com,15.2,166
theverge.com,15.1,443
thinkprogress.org,15,5070
esquire.com,14.8,2317
refinery29.com,14.8,2759
buzzfeed.com,14.5,206
popsugar.com,14.5,1813
rottentomatoes.com,14.4,400
screenrant.com,14.4,2158
vogue.com,14.4,3886
dailymail.co.uk,14.2,158
collider.com,14.1,4234
msnbc.com,14,2869
snopes.com,14,2302
telegraph.co.uk,13.9,553
theguardian.com,13.9,140
gizmodo.com,13.8,508
qz.com,13.6,2156
fortune.com,13.4,2689
reuters.com,13.4,580
mashable.com,13.3,1518
salon.com,13.3,5417
theroot.com,13.2,3108
uproxx.com,13.1,4562
wired.com,13.1,1353
digitalspy.com,13,2213
apnews.com,12.9,3370
etonline.com,12.9,11891
nme.com,12.8,3898
express.co.uk,12.7,634
news.com.au,12.7,897
thesun.co.uk,12.7,837
jezebel.com,12.6,2690
harpersbazaar.com,12.4,5523
mercurynews.com,12.4,4540
theringer.com,12.4,1839
theweek.com,12.4,7619
washingtonexaminer.com,12.4,7553
bloomberg.com,12.3,444
fivethirtyeight.com,12.3,1816
billboard.com,12.2,1172
cosmopolitan.com,12.2,2024
metro.co.uk,12.2,1640
motherjones.com,12.2,7484
comicbook.com,12.1,1029
go.com,12.1,434
today.com,11.7,3673
denofgeek.com,11.6,3482
theonion.com,11.6,3475
elle.com,11.5,4027
mirror.co.uk,11.5,1167
pitchfork.com,11.5,1190
thrillist.com,11.5,2063
townandcountrymag.com,11.5,11290
bostonglobe.com,11.4,4602
deadspin.com,11.4,1131
forbes.com,11.4,252
marketwatch.com,11.4,1149
complex.com,11.3,2717
cbc.ca,11.2,984
polygon.com,11.1,943
thisisinsider.com,11.1,5292
cbslocal.com,11,2160
hollywoodlife.com,10.9,8413
redd.it,10.9,247
eater.com,10.8,2327
slashfilm.com,10.8,4508
yelp.com,10.7,185
biography.com,10.5,5287
nerdist.com,10.3,7502
tvline.com,10.3,5113
arstechnica.com,10.2,1236
elitedaily.com,10.2,5360
wmagazine.com,10.2,21467
inverse.com,10.1,7182
bleacherreport.com,9.8,617
hellogiggles.com,9.8,9879
techcrunch.com,9.7,893
justjared.com,9.6,5081
miamiherald.com,9.6,4021
usnews.com,9.5,821
glamour.com,9.4,8632
gofundme.com,9.4,1618
newrepublic.com,9.3,15481
tvguide.com,9.3,2607
sfgate.com,9.2,1258
gfycat.com,9.1,266
weather.com,9,261
metacritic.com,8.9,1222
aol.com,8.8,325
radiotimes.com,8.6,5611
rogerebert.com,8.3,9683
imdb.com,4.1,57
hellomagazine.com,3.1,786
bbc.com,2.8,92
