# ----------------------------------------
# Alexa Internet
# Audience Overlaps for theatlantic.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
theatlantic.com,100,901
npr.org,33.3,599
vox.com,32.9,1117
washingtonpost.com,32.5,226
newyorker.com,31.6,1459
nytimes.com,30,117
slate.com,27.1,1383
politico.com,26.7,1074
huffingtonpost.com,26.3,334
cnn.com,25.7,104
thehill.com,25.6,829
time.com,25.6,767
latimes.com,25.3,998
theguardian.com,24.8,140
nbcnews.com,24.6,912
usatoday.com,24.6,440
businessinsider.com,24.1,373
newsweek.com,24.1,1604
cbsnews.com,24,750
thedailybeast.com,23,1288
cnbc.com,22.4,555
independent.co.uk,21.5,514
vanityfair.com,21.3,2884
wsj.com,21.3,546
abcnews.go.com,21.1,1081
qz.com,20.9,2156
nymag.com,20.7,2241
nypost.com,20.7,734
vice.com,20.7,166
wired.com,20.5,1353
foxnews.com,20.4,258
reuters.com,19.5,580
vulture.com,19.5,1574
theverge.com,19.4,443
forbes.com,18.8,252
buzzfeed.com,18.7,206
variety.com,18.6,1420
pbs.org,18.4,1918
rollingstone.com,18.2,1946
chicagotribune.com,18.1,2019
bloomberg.com,17.9,444
hollywoodreporter.com,17.9,1612
gizmodo.com,17.7,508
usnews.com,17.7,821
nydailynews.com,17.6,1835
telegraph.co.uk,17.6,553
economist.com,17.2,2378
fortune.com,17.1,2689
snopes.com,17.1,2302
psychologytoday.com,16.7,1553
avclub.com,15.8,1466
bustle.com,15.7,1387
fivethirtyeight.com,15.6,1816
people.com,15.4,995
dailymail.co.uk,15.3,158
history.com,15.3,2081
yelp.com,15.2,185
techcrunch.com,15,893
scientificamerican.com,14.7,4025
medium.com,14.6,268
gq.com,14.5,2707
mashable.com,14.4,1518
go.com,14.3,434
marketwatch.com,14.3,1149
deadline.com,14.2,2314
ew.com,14.2,2073
fastcompany.com,14.2,3471
nationalgeographic.com,14.2,1641
bbc.com,14,92
redd.it,14,247
rottentomatoes.com,14,400
theconversation.com,13.9,3776
thesaurus.com,13.9,284
urbandictionary.com,13.9,507
smithsonianmag.com,13.3,6064
cbc.ca,13.2,984
harvard.edu,13.2,792
lifehacker.com,13.2,676
bbc.co.uk,13.1,101
thecut.com,13.1,3757
cbslocal.com,12.9,2160
indiewire.com,12.8,3223
livescience.com,12.8,2377
thrillist.com,12.8,2063
motherjones.com,12.7,7484
britannica.com,12.4,1257
mentalfloss.com,12.4,3504
weather.com,12.4,261
bostonglobe.com,12.3,4602
stanford.edu,12.3,681
thinkprogress.org,12.3,5070
arstechnica.com,12.2,1236
esquire.com,12.2,2317
merriam-webster.com,12.2,741
quora.com,12.2,100
eventbrite.com,12.1,667
ft.com,12,1870
salon.com,12,5417
zillow.com,12,230
axios.com,11.9,4585
theroot.com,11.9,3108
webmd.com,11.9,560
nationalreview.com,11.6,6233
apnews.com,11.5,3370
craigslist.org,11.5,107
goodreads.com,11.5,352
hbr.org,11.5,3304
msnbc.com,11.5,2869
politifact.com,11.5,9880
dictionary.com,11.3,534
gfycat.com,11.3,266
theonion.com,11.2,3475
express.co.uk,11.1,634
thesun.co.uk,11.1,837
newrepublic.com,11,15481
sfgate.com,11,1258
aljazeera.com,10.9,2543
eater.com,10.8,2327
espn.com,10.8,99
washingtonexaminer.com,10.8,7553
bleacherreport.com,10.7,617
deadspin.com,10.7,1131
abc.net.au,10.6,1053
pitchfork.com,10.6,1190
cbssports.com,10.5,602
hulu.com,10.5,234
ticketmaster.com,10.5,803
airbnb.com,10.4,297
intuit.com,10.4,294
usps.com,10.4,370
brookings.edu,10.2,10320
thenation.com,9,17564
foreignpolicy.com,8.6,13184
biography.com,8.4,5287
pewresearch.org,8.3,15082
realclearpolitics.com,8.1,5507
wikiquote.org,6.8,4053
imdb.com,2.8,57
wikipedia.org,2.4,5
