# ----------------------------------------
# Alexa Internet
# Audience Overlaps for nydailynews.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
nydailynews.com,100,1835
nypost.com,36.8,734
abcnews.go.com,28.3,1081
cbsnews.com,28.3,750
foxnews.com,27.8,258
people.com,27.3,995
nbcnews.com,26.8,912
thehill.com,26.3,829
usatoday.com,26.1,440
latimes.com,26,998
thedailybeast.com,25.2,1288
newsweek.com,24.3,1604
tmz.com,24,1137
washingtonpost.com,24,226
politico.com,23.3,1074
cbslocal.com,22.6,2160
npr.org,22.5,599
chicagotribune.com,21.9,2019
pagesix.com,21,2824
cnn.com,20.4,104
hollywoodreporter.com,20.3,1612
nytimes.com,20.1,117
vanityfair.com,19.8,2884
dailymail.co.uk,19.5,158
cnbc.com,19.2,555
huffingtonpost.com,19.2,334
nymag.com,19.2,2241
wsj.com,19.2,546
variety.com,18.5,1420
vox.com,18.3,1117
businessinsider.com,18.2,373
slate.com,18.2,1383
bleacherreport.com,17.9,617
time.com,17.8,767
ew.com,17.7,2073
deadline.com,17.6,2314
theatlantic.com,17.6,901
eonline.com,17.5,2350
rollingstone.com,17.4,1946
newyorker.com,17.1,1459
reuters.com,17.1,580
snopes.com,17,2302
usmagazine.com,16.9,3813
cbssports.com,16.3,602
independent.co.uk,16.2,514
vulture.com,16,1574
go.com,15.9,434
si.com,15.7,1967
usnews.com,15.5,821
miamiherald.com,15.3,4021
nj.com,15.3,3928
sbnation.com,15.3,2103
espn.com,15,99
mercurynews.com,15,4540
apnews.com,14.8,3370
deadspin.com,14.8,1131
vice.com,14.8,166
bloomberg.com,14.2,444
buzzfeed.com,14.2,206
nbcsports.com,14.2,1375
avclub.com,14.1,1466
marketwatch.com,14,1149
thesun.co.uk,14,837
gizmodo.com,13.8,508
patch.com,13.8,468
yelp.com,13.6,185
thewrap.com,13.5,7454
washingtonexaminer.com,13.5,7553
today.com,13.4,3673
theroot.com,13.3,3108
fortune.com,13.2,2689
mirror.co.uk,13.2,1167
mlb.com,13.2,445
telegraph.co.uk,13.2,553
aol.com,13.1,325
nfl.com,13.1,1271
breitbart.com,12.9,318
heavy.com,12.9,1379
axios.com,12.8,4585
sfgate.com,12.8,1258
theguardian.com,12.8,140
news.com.au,12.7,897
thinkprogress.org,12.7,5070
msnbc.com,12.6,2869
weather.com,12.6,261
bostonglobe.com,12.5,4602
forbes.com,12.4,252
mashable.com,12.4,1518
bustle.com,12.3,1387
theverge.com,12.3,443
complex.com,12.2,2717
metro.co.uk,12.2,1640
salon.com,12.2,5417
billboard.com,11.9,1172
zillow.com,11.9,230
qz.com,11.8,2156
wired.com,11.8,1353
washingtontimes.com,11.7,7141
theweek.com,11.6,7619
hollywoodlife.com,11.3,8413
fivethirtyeight.com,11.2,1816
redd.it,11.1,247
eater.com,10.8,2327
sportingnews.com,10.7,5692
ticketmaster.com,10.7,803
usps.com,10.7,370
craigslist.org,10.6,107
gofundme.com,10.6,1618
caranddriver.com,10.4,3762
etonline.com,10.4,11891
express.co.uk,10.4,634
newsday.com,10.4,11845
techcrunch.com,10.4,893
uproxx.com,10.4,4562
arstechnica.com,10.3,1236
nbcnewyork.com,10.3,19187
foxsports.com,10.2,4509
chase.com,10.1,138
eventbrite.com,9.8,667
homedepot.com,9.8,374
nyc.gov,9.8,3794
theonion.com,9.8,3475
irs.gov,9.7,694
ncaa.com,9.6,2037
ajc.com,9.3,7678
ranker.com,9.2,1292
abc7ny.com,9,23098
globalnews.ca,9,3215
edmunds.com,8.8,3259
tvguide.com,8.3,2607
biography.com,8.1,5287
justjared.com,6.9,5081
motortrend.com,6.8,8883
pix11.com,6.2,38171
msn.com,3.5,50
bbc.com,3.2,92
imdb.com,2.8,57
