# ----------------------------------------
# Alexa Internet
# Audience Overlaps for si.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
si.com,100,1967
cbssports.com,54.3,602
sbnation.com,50,2103
bleacherreport.com,46.4,617
espn.com,41.4,99
sportingnews.com,38.2,5692
nfl.com,36.5,1271
nbcsports.com,36.4,1375
foxsports.com,30,4509
ncaa.com,26.8,2037
247sports.com,26.6,2090
nba.com,26.1,482
deadspin.com,24.4,1131
usatoday.com,23.4,440
mlb.com,22.5,445
theringer.com,22,1839
basketball-reference.com,19.9,2952
fivethirtyeight.com,17.7,1816
nypost.com,17.5,734
landof10.com,16.5,16360
baseball-reference.com,16.1,3028
nydailynews.com,15.7,1835
nj.com,15.6,3928
tmz.com,15.5,1137
washingtonpost.com,15.4,226
latimes.com,14.9,998
rotoworld.com,14.3,3235
chicagotribune.com,14,2019
cbsnews.com,13.5,750
pro-football-reference.com,13.5,13717
abcnews.go.com,13.4,1081
cbslocal.com,13.2,2160
stubhub.com,13.1,2021
nesn.com,13,12077
seccountry.com,12.7,19926
foxnews.com,12.4,258
nhl.com,12.4,811
standard.co.uk,12.2,3860
buffstreamz.com,12,2176
businessinsider.com,12,373
newsweek.com,12,1604
npr.org,11.9,599
nbcnews.com,11.7,912
mercurynews.com,11.6,4540
ticketmaster.com,11.6,803
people.com,11.4,995
complex.com,11.3,2717
nytimes.com,11.3,117
thehill.com,11.2,829
thesun.co.uk,11.1,837
sports-reference.com,11,19919
streamable.com,10.9,1496
zddxlih.com,10.8,2369
bostonglobe.com,10.7,4602
cnn.com,10.7,104
uproxx.com,10.7,4562
mirror.co.uk,10.6,1167
skysports.com,10.5,1072
goal.com,10.4,708
politico.com,10.3,1074
thedailybeast.com,10.2,1288
gq.com,10.1,2707
time.com,10.1,767
cnbc.com,10,555
deadline.com,10,2314
express.co.uk,10,634
fansided.com,10,18009
forbes.com,10,252
cleveland.com,9.9,8040
hollywoodreporter.com,9.9,1612
thebiglead.com,9.9,24627
wsj.com,9.9,546
masters.com,9.8,8286
miamiherald.com,9.8,4021
ripple.is,9.8,3176
sportsnet.ca,9.8,6279
heavy.com,9.6,1379
independent.co.uk,9.5,514
theathletic.com,9.5,7987
yelp.com,9.5,185
slate.com,9.4,1383
variety.com,9.4,1420
weather.com,9.4,261
rollingstone.com,9.3,1946
totalsportek.com,9.3,4331
vox.com,9.3,1117
spotrac.com,9.2,15847
dailystar.co.uk,9.1,2461
philly.com,9.1,7144
dallasnews.com,9,8437
go.com,8.9,434
theatlantic.com,8.9,901
theplayerstribune.com,8.9,18822
vulture.com,8.9,1574
newsday.com,8.8,11845
realgm.com,8.8,8890
oregonlive.com,8.7,6291
zillow.com,8.7,230
denverpost.com,8.6,9148
eater.com,8.6,2327
redd.it,8.6,247
vanityfair.com,8.6,2884
barstoolsports.com,8.5,1809
theverge.com,8.5,443
usnews.com,8.5,821
newyorker.com,8.4,1459
avclub.com,8.3,1466
nymag.com,8.3,2241
theundefeated.com,8.3,24861
al.com,8.1,10026
bloomberg.com,8.1,444
walterfootball.com,8.1,20653
huffingtonpost.com,8,334
sasastreams.pw,8,14631
pagesix.com,7.9,2824
ew.com,7.8,2073
gfycat.com,7.8,266
hbogo.com,7.8,1273
oddsshark.com,7.8,17831
reuters.com,7.8,580
pitchfork.com,7.7,1190
thrillist.com,7.7,2063
theonion.com,7.6,3475
apnews.com,7.5,3370
fantasypros.com,7.5,10682
marketwatch.com,7.5,1149
vice.com,7.5,166
espn.co.uk,7.3,11625
kansascity.com,7.3,11846
hoopshype.com,6.6,17002
ajc.com,6.5,7678
sportskeeda.com,6.3,4177
foxsports.com.au,6.1,8189
slamonline.com,6.1,37031
upi.com,6.1,12739
awfulannouncing.com,5.9,43823
freep.com,5.7,11545
bostonherald.com,5.6,19284
eurosport.com,5.2,4637
nbcolympics.com,4.1,71775
boston.com,3.5,5153
olympic.org,3.5,26565
scout.com,3.4,29808
msn.com,3.3,50
ticketcity.com,2.7,72176
espn.com.au,2.6,25281
patriots.com,2.6,44830
aol.com,2.4,325
athlonsports.com,2.3,58913
indystar.com,2.3,31214
landofbasketball.com,2.3,58238
herosports.com,2.2,75700
sportsonearth.com,2.1,214103
biography.com,2,5287
bleedinggreennation.com,2,23787
fifa.com,2,1429
profootballhof.com,2,166691
teamusa.org,2,29356
