# ----------------------------------------
# Alexa Internet
# Audience Overlaps for teenvogue.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
teenvogue.com,100,10423
seventeen.com,14.8,15794
allure.com,13.7,7755
glamour.com,13.1,8632
refinery29.com,13.1,2759
elle.com,11.9,4027
hellogiggles.com,11.5,9879
vogue.com,11.3,3886
instyle.com,11.1,11264
cosmopolitan.com,11,2024
bustle.com,10.4,1387
usmagazine.com,10.2,3813
thecut.com,10.1,3757
harpersbazaar.com,10,5523
eonline.com,9.9,2350
people.com,9.9,995
elitedaily.com,9.8,5360
wmagazine.com,9.8,21467
hollywoodlife.com,9.4,8413
popsugar.com,9.2,1813
vanityfair.com,9.1,2884
vulture.com,8.7,1574
stylecaster.com,8.6,11699
thisisinsider.com,8.6,5292
etonline.com,8.5,11891
justjared.com,8.1,5081
theroot.com,8.1,3108
jezebel.com,7.8,2690
justjaredjr.com,7.8,27128
sephora.com,7.7,1400
ew.com,7.6,2073
buzzfeed.com,7.5,206
marieclaire.com,7.5,11502
nymag.com,7.5,2241
fashionista.com,7.3,24478
vox.com,7.2,1117
pagesix.com,7.1,2824
billboard.com,7,1172
gq.com,7,2707
hollywoodreporter.com,7,1612
racked.com,6.8,15116
theodysseyonline.com,6.8,6523
deadline.com,6.5,2314
rollingstone.com,6.5,1946
thedailybeast.com,6.5,1288
variety.com,6.4,1420
hercampus.com,6.3,17051
metro.co.uk,6.3,1640
slate.com,6.3,1383
newyorker.com,6.2,1459
nydailynews.com,6.1,1835
famousbirthdays.com,6,2781
mtv.com,6,5207
newsweek.com,6,1604
self.com,6,6612
thefader.com,6,9878
tmz.com,6,1137
today.com,6,3673
byrdie.com,5.9,23493
ulta.com,5.9,3375
vogue.co.uk,5.9,19094
womenshealthmag.com,5.9,8257
complex.com,5.8,2717
huffingtonpost.com,5.8,334
nbcnews.com,5.8,912
thehill.com,5.8,829
avclub.com,5.7,1466
nme.com,5.7,3898
vice.com,5.7,166
indiewire.com,5.6,3223
thinkprogress.org,5.5,5070
time.com,5.5,767
nypost.com,5.4,734
splinternews.com,5.4,5146
xojane.com,5.4,31392
abcnews.go.com,5.3,1081
mashable.com,5.3,1518
theatlantic.com,5.3,901
thewrap.com,5.3,7454
highsnobiety.com,5.2,3245
mic.com,5.2,12874
tvline.com,5.2,5113
uproxx.com,5.2,4562
urbanoutfitters.com,5.2,1365
essence.com,5.1,32995
huffingtonpost.ca,5.1,6918
thoughtcatalog.com,5.1,4478
latimes.com,5,998
npr.org,5,599
politico.com,5,1074
whowhatwear.com,5,15444
dailydot.com,4.9,7886
eater.com,4.9,2327
romper.com,4.9,18277
wwd.com,4.9,25166
brit.co,4.8,16408
motherjones.com,4.8,7484
independent.co.uk,4.7,514
intothegloss.com,4.7,22858
pitchfork.com,4.7,1190
digitalspy.com,4.5,2213
deadspin.com,4.4,1131
gofundme.com,4.4,1618
chicagotribune.com,4.3,2019
forever21.com,4.3,1783
nordstrom.com,4.3,798
rstyle.me,4.3,3835
apnews.com,4.2,3370
bostonglobe.com,4.2,4602
theonion.com,4.2,3475
snopes.com,4.1,2302
thrillist.com,4.1,2063
axios.com,4,4585
cbsnews.com,4,750
mercurynews.com,4,4540
usatoday.com,4,440
cbslocal.com,3.9,2160
glossier.com,3.9,16268
j-14.com,3.9,77827
psychologytoday.com,3.9,1553
qz.com,3.9,2156
glamourmagazine.co.uk,2.8,35286
revelist.com,2.7,45870
popbuzz.com,2.6,31820
acne.org,2.2,31869
gurl.com,2,30417
elleuk.com,1.9,162669
capitalfm.com,1.8,29801
mtv.co.uk,1.8,30150
perezhilton.com,1.8,7084
thesun.co.uk,1.8,837
beautyeditor.ca,1.7,46926
bellatory.com,1.7,53861
marieclaire.co.uk,1.7,30346
plannedparenthood.org,1.7,12909
aol.com,1.6,325
dailymail.co.uk,1.5,158
girlfriend.com.au,1.5,120797
liveabout.com,1.5,28276
news.com.au,1.5,897
popcrush.com,1.5,63655
thefashionspot.com,1.5,32629
bet.com,1.4,13756
hellomagazine.com,1.4,786
lorealparisusa.com,1.4,49574
makeup.com,1.4,98404
nylon.com,1.4,46700
vogue.com.au,1.4,59323
annmariegianni.com,1.3,71748
clevver.com,1.3,72577
