# ----------------------------------------
# Alexa Internet
# Audience Overlaps for foxnews.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
foxnews.com,100,258
cnn.com,38.2,104
usatoday.com,37.2,440
cbsnews.com,36.7,750
abcnews.go.com,36.4,1081
washingtonpost.com,36.3,226
nypost.com,36.1,734
nbcnews.com,33.7,912
thehill.com,33.2,829
latimes.com,29.2,998
newsweek.com,29.1,1604
npr.org,28.9,599
nytimes.com,28.7,117
businessinsider.com,28.2,373
cnbc.com,28,555
nydailynews.com,27.8,1835
huffingtonpost.com,25.9,334
people.com,25.9,995
thedailybeast.com,25.7,1288
politico.com,25.3,1074
dailymail.co.uk,24.8,158
time.com,24.3,767
reuters.com,23.6,580
go.com,23.2,434
tmz.com,22.8,1137
wsj.com,22.5,546
independent.co.uk,22.2,514
vox.com,22.1,1117
chicagotribune.com,21.9,2019
cbslocal.com,20.9,2160
theatlantic.com,20.4,901
yelp.com,20.2,185
bloomberg.com,20.1,444
theguardian.com,19.9,140
forbes.com,19.8,252
weather.com,19.8,261
snopes.com,19.6,2302
variety.com,19.3,1420
espn.com,19.1,99
hollywoodreporter.com,18.9,1612
theverge.com,18.8,443
usnews.com,18.8,821
bleacherreport.com,18.6,617
zillow.com,18.6,230
miamiherald.com,18.2,4021
telegraph.co.uk,17.9,553
buzzfeed.com,17.8,206
craigslist.org,17.8,107
cbssports.com,17.7,602
thesun.co.uk,17.7,837
breitbart.com,17.6,318
vanityfair.com,17,2884
slate.com,16.8,1383
deadline.com,16.7,2314
pagesix.com,16.7,2824
homedepot.com,16.4,374
sfgate.com,16.4,1258
walmart.com,16.4,188
gizmodo.com,16.3,508
vice.com,16.3,166
redd.it,16.2,247
ew.com,15.9,2073
marketwatch.com,15.9,1149
bbc.com,15.8,92
express.co.uk,15.7,634
webmd.com,15.6,560
usps.com,15.5,370
newyorker.com,15.3,1459
fortune.com,15.2,2689
chase.com,15,138
mercurynews.com,15,4540
washingtonexaminer.com,15,7553
nymag.com,14.8,2241
rollingstone.com,14.8,1946
mirror.co.uk,14.6,1167
news.com.au,14.6,897
aol.com,14.4,325
popsugar.com,14.3,1813
intuit.com,14.2,294
today.com,14.1,3673
eonline.com,13.9,2350
mashable.com,13.9,1518
livestrong.com,13.6,1006
wired.com,13.6,1353
irs.gov,13.5,694
metro.co.uk,13.5,1640
washingtontimes.com,13.5,7141
apnews.com,13.4,3370
gfycat.com,13.4,266
techcrunch.com,13.4,893
vulture.com,13.4,1574
cheatsheet.com,13.3,1568
outbrain.com,13.3,354
qz.com,13.3,2156
target.com,13.2,415
ups.com,13.2,423
bustle.com,13,1387
urbandictionary.com,13,507
bbc.co.uk,12.9,101
cbc.ca,12.9,984
dailycaller.com,12.9,940
lifehacker.com,12.9,676
tripadvisor.com,12.9,239
healthline.com,12.8,723
msnbc.com,12.8,2869
ticketmaster.com,12.6,803
lowes.com,12.5,733
si.com,12.4,1967
bestbuy.com,12.3,343
pbs.org,12.3,1918
fedex.com,12.2,454
usmagazine.com,12.1,3813
glassdoor.com,11.8,401
realtor.com,11.8,715
arstechnica.com,11.7,1236
bankofamerica.com,11.7,241
gofundme.com,11.7,1618
xfinity.com,11.7,281
groupon.com,11.6,654
imgur.com,11.6,51
drudgereport.com,11.5,727
eventbrite.com,11.5,667
rottentomatoes.com,11.5,400
thrillist.com,11.5,2063
dailywire.com,11.4,3145
streamable.com,11.3,1496
thewrap.com,11.3,7454
hulu.com,11.2,234
heavy.com,10.8,1379
realclearpolitics.com,10.7,5507
livescience.com,10.5,2377
bostonglobe.com,10.3,4602
nationalreview.com,10.2,6233
abc.net.au,9.7,1053
globalnews.ca,9.6,3215
politifact.com,9.6,9880
aljazeera.com,9.3,2543
cosmopolitan.com,9.3,2024
salon.com,9.3,5417
msn.com,8.4,50
mediaite.com,8.1,7843
ajc.com,7.8,7678
etonline.com,7.8,11891
tvguide.com,7.8,2607
denverpost.com,7.1,9148
biography.com,6.5,5287
abc7.com,6.4,10697
abc13.com,5.9,12202
theblaze.com,2.6,6505
newsmax.com,2.5,8137
yahoo.com,2.5,7
