# ----------------------------------------
# Alexa Internet
# Audience Overlaps for refinery29.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
refinery29.com,100,2759
bustle.com,22.6,1387
cosmopolitan.com,21.2,2024
allure.com,20.9,7755
popsugar.com,19.8,1813
vulture.com,18.9,1574
glamour.com,18.2,8632
elle.com,17.7,4027
people.com,17,995
harpersbazaar.com,16.7,5523
instyle.com,16.6,11264
thecut.com,15.9,3757
buzzfeed.com,15.8,206
sephora.com,15.2,1400
vanityfair.com,14.8,2884
ew.com,14.7,2073
elitedaily.com,14.6,5360
thrillist.com,14.6,2063
eonline.com,14.5,2350
vogue.com,14.3,3886
hollywoodreporter.com,13.6,1612
hellogiggles.com,13.3,9879
usmagazine.com,13.3,3813
variety.com,13.3,1420
stylecaster.com,13.2,11699
teenvogue.com,13.1,10423
huffingtonpost.com,12.9,334
nordstrom.com,12.7,798
nymag.com,12.7,2241
indiewire.com,12.1,3223
marieclaire.com,11.5,11502
eater.com,11.4,2327
today.com,11.4,3673
deadline.com,11.2,2314
gq.com,11.2,2707
thisisinsider.com,11.1,5292
vox.com,11.1,1117
timeout.com,11,2072
avclub.com,10.9,1466
complex.com,10.9,2717
newyorker.com,10.7,1459
npr.org,10.6,599
theatlantic.com,10.6,901
time.com,10.6,767
esquire.com,10.4,2317
latimes.com,10.3,998
urbanoutfitters.com,10.3,1365
vice.com,10.3,166
racked.com,10.1,15116
self.com,10.1,6612
usatoday.com,10.1,440
businessinsider.com,10,373
nypost.com,10,734
rollingstone.com,10,1946
ulta.com,10,3375
womenshealthmag.com,10,8257
billboard.com,9.8,1172
jezebel.com,9.8,2690
mashable.com,9.8,1518
metro.co.uk,9.7,1640
newsweek.com,9.7,1604
thedailybeast.com,9.7,1288
nydailynews.com,9.6,1835
independent.co.uk,9.4,514
slate.com,9.4,1383
thoughtcatalog.com,9.4,4478
pagesix.com,9.3,2824
ranker.com,9.3,1292
abcnews.go.com,9.1,1081
dailymail.co.uk,9.1,158
tmz.com,9.1,1137
yelp.com,9.1,185
cbsnews.com,8.9,750
etonline.com,8.9,11891
nytimes.com,8.9,117
goodhousekeeping.com,8.8,5440
hollywoodlife.com,8.8,8413
washingtonpost.com,8.8,226
byrdie.com,8.7,23493
nbcnews.com,8.7,912
rstyle.me,8.7,3835
whowhatwear.com,8.5,15444
fashionista.com,8.3,24478
psychologytoday.com,8.3,1553
tvline.com,8.3,5113
uproxx.com,8.3,4562
foxnews.com,8.2,258
theverge.com,8.2,443
chicagotribune.com,8.1,2019
digitalspy.com,8.1,2213
realsimple.com,8.1,8198
opentable.com,8,2183
pastemagazine.com,8,5090
thekitchn.com,8,2609
target.com,7.9,415
sheknows.com,7.8,5223
anthropologie.com,7.7,4381
collider.com,7.7,4234
eventbrite.com,7.7,667
nme.com,7.7,3898
telegraph.co.uk,7.7,553
thewrap.com,7.7,7454
wmagazine.com,7.7,21467
health.com,7.5,7903
jcrew.com,7.5,2263
ticketmaster.com,7.5,803
tvguide.com,7.5,2607
gap.com,7.4,1293
hulu.com,7.4,234
brit.co,7.3,16408
forever21.com,7.3,1783
seventeen.com,7.3,15794
cinemablend.com,7.2,4505
madewell.com,7.2,6353
airbnb.com,7.1,297
narvar.com,7.1,2550
usnews.com,7.1,821
decider.com,7,8163
denofgeek.com,7,3482
foodnetwork.com,7,1658
geniuskitchen.com,7,2162
go.com,7,434
groupon.com,7,654
xojane.com,7,31392
yourtango.com,7,11221
apartmenttherapy.com,6.9,4299
bestproducts.com,6.9,11318
bonappetit.com,6.9,4770
justjared.com,6.8,5081
pitchfork.com,6.8,1190
romper.com,6.8,18277
zillow.com,6.8,230
etsy.com,6.7,186
retailmenot.com,6.7,1194
allrecipes.com,6.6,977
dailydot.com,6.6,7886
livestrong.com,6.6,1006
macys.com,6.6,766
ae.com,6.5,2994
gofundme.com,6.5,1618
usps.com,6.5,370
totalbeauty.com,5.8,34766
thesun.co.uk,3.3,837
mirror.co.uk,2.9,1167
glamourmagazine.co.uk,2.8,35286
express.co.uk,2.5,634
marieclaire.co.uk,2.5,30346
news.com.au,2.4,897
aol.com,2.2,325
