# ----------------------------------------
# Alexa Internet
# Audience Overlaps for sbnation.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
sbnation.com,100,2103
cbssports.com,60.8,602
bleacherreport.com,50.7,617
si.com,50,1967
nfl.com,44.2,1271
espn.com,43.5,99
sportingnews.com,42.9,5692
nbcsports.com,41.7,1375
247sports.com,33.4,2090
foxsports.com,32.9,4509
ncaa.com,30.6,2037
nba.com,29.1,482
deadspin.com,25.2,1131
theringer.com,24,1839
usatoday.com,23.9,440
mlb.com,22.8,445
landof10.com,21.5,16360
basketball-reference.com,20.8,2952
fivethirtyeight.com,19.1,1816
nj.com,18.3,3928
rotoworld.com,17.6,3235
nypost.com,17.4,734
nhl.com,16.8,811
seccountry.com,16.8,19926
baseball-reference.com,15.9,3028
washingtonpost.com,15.5,226
nydailynews.com,15.3,1835
latimes.com,15.1,998
stubhub.com,15.1,2021
chicagotribune.com,14.9,2019
pro-football-reference.com,14.9,13717
cbslocal.com,14.7,2160
tmz.com,14.7,1137
cbsnews.com,14.4,750
nesn.com,14.1,12077
sports-reference.com,14,19919
abcnews.go.com,13.6,1081
ticketmaster.com,13.4,803
buffstreamz.com,12.7,2176
masters.com,12.6,8286
mercurynews.com,12.4,4540
foxnews.com,12.2,258
businessinsider.com,11.7,373
cleveland.com,11.6,8040
newsweek.com,11.6,1604
people.com,11.5,995
streamable.com,11.5,1496
boston.com,11.4,5153
uproxx.com,11.4,4562
thedailybeast.com,11.3,1288
thehill.com,11.3,829
npr.org,11.2,599
sportsnet.ca,11.1,6279
wsj.com,10.9,546
complex.com,10.8,2717
fansided.com,10.7,18009
nytimes.com,10.7,117
spotrac.com,10.7,15847
realgm.com,10.5,8890
slate.com,10.5,1383
nbcnews.com,10.4,912
politico.com,10.4,1074
zddxlih.com,10.4,2369
bostonglobe.com,10.3,4602
cnbc.com,10.3,555
theathletic.com,10.3,7987
thebiglead.com,10.3,24627
go.com,10.2,434
oregonlive.com,10.2,6291
rivals.com,10.2,4292
weather.com,10.2,261
heavy.com,10.1,1379
miamiherald.com,10.1,4021
seatgeek.com,10.1,6818
time.com,10.1,767
barstoolsports.com,10,1809
dallasnews.com,10,8437
forbes.com,10,252
pgatour.com,10,5065
walterfootball.com,9.9,20653
yelp.com,9.9,185
zillow.com,9.9,230
cnn.com,9.8,104
golfdigest.com,9.8,12169
gq.com,9.7,2707
deadline.com,9.6,2314
oddsshark.com,9.5,17831
theplayerstribune.com,9.5,18822
vox.com,9.5,1117
hollywoodreporter.com,9.4,1612
philly.com,9.4,7144
ripple.is,9.4,3176
usnews.com,9.4,821
al.com,9.2,10026
ew.com,9.2,2073
express.co.uk,9.2,634
avclub.com,9.1,1466
marketwatch.com,9.1,1149
sasastreams.pw,9.1,14631
denverpost.com,9,9148
rollingstone.com,9,1946
southwest.com,9,783
variety.com,9,1420
skysports.com,8.9,1072
golfchannel.com,8.8,7169
vulture.com,8.8,1574
xfinity.com,8.8,281
eater.com,8.7,2327
redd.it,8.7,247
theatlantic.com,8.7,901
comcast.net,8.6,2539
theundefeated.com,8.6,24861
vividseats.com,8.5,7101
vanityfair.com,8.4,2884
gizmodo.com,8.3,508
golf.com,8.3,22451
newyorker.com,8.3,1459
theonion.com,8.3,3475
theverge.com,8.3,443
bloomberg.com,8.2,444
hbogo.com,8.2,1273
newsday.com,8.2,11845
nymag.com,8.2,2241
pitchfork.com,8.2,1190
standard.co.uk,8.2,3860
thesun.co.uk,8.2,837
huffingtonpost.com,8.1,334
fantasypros.com,8,10682
kansascity.com,8,11846
patch.com,8,468
hoopshype.com,7.9,17002
reuters.com,7.9,580
ajc.com,7.4,7678
espn.co.uk,7.4,11625
scout.com,7.4,29808
thescore.com,7.3,18388
bleedinggreennation.com,6.8,23787
tsn.ca,6.6,3936
slamonline.com,6.5,37031
freep.com,6.3,11545
herosports.com,6.2,75700
goal.com,6.1,708
bostonherald.com,5.8,19284
ninersnation.com,5.8,31033
teamrankings.com,5.5,62542
masslive.com,5.2,22917
foxsports.com.au,5.1,8189
nbcolympics.com,5.1,71775
olympic.org,4,26565
ticketcity.com,3.8,72176
msn.com,3.1,50
patriots.com,3.1,44830
espn.com.au,2.6,25281
indystar.com,2.5,31214
fbschedules.com,2.4,75936
athlonsports.com,2.2,58913
chatsports.com,2.2,126848
yardbarker.com,2,42899
cincyjungle.com,1.9,108884
