# ----------------------------------------
# Alexa Internet
# Audience Overlaps for chicagotribune.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
chicagotribune.com,100,2019
latimes.com,25,998
usatoday.com,24.1,440
nbcnews.com,23.8,912
cbsnews.com,23.7,750
thehill.com,23.6,829
abcnews.go.com,23.3,1081
nypost.com,23.2,734
washingtonpost.com,23.2,226
npr.org,22.9,599
politico.com,22.4,1074
foxnews.com,21.9,258
nydailynews.com,21.9,1835
cbslocal.com,21,2160
newsweek.com,20.6,1604
thedailybeast.com,20.1,1288
cnbc.com,19.3,555
vox.com,19.3,1117
wsj.com,19,546
cnn.com,18.6,104
suntimes.com,18.3,13417
nytimes.com,18.1,117
theatlantic.com,18.1,901
people.com,17.9,995
slate.com,17.1,1383
businessinsider.com,16.9,373
time.com,16.7,767
huffingtonpost.com,16.5,334
reuters.com,16.5,580
newyorker.com,16.4,1459
bleacherreport.com,16.3,617
cbssports.com,15.9,602
vanityfair.com,15.9,2884
hollywoodreporter.com,15.4,1612
marketwatch.com,15.3,1149
miamiherald.com,15.3,4021
patch.com,15.3,468
usnews.com,15.3,821
mercurynews.com,15.2,4540
nbcsports.com,15.2,1375
fortune.com,15,2689
nymag.com,15,2241
snopes.com,15,2302
tmz.com,15,1137
variety.com,15,1420
sbnation.com,14.9,2103
ew.com,14.5,2073
deadline.com,14.4,2314
bloomberg.com,14.2,444
rollingstone.com,14.2,1946
espn.com,14.1,99
mlb.com,14.1,445
sfgate.com,14.1,1258
go.com,14,434
si.com,14,1967
yelp.com,14,185
apnews.com,13.9,3370
eater.com,13.8,2327
pagesix.com,13.6,2824
abc7chicago.com,13.5,19006
bostonglobe.com,12.9,4602
vulture.com,12.9,1574
deadspin.com,12.8,1131
independent.co.uk,12.8,514
fivethirtyeight.com,12.5,1816
pbs.org,12.4,1918
ticketmaster.com,12.4,803
forbes.com,12.3,252
thinkprogress.org,12.3,5070
today.com,12.3,3673
gizmodo.com,12.1,508
nfl.com,12.1,1271
avclub.com,12,1466
axios.com,12,4585
vice.com,12,166
washingtonexaminer.com,12,7553
zillow.com,12,230
theverge.com,11.8,443
qz.com,11.7,2156
buzzfeed.com,11.6,206
msnbc.com,11.6,2869
weather.com,11.6,261
theguardian.com,11.5,140
wgntv.com,11.5,21714
wired.com,11.4,1353
eventbrite.com,11.3,667
mashable.com,11.2,1518
salon.com,11.2,5417
dailymail.co.uk,11.1,158
thrillist.com,11.1,2063
theroot.com,11,3108
eonline.com,10.9,2350
theweek.com,10.9,7619
breitbart.com,10.8,318
legacy.com,10.8,2332
ncaa.com,10.8,2037
bizjournals.com,10.7,3552
curbed.com,10.7,4457
washingtontimes.com,10.7,7141
telegraph.co.uk,10.5,553
seattletimes.com,10.4,5089
redfin.com,10.3,860
usps.com,10.3,370
irs.gov,10.2,694
nbcchicago.com,10.2,31084
politifact.com,10.2,9880
thewrap.com,10.2,7454
chase.com,10.1,138
southwest.com,10.1,783
foxsports.com,9.9,4509
sportingnews.com,9.9,5692
techcrunch.com,9.9,893
247sports.com,9.8,2090
dailyherald.com,9.8,39231
realtor.com,9.8,715
cbc.ca,9.7,984
craigslist.org,9.7,107
homedepot.com,9.7,374
theonion.com,9.6,3475
timeout.com,9.5,2072
xfinity.com,9.4,281
nationalreview.com,9.3,6233
arstechnica.com,9.2,1236
gofundme.com,9.2,1618
thesun.co.uk,9.2,837
denverpost.com,9.1,9148
trulia.com,9.1,932
aol.com,9,325
news.com.au,8.8,897
ajc.com,8.3,7678
baltimoresun.com,8.2,10264
illinois.gov,7.8,10913
abc.net.au,7.1,1053
chicagobusiness.com,7,52156
cityofchicago.org,6.4,22265
biography.com,5.9,5287
dnainfo.com,3.4,58440
bbc.com,3.2,92
msn.com,2.4,50
chicagoreader.com,2.3,58388
chicagomag.com,2.1,65517
