# ----------------------------------------
# Alexa Internet
# Audience Overlaps for epicurious.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
epicurious.com,100,4797
geniuskitchen.com,52.6,2162
foodnetwork.com,51.3,1658
allrecipes.com,48.5,977
bonappetit.com,43.7,4770
myrecipes.com,39.5,9089
thekitchn.com,39.2,2609
seriouseats.com,38.4,3175
marthastewart.com,36.3,7347
tasteofhome.com,35.1,4982
foodandwine.com,34.2,9132
chowhound.com,30.9,7999
food52.com,26.5,9430
simplyrecipes.com,25.2,13874
delish.com,22.9,4007
bettycrocker.com,22.8,12362
thespruce.com,21.6,2990
bbcgoodfood.com,21.2,4256
yummly.com,20.6,11626
finecooking.com,18.4,38232
saveur.com,17.2,18318
eatingwell.com,16.6,11372
cookinglight.com,15.5,16966
realsimple.com,15.4,8198
kingarthurflour.com,15.3,18677
williams-sonoma.com,15.1,9266
taste.com.au,15,11241
jamieoliver.com,13.6,10083
thepioneerwoman.com,13.4,24162
budgetbytes.com,13.3,11809
damndelicious.net,12.8,16446
minimalistbaker.com,12.8,12374
thespruceeats.com,12.7,10479
eater.com,12.1,2327
southernliving.com,12,12734
recipetineats.com,11.9,24730
bhg.com,11.4,6529
cookieandkate.com,11.2,20361
cookingchanneltv.com,11.2,45972
goodhousekeeping.com,10.7,5440
leaf.tv,10.7,17486
kraftrecipes.com,10.4,26753
pillsbury.com,10.4,27685
inspiredtaste.net,10.2,37825
cooksillustrated.com,10.1,28959
justapinch.com,9.9,46521
pinchofyum.com,9.9,24468
greatist.com,9.8,7534
livestrong.com,9.8,1006
smittenkitchen.com,9.5,20180
therecipecritic.com,9.4,22202
onceuponachef.com,9.3,49745
tablespoon.com,9.3,36241
countryliving.com,9.2,9088
sfgate.com,9.2,1258
skinnytaste.com,9.2,15866
wholefoodsmarket.com,9.2,11051
myfitnesspal.com,9.1,925
today.com,9.1,3673
opentable.com,9,2183
sparkpeople.com,9,12295
toriavey.com,8.9,58325
thedailymeal.com,8.8,17193
nytimes.com,8.7,117
cooks.com,8.6,56659
popsugar.com,8.6,1813
thrillist.com,8.6,2063
spoonuniversity.com,8.4,16754
cafedelites.com,8.3,25134
yelp.com,8.1,185
cookingclassy.com,8,35558
gimmesomeoven.com,8,31872
mccormick.com,7.9,52002
addapinch.com,7.8,52699
buzzfeed.com,7.7,206
huffingtonpost.com,7.7,334
newyorker.com,7.7,1459
tastingtable.com,7.7,37981
npr.org,7.6,599
nymag.com,7.6,2241
nordstrom.com,7.4,798
self.com,7.4,6612
wayfair.com,7.3,921
apartmenttherapy.com,7.2,4299
onegreenplanet.org,7.2,17286
instacart.com,7.1,6570
bedbathandbeyond.com,7,2027
allrecipes.co.uk,6.9,24624
justonecookbook.com,6.9,24740
rei.com,6.9,1454
foodnetwork.ca,6.8,30410
natashaskitchen.com,6.8,40282
thehill.com,6.8,829
foodrepublic.com,6.7,47300
sallysbakingaddiction.com,6.7,35597
target.com,6.7,415
tastemade.com,6.7,27526
theatlantic.com,6.7,901
thewoksoflife.com,6.7,35025
latimes.com,6.6,998
narvar.com,6.6,2550
people.com,6.6,995
zillow.com,6.6,230
costco.com,6.5,853
grubhub.com,6.5,2138
jcrew.com,6.5,2263
bustle.com,6.4,1387
groupon.com,6.4,654
thecut.com,6.4,3757
ticketmaster.com,6.4,803
vulture.com,6.4,1574
avclub.com,6.3,1466
gap.com,6.3,1293
homedepot.com,6.3,374
politico.com,6.3,1074
thedailybeast.com,6.3,1288
vanityfair.com,6.3,2884
vox.com,6.3,1117
weather.com,6.3,261
chefsteps.com,6.2,38851
sephora.com,6.2,1400
thewirecutter.com,6.2,3524
usps.com,6.2,370
nbcnews.com,6.1,912
newsweek.com,6.1,1604
slate.com,6.1,1383
usatoday.com,6.1,440
cbslocal.com,6,2160
cbsnews.com,6,750
consumerreports.org,6,3195
eventbrite.com,6,667
refinery29.com,6,2759
browneyedbaker.com,5.9,68484
chicagotribune.com,5.9,2019
nextdoor.com,5.9,1184
zappos.com,5.9,1595
whatscookingamerica.net,5.2,101108
recipetips.com,4.8,121831
splendidtable.org,3.8,90581
keyingredient.com,3.5,105585
emerils.com,3.4,149271
snapguide.com,3.2,40944
food.com,3.1,52457
abc.go.com,3,2346
101cookingfortwo.com,2.9,123767
rachaelrayshow.com,2.9,70910
heb.com,2.7,18580
delishably.com,2.4,55567
landolakes.com,2.4,126301
stilltasty.com,2.4,51616
tastykitchen.com,2.4,131510
cooksinfo.com,2.3,130872
leitesculinaria.com,2.3,94473
oureverydaylife.com,2.3,31237
startcooking.com,2.3,239947
steamykitchen.com,2.3,63215
amazingribs.com,2.2,49904
rachaelraymag.com,2.2,132006
