# ----------------------------------------
# Alexa Internet
# Audience Overlaps for menshealth.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
menshealth.com,100,4716
mensfitness.com,26.3,18362
bodybuilding.com,22.9,1086
muscleandfitness.com,20.8,10740
mensjournal.com,20.2,7516
askmen.com,17.8,6973
gq.com,15.5,2707
womenshealthmag.com,15.4,8257
t-nation.com,13.5,3455
greatist.com,13.2,7534
livestrong.com,13,1006
self.com,12.3,6612
prevention.com,12.1,7762
health.com,11.8,7903
cosmopolitan.com,11.4,2024
esquire.com,11.3,2317
menshealth.co.uk,11.3,28192
shape.com,11.3,8701
healthline.com,10.5,723
muscleandstrength.com,9.6,15470
muscleforlife.com,9.4,28346
theidleman.com,9.1,15681
stack.com,9,26959
everydayhealth.com,8.9,5094
fitnessmagazine.com,8.8,18779
artofmanliness.com,8.7,7384
eatthis.com,8.7,3061
medicalnewstoday.com,8.6,3433
bustle.com,8.3,1387
draxe.com,8.3,4016
realmenrealstyle.com,8.3,24671
webmd.com,8.3,560
thoughtcatalog.com,8.1,4478
verywellfit.com,8.1,10035
elitedaily.com,8,5360
mayoclinic.org,7.8,1300
nerdfitness.com,7.8,22559
stronglifts.com,7.6,32014
popsugar.com,7.5,1813
rd.com,7.5,4747
coachmag.co.uk,7.3,45950
myfitnesspal.com,7.2,925
yourtango.com,7.2,11221
dailyburn.com,7.1,30160
huffingtonpost.com,7,334
nymag.com,7,2241
runnersworld.com,7,8900
thrillist.com,7,2063
buzzfeed.com,6.9,206
psychologytoday.com,6.9,1553
businessinsider.com,6.8,373
breakingmuscle.com,6.7,32235
fashionbeans.com,6.6,9902
www.nhs.uk,6.6,3450
complex.com,6.4,2717
legionathletics.com,6.4,45325
active.com,6.3,6968
medicaldaily.com,6.3,24484
stylecraze.com,6.3,6518
glamour.com,6.2,8632
nypost.com,6.2,734
refinery29.com,6.2,2759
today.com,6.2,3673
mindbodygreen.com,6.1,9155
vice.com,6.1,166
foxnews.com,6,258
myprotein.com,6,6943
independent.co.uk,5.9,514
steadyhealth.com,5.9,16855
livescience.com,5.8,2377
medicinenet.com,5.8,2507
mercola.com,5.8,4972
metro.co.uk,5.8,1640
thecut.com,5.8,3757
sfgate.com,5.7,1258
nbcnews.com,5.6,912
telegraph.co.uk,5.6,553
lovepanky.com,5.5,18794
realsimple.com,5.4,8198
clevelandclinic.org,5.3,10610
usatoday.com,5.3,440
patient.info,5.2,7220
barbend.com,5.1,38473
bestproducts.com,5,11318
usnews.com,5,821
cbsnews.com,4.9,750
cnbc.com,4.9,555
latimes.com,4.9,998
npr.org,4.9,599
thedailybeast.com,4.9,1288
vox.com,4.9,1117
azcentral.com,4.8,6528
deadspin.com,4.8,1131
hollywoodreporter.com,4.8,1612
newsweek.com,4.8,1604
theatlantic.com,4.8,901
theverge.com,4.8,443
bleacherreport.com,4.7,617
lifehacker.com,4.7,676
redd.it,4.7,247
rollingstone.com,4.7,1946
thekitchn.com,4.7,2609
time.com,4.7,767
vulture.com,4.7,1574
yelp.com,4.7,185
cbssports.com,4.6,602
eater.com,4.6,2327
people.com,4.6,995
thehill.com,4.6,829
urbandictionary.com,4.6,507
vanityfair.com,4.6,2884
variety.com,4.6,1420
abcnews.go.com,4.5,1081
gfycat.com,4.5,266
streamable.com,4.5,1496
tmz.com,4.5,1137
sbnation.com,4.4,2103
si.com,4.4,1967
allrecipes.com,4.3,977
avclub.com,4.3,1466
chicagotribune.com,4.3,2019
forbes.com,4.3,252
gizmodo.com,4.3,508
ncaa.com,4.3,2037
nydailynews.com,4.3,1835
qz.com,4.3,2156
washingtonpost.com,4.3,226
wsj.com,4.3,546
foodnetwork.com,4.2,1658
newyorker.com,4.2,1459
gq-magazine.co.uk,2.8,19474
builtlean.com,2.6,66778
gentlemansgazette.com,2.3,34789
dmarge.com,2.2,45612
beachbodyondemand.com,2.1,12314
netdoctor.co.uk,2.1,26769
baldingbeards.com,2,68126
faveable.com,2,89812
gearpatrol.com,2,10372
hiconsumption.com,2,18748
maxim.com,2,15271
fitday.com,1.9,39817
fitnessblender.com,1.9,14589
harvard.edu,1.9,792
redbookmag.com,1.9,29776
sparkpeople.com,1.9,12295
womansday.com,1.9,23483
boots.com,1.8,6782
health24.com,1.8,23928
precisionnutrition.com,1.8,31600
toolsofmen.com,1.8,78683
verywell.com,1.8,18122
aworkoutroutine.com,1.7,68999
besthealthmag.ca,1.7,71501
doctoroz.com,1.7,41083
kidshealth.org,1.7,9217
liveabout.com,1.7,28276
goodmenproject.com,1.6,34310
nextluxury.com,1.6,33448
stylecaster.com,1.6,11699
