# ----------------------------------------
# Alexa Internet
# Audience Overlaps for cntraveller.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
cntraveller.com,100,60519
priceoftravel.com,15.7,63495
thehotelguru.com,13.3,197426
mrandmrssmith.com,12.2,79421
cntraveler.com,9.8,11380
santorinidave.com,8.1,68508
roughguides.com,7.7,28533
travelandleisure.com,7.6,7920
europeanbestdestinations.com,7.4,114588
audleytravel.com,7.2,80530
elitetraveler.com,6.4,96206
selectiveasia.com,6.4,117181
walksofitaly.com,6.2,76556
fodors.com,5.8,17000
metoffice.gov.uk,5.5,4690
londonist.com,5.4,35158
101holidays.co.uk,5.1,484082
designmynight.com,4.7,37771
frommers.com,4.7,34838
fivestaralliance.com,4.5,151499
opentable.co.uk,4.4,31961
islands.com,4.3,53577
nomadicmatt.com,4.1,32749
travelsupermarket.com,3.5,32073
onthegotours.com,3.4,123492
touropia.com,3.4,29147
bugbog.com,3.2,434046
kuoni.co.uk,3.2,135797
travelchannel.com,3.2,9786
i-escape.com,2.9,259761
slh.com,2.9,224745
johansens.com,2.8,588208
positano.com,2.7,174653
theculturetrip.com,2.6,4338
tripstodiscover.com,2.6,55451
greatsmallhotels.com,2.4,330190
insightguides.com,2.4,272961
traveltriangle.com,2.3,17963
thomascook.com,2.1,21647
tui.co.uk,2.1,14118
wendyperrin.com,2.1,569284
jetsetter.com,2,68455
lonelyplanet.com,2,2625
theluxurytravelexpert.com,2,172722
visitlondon.com,2,24438
intrepidtravel.com,1.9,42886
likealocalguide.com,1.9,57413
skyscanner.net,1.9,1290
thebesttimetovisit.com,1.9,544081
traveller.com.au,1.9,25025
scottdunn.com,1.8,323377
greektravel.com,1.7,297545
wheretoholiday.com,1.7,3935471
coastalliving.com,1.6,67229
escapehere.com,1.6,66156
greeka.com,1.6,73212
holiday-weather.com,1.6,23954
italyheaven.co.uk,1.6,247911
secretplaces.com,1.6,595609
thecrazytourist.com,1.6,15974
tourradar.com,1.6,34615
indianholiday.com,1.5,40323
oyster.com,1.5,25765
planetware.com,1.5,26660
tablethotels.com,1.5,116906
visualitineraries.com,1.5,658085
condenast.com,1.4,87776
expedia.co.uk,1.4,7949
familytraveller.com,1.4,335003
geekyexplorer.com,1.4,160788
olivemagazine.com,1.4,62199
responsibletravel.com,1.4,105649
spain-holiday.com,1.4,85153
splendia.com,1.4,273205
travelrepublic.co.uk,1.4,50290
wanderlust.co.uk,1.4,70087
afar.com,1.3,56748
cntraveller.in,1.3,115436
fourseasons.com,1.3,17844
handluggageonly.co.uk,1.3,74644
holidify.com,1.3,19347
kiwicollection.com,1.3,553348
ricksteves.com,1.3,19140
thethinkingtraveller.com,1.3,244256
tourism-of-india.com,1.3,212610
bestlocationhotels.com,1.2,1045870
currentresults.com,1.2,53653
discovergreece.com,1.2,124946
hostelworld.com,1.2,3900
hot-dinners.com,1.2,277397
italia.it,1.2,50584
oliverstravels.com,1.2,195856
onthebeach.co.uk,1.2,35729
standard.co.uk,1.2,3860
thenudge.com,1.2,171956
theresident.co.uk,1.2,245329
timeout.com,1.2,2072
travelfish.org,1.2,84185
tripsavvy.com,1.2,5333
vacationidea.com,1.2,34908
visitgreece.gr,1.2,141493
vogue.co.uk,1.2,19094
cntravellerme.com,1.1,654231
condenastinternational.com,1.1,584759
