# ----------------------------------------
# Alexa Internet
# Audience Overlaps for vulture.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
vulture.com,100,1574
ew.com,35.2,2073
avclub.com,32.4,1466
hollywoodreporter.com,32,1612
variety.com,31.5,1420
indiewire.com,30.3,3223
vanityfair.com,28.7,2884
deadline.com,26.7,2314
rollingstone.com,24.3,1946
vox.com,22.2,1117
newyorker.com,21.4,1459
rottentomatoes.com,21.4,400
people.com,21.2,995
denofgeek.com,21.1,3482
collider.com,20.5,4234
theatlantic.com,19.5,901
tvline.com,19.5,5113
thedailybeast.com,19.4,1288
bustle.com,19.3,1387
refinery29.com,18.9,2759
eonline.com,18.8,2350
pitchfork.com,18.7,1190
screenrant.com,18.6,2158
uproxx.com,18.5,4562
npr.org,18.1,599
slate.com,18.1,1383
latimes.com,18,998
cinemablend.com,17.9,4505
billboard.com,17.5,1172
digitalspy.com,17.4,2213
pastemagazine.com,17.3,5090
nme.com,17.2,3898
thewrap.com,17.2,7454
complex.com,17.1,2717
gq.com,17,2707
buzzfeed.com,16.8,206
usatoday.com,16.8,440
esquire.com,16.6,2317
newsweek.com,16.6,1604
nydailynews.com,16,1835
nymag.com,16,2241
theverge.com,15.9,443
thrillist.com,15.9,2063
vice.com,15.9,166
nypost.com,15.8,734
thecut.com,15.7,3757
tvguide.com,15.7,2607
time.com,15.6,767
huffingtonpost.com,15.3,334
nytimes.com,15.3,117
washingtonpost.com,15.3,226
independent.co.uk,15.1,514
popsugar.com,15.1,1813
tmz.com,15.1,1137
gizmodo.com,14.8,508
theringer.com,14.8,1839
usmagazine.com,14.7,3813
pagesix.com,14.6,2824
abcnews.go.com,14.5,1081
cbsnews.com,14.5,750
hulu.com,14.2,234
businessinsider.com,14.1,373
comicbook.com,14,1029
metacritic.com,13.8,1222
nbcnews.com,13.8,912
decider.com,13.5,8163
jezebel.com,13.5,2690
mashable.com,13.5,1518
foxnews.com,13.4,258
polygon.com,13.3,943
theguardian.com,13.3,140
thehill.com,13.1,829
slashfilm.com,13,4508
chicagotribune.com,12.9,2019
nerdist.com,12.8,7502
ranker.com,12.7,1292
cnn.com,12.6,104
cosmopolitan.com,12.6,2024
consequenceofsound.net,12.5,6953
metro.co.uk,12.3,1640
nbc.com,12.2,3124
wired.com,12.2,1353
politico.com,12.1,1074
etonline.com,12,11891
dailymail.co.uk,11.9,158
express.co.uk,11.9,634
telegraph.co.uk,11.9,553
theroot.com,11.9,3108
yelp.com,11.9,185
fandango.com,11.8,1380
eater.com,11.7,2327
forbes.com,11.6,252
ticketmaster.com,11.6,803
wsj.com,11.6,546
redd.it,11.5,247
go.com,11.4,434
deadspin.com,11.2,1131
qz.com,10.9,2156
cc.com,10.6,3204
cnbc.com,10.6,555
vogue.com,10.6,3886
harpersbazaar.com,10.5,5523
hellogiggles.com,10.5,9879
thisisinsider.com,10.4,5292
abc.go.com,10.2,2346
elle.com,10.2,4027
cbr.com,10.1,5087
inverse.com,10.1,7182
rogerebert.com,10.1,9683
theonion.com,10,3475
syfy.com,9.9,7415
bleacherreport.com,9.8,617
radiotimes.com,9.8,5611
kotaku.com,9.7,814
fivethirtyeight.com,9.6,1816
gofundme.com,9.6,1618
snopes.com,9.5,2302
urbandictionary.com,9.5,507
cbssports.com,9.4,602
gfycat.com,9.4,266
glamour.com,9.4,8632
hbogo.com,9.4,1273
tvtropes.org,9.3,1676
usnews.com,9.3,821
hbo.com,9.2,5345
weather.com,9.2,261
eventbrite.com,9.1,667
cbslocal.com,9,2160
streamable.com,9,1496
espn.com,8.9,99
justjared.com,8.9,5081
si.com,8.9,1967
spin.com,8.6,14797
wmagazine.com,8.6,21467
tunefind.com,7.1,9366
empireonline.com,6.7,17637
imdb.com,6.4,57
biography.com,6.2,5287
netflix.com,5.7,29
commonsensemedia.org,3.6,8429
tv.com,3.1,8761
goldderby.com,2.9,41925
comingsoon.net,2.8,13289
