# ----------------------------------------
# Alexa Internet
# Audience Overlaps for breitbart.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
breitbart.com,100,318
dailycaller.com,34.9,940
dailywire.com,26,3145
washingtonexaminer.com,26,7553
infowars.com,24.6,4119
drudgereport.com,23.3,727
washingtontimes.com,22.9,7141
thegatewaypundit.com,22.3,8285
thehill.com,22.3,829
townhall.com,20.1,9675
theblaze.com,19.4,6505
realclearpolitics.com,19.3,5507
mediaite.com,19.2,7843
politico.com,18.6,1074
nationalreview.com,18.5,6233
zerohedge.com,17.8,1860
foxnews.com,17.6,258
pjmedia.com,17.6,10508
freebeacon.com,16.3,23465
wnd.com,16.1,5892
thedailybeast.com,15.9,1288
thefederalist.com,15.6,13245
apnews.com,15.1,3370
axios.com,15.1,4585
newsmax.com,15.1,8137
cbslocal.com,14.6,2160
nypost.com,14.4,734
newsbusters.org,14.1,27808
cnsnews.com,12.9,30740
nydailynews.com,12.9,1835
nbcnews.com,12.8,912
pagesix.com,12.7,2824
abcnews.go.com,11.6,1081
cbsnews.com,11.6,750
wsj.com,11.6,546
snopes.com,11.4,2302
thewrap.com,11.4,7454
latimes.com,11.3,998
newsweek.com,11.3,1604
tmz.com,11.3,1137
twitchy.com,11.3,16364
miamiherald.com,11.1,4021
msnbc.com,11.1,2869
redstate.com,11,25275
politifact.com,10.9,9880
salon.com,10.9,5417
chicagotribune.com,10.8,2019
hotair.com,10.7,15876
theweek.com,10.5,7619
sacbee.com,10.4,8069
americanthinker.com,10.3,16691
cnbc.com,10.2,555
reason.com,10,13494
jpost.com,9.7,7509
foxbusiness.com,9.6,8820
reuters.com,9.6,580
weeklystandard.com,9.5,26793
usatoday.com,9.4,440
washingtonpost.com,9.4,226
ijr.com,9.3,28905
theamericanmirror.com,9.2,39310
deadline.com,9.1,2314
thinkprogress.org,8.9,5070
mercurynews.com,8.8,4540
slate.com,8.8,1383
vox.com,8.8,1117
westernjournal.com,8.7,962
npr.org,8.6,599
timesofisrael.com,8.6,7262
motherjones.com,8.5,7484
hollywoodreporter.com,8.4,1612
theintercept.com,8.4,9426
nymag.com,8.3,2241
rawstory.com,8.2,5083
louderwithcrowder.com,8.1,26644
whitehouse.gov,8.1,9413
haaretz.com,8,7310
marketwatch.com,8,1149
theatlantic.com,8,901
theconservativetreehouse.com,8,20789
truepundit.com,7.8,22632
vanityfair.com,7.7,2884
dailymail.co.uk,7.5,158
people.com,7.5,995
ap.org,7.4,9184
conservativetribune.com,7.4,36634
dallasnews.com,7.4,8437
fivethirtyeight.com,7.4,1816
go.com,7.4,434
cnn.com,7.1,104
newrepublic.com,7.1,15481
philly.com,7.1,7144
ktla.com,7,13747
bloomberg.com,6.9,444
ew.com,6.8,2073
sfgate.com,6.8,1258
bleacherreport.com,6.6,617
patch.com,6.6,468
talkingpointsmemo.com,6.6,6994
aol.com,6.4,325
dailykos.com,6.4,4479
dailysignal.com,6.4,45314
gab.ai,6.4,13929
legacy.com,6.4,2332
lifesitenews.com,6.4,30907
businessinsider.com,6.2,373
c-span.org,6.2,22339
factcheck.org,6.2,33073
nbcsports.com,6.1,1375
statesman.com,6.1,20381
4dsply.com,6,10447
thesun.co.uk,6,837
cabelas.com,5.9,4306
fox5ny.com,5.9,48874
mirror.co.uk,5.9,1167
upi.com,5.9,12739
weather.gov,5.9,1146
wunderground.com,5.9,607
senate.gov,5.7,11937
aljazeera.com,5.6,2543
frontpagemag.com,5.6,55094
rollcall.com,5.2,44146
thenation.com,5,17564
mediamatters.org,4,33214
rt.com,2.9,306
newser.com,2.4,13947
inquisitr.com,2.3,9951
pressfrom.com,2.2,229958
splinternews.com,2.2,5146
thenewamerican.com,2.2,94583
onenewspage.com,2.1,188430
forward.com,2,26267
ibtimes.com,2,17293
lifezette.com,1.9,17164
on-this-day.com,1.9,226054
theroot.com,1.9,3108
truthrevolt.org,1.9,395506
alternet.org,1.8,13344
brainyhistory.com,1.8,537640
freerepublic.com,1.8,21817
history-world.org,1.8,221207
sky.com,1.8,1417
nraila.org,1.7,51389
voanews.com,1.7,3153
