# ----------------------------------------
# Alexa Internet
# Audience Overlaps for womenshealthmag.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
womenshealthmag.com,100,8257
health.com,20.2,7903
shape.com,20.2,8701
self.com,19.9,6612
prevention.com,19.7,7762
eatthis.com,17.7,3061
cosmopolitan.com,16.1,2024
greatist.com,16,7534
menshealth.com,15.4,4716
fitnessmagazine.com,14.5,18779
livestrong.com,14,1006
mensfitness.com,13.5,18362
bodybuilding.com,13.4,1086
healthline.com,12.7,723
glamour.com,12.3,8632
draxe.com,12.2,4016
allure.com,12,7755
everydayhealth.com,11.9,5094
bustle.com,11.8,1387
verywellfit.com,11.8,10035
muscleandfitness.com,11.1,10740
rd.com,10.7,4747
popsugar.com,10.6,1813
mindbodygreen.com,10.4,9155
refinery29.com,10,2759
yourtango.com,10,11221
medicalnewstoday.com,9.7,3433
stylecraze.com,9.7,6518
elitedaily.com,9.5,5360
stylecaster.com,9.3,11699
redbookmag.com,9.1,29776
mensjournal.com,9,7516
eatingwell.com,8.8,11372
myfitnesspal.com,8.8,925
webmd.com,8.8,560
dailyburn.com,8.6,30160
goodhousekeeping.com,8.6,5440
today.com,8.5,3673
thoughtcatalog.com,8.4,4478
mayoclinic.org,8.3,1300
askmen.com,8,6973
nerdfitness.com,7.9,22559
elle.com,7.8,4027
sparkpeople.com,7.8,12295
thecut.com,7.8,3757
womansday.com,7.8,23483
instyle.com,7.6,11264
realsimple.com,7.5,8198
www.nhs.uk,7.4,3450
psychologytoday.com,7.3,1553
marieclaire.com,7.2,11502
buzzfeed.com,7,206
byrdie.com,7,23493
xojane.com,7,31392
medicinenet.com,6.9,2507
runnersworld.com,6.9,8900
steadyhealth.com,6.9,16855
muscleforlife.com,6.8,28346
huffingtonpost.com,6.7,334
verywell.com,6.7,18122
active.com,6.6,6968
sheknows.com,6.5,5223
beachbodyondemand.com,6.4,12314
clevelandclinic.org,6.3,10610
medicaldaily.com,6.3,24484
patient.info,6.2,7220
realself.com,6.2,7972
delish.com,6.1,4007
hellogiggles.com,6.1,9879
lovepanky.com,6.1,18794
mercola.com,6.1,4972
dietdoctor.com,6,11917
people.com,6,995
thekitchn.com,6,2609
sfgate.com,5.9,1258
spoonuniversity.com,5.9,16754
teenvogue.com,5.9,10423
thisisinsider.com,5.9,5292
harpersbazaar.com,5.8,5523
medhelp.org,5.8,11244
netdoctor.co.uk,5.8,26769
paleohacks.com,5.8,26739
gq.com,5.7,2707
sephora.com,5.7,1400
thrillist.com,5.5,2063
cookinglight.com,5.3,16966
hercampus.com,5.3,17051
plannedparenthood.org,5.2,12909
vogue.com,5.2,3886
emedicinehealth.com,5.1,10271
geniuskitchen.com,5.1,2162
t-nation.com,5.1,3455
ulta.com,5,3375
nordstrom.com,4.9,798
foodnetwork.com,4.7,1658
allrecipes.com,4.6,977
epicurious.com,4.6,4797
bonappetit.com,4.5,4770
metafilter.com,4.4,6456
urbanoutfitters.com,4.4,1365
usmagazine.com,4.4,3813
eater.com,4.3,2327
forever21.com,4.2,1783
nymag.com,4.2,2241
thespruce.com,4.2,2990
vulture.com,4.2,1574
ae.com,4.1,2994
theodysseyonline.com,4.1,6523
lulus.com,4,4011
npr.org,4,599
usnews.com,4,821
vanityfair.com,4,2884
yelp.com,4,185
doctoroz.com,3.9,41083
eonline.com,3.9,2350
gap.com,3.9,1293
theatlantic.com,3.9,901
thestudentroom.co.uk,3.9,4626
fitday.com,2.8,39817
boots.com,2.7,6782
besthealthmag.ca,2.6,71501
fitnessblender.com,2.6,14589
rodalewellness.com,2.6,119539
bodyandsoul.com.au,2.5,63237
legionathletics.com,2.5,45325
menshealth.co.uk,2.4,28192
jillianmichaels.com,2.3,104372
kidshealth.org,2.3,9217
nowloss.com,2.3,81779
wellandgood.com,2.3,26206
superskinnyme.com,2.1,73939
coachmag.co.uk,2,45950
huffingtonpost.com.au,2,21571
liveabout.com,2,28276
oprah.com,2,22004
precisionnutrition.com,2,31600
builtlean.com,1.9,66778
gurl.com,1.9,30417
health24.com,1.9,23928
muscleandstrength.com,1.9,15470
perfectketo.com,1.9,21753
gethealthyu.com,1.8,143806
ketodietapp.com,1.8,37074
