# ----------------------------------------
# Alexa Internet
# Audience Overlaps for pbs.org 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
pbs.org,100,1918
history.com,21.9,2081
npr.org,21.3,599
theatlantic.com,18.4,901
washingtonpost.com,16.4,226
nbcnews.com,16.2,912
cbsnews.com,15.8,750
vox.com,15.3,1117
nytimes.com,15.2,117
latimes.com,15,998
slate.com,14.5,1383
newyorker.com,14.4,1459
thehill.com,14.4,829
abcnews.go.com,14.3,1081
huffingtonpost.com,14.3,334
britannica.com,14.2,1257
time.com,14.1,767
usatoday.com,13.9,440
cnn.com,13.8,104
politico.com,13.8,1074
newsweek.com,13.6,1604
biography.com,12.5,5287
smithsonianmag.com,12.5,6064
thedailybeast.com,12.5,1288
chicagotribune.com,12.4,2019
foxnews.com,12.3,258
nationalgeographic.com,12.3,1641
nypost.com,11.8,734
usnews.com,11.7,821
cnbc.com,11.4,555
quizlet.com,11.4,643
businessinsider.com,11.3,373
nydailynews.com,11.3,1835
wsj.com,11.1,546
theguardian.com,11,140
loc.gov,10.8,4926
snopes.com,10.8,2302
livescience.com,10.7,2377
reuters.com,10.4,580
go.com,10.3,434
nymag.com,10.3,2241
easybib.com,10.1,2326
scientificamerican.com,10.1,4025
independent.co.uk,10,514
nps.gov,10,2976
scholastic.com,10,3380
cbslocal.com,9.9,2160
thoughtco.com,9.9,1572
vanityfair.com,9.9,2884
bbc.co.uk,9.8,101
people.com,9.8,995
shmoop.com,9.7,2013
wired.com,9.6,1353
buzzfeed.com,9.5,206
yelp.com,9.4,185
allrecipes.com,9.3,977
psychologytoday.com,9.3,1553
qz.com,9.3,2156
rollingstone.com,9.3,1946
sparknotes.com,9.3,2039
vice.com,9.3,166
ed.gov,9.2,1177
foodnetwork.com,9.2,1658
purdue.edu,9.2,1324
variety.com,9.1,1420
forbes.com,9,252
telegraph.co.uk,9,553
jstor.org,8.9,1145
study.com,8.9,1094
theconversation.com,8.9,3776
weather.com,8.9,261
encyclopedia.com,8.8,10173
gizmodo.com,8.8,508
hollywoodreporter.com,8.8,1612
zillow.com,8.8,230
si.edu,8.7,7164
enotes.com,8.5,3149
fortune.com,8.5,2689
harvard.edu,8.5,792
marketwatch.com,8.5,1149
mentalfloss.com,8.5,3504
today.com,8.4,3673
howstuffworks.com,8.3,2099
hulu.com,8.3,234
msnbc.com,8.3,2869
salon.com,8.3,5417
bloomberg.com,8.2,444
cdc.gov,8.2,1828
economist.com,8.2,2378
geniuskitchen.com,8.2,2162
vulture.com,8.2,1574
bostonglobe.com,8.1,4602
khanacademy.org,8.1,635
target.com,8.1,415
archives.gov,8,11560
politifact.com,8,9880
barnesandnoble.com,7.9,2312
eventbrite.com,7.9,667
thesaurus.com,7.9,284
ticketmaster.com,7.9,803
dailymail.co.uk,7.8,158
deadline.com,7.8,2314
motherjones.com,7.8,7484
pbslearningmedia.org,7.7,23037
sfgate.com,7.7,1258
citationmachine.net,7.6,1873
kahoot.it,7.6,4432
usps.com,7.6,370
irs.gov,7.5,694
craigslist.org,7.4,107
ew.com,7.3,2073
aljazeera.com,7.2,2543
bustle.com,7.1,1387
homedepot.com,7.1,374
teacherspayteachers.com,7.1,2280
webmd.com,7.1,560
bleacherreport.com,7,617
livestrong.com,7,1006
cbssports.com,6.9,602
realtor.com,6.9,715
theverge.com,6.9,443
brookings.edu,6.8,10320
walmart.com,6.8,188
nationalreview.com,6.5,6233
ushistory.org,6.4,26837
tvguide.com,6.3,2607
thenation.com,6,17564
washingtontimes.com,6,7141
pewresearch.org,5.8,15082
c-span.org,5.6,22339
newrepublic.com,5.6,15481
ducksters.com,5.5,15761
ssa.gov,5.1,3421
kqed.org,5,23411
bbc.com,3.6,92
historynet.com,2.9,25933
pbskids.org,2.2,4991
thirteen.org,2.2,57640
ancient.eu,2.1,21150
imdb.com,2,57
voanews.com,2,3153
abc.net.au,1.9,1053
aarp.org,1.8,4960
washingtonexaminer.com,1.8,7553
netflix.com,1.7,29
prezi.com,1.7,481
csmonitor.com,1.6,19613
parents.com,1.6,10894
