# ----------------------------------------
# Alexa Internet
# Audience Overlaps for travelandleisure.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
travelandleisure.com,100,7920
cntraveler.com,22.5,11380
tripsavvy.com,18.3,5333
fodors.com,17.5,17000
travelchannel.com,16.4,9786
thepointsguy.com,16,4225
lonelyplanet.com,15.1,2625
smartertravel.com,14.8,21211
thrillist.com,13,2063
theculturetrip.com,11.7,4338
oyster.com,11.3,25765
vacationidea.com,11.1,34908
eater.com,11,2327
frommers.com,10.3,34838
delta.com,10.2,882
united.com,10.2,1078
timeout.com,10.1,2072
boardingarea.com,9.8,8197
aa.com,9.5,1064
usnews.com,9.5,821
opentable.com,9.1,2183
ricksteves.com,9.1,19140
expedia.com,9,583
seatguru.com,9,8055
tripstodiscover.com,9,55451
10best.com,8.9,27714
usatoday.com,8.9,440
skyscanner.com,8.8,3199
flyertalk.com,8.6,8076
travelfashiongirl.com,8.6,51618
nymag.com,8.4,2241
tripadvisor.com,8.4,239
jetblue.com,8.1,3254
southwest.com,8,783
disney.go.com,7.8,2575
kayak.com,7.8,870
nordstrom.com,7.8,798
priceoftravel.com,7.8,63495
viator.com,7.8,4580
airfarewatchdog.com,7.7,22206
curbed.com,7.7,4457
cntraveller.com,7.6,60519
ebags.com,7.5,15262
nomadicmatt.com,7.4,32749
rei.com,7.4,1454
airbnb.com,7.3,297
foodandwine.com,7.1,9132
refinery29.com,7.1,2759
marriott.com,6.9,1211
travelocity.com,6.9,3192
atlasobscura.com,6.8,5047
roughguides.com,6.8,28533
thecrazytourist.com,6.8,15974
thewirecutter.com,6.8,3524
thisisinsider.com,6.7,5292
alaskaair.com,6.6,3023
businessinsider.com,6.5,373
priceline.com,6.4,1775
latimes.com,6.3,998
nationalgeographic.com,6.3,1641
nps.gov,6.3,2976
tsa.gov,6.3,16897
vogue.com,6.3,3886
orbitz.com,6.2,2949
cbslocal.com,6.1,2160
townandcountrymag.com,6.1,11290
cruisecritic.com,6,11347
huffingtonpost.com,5.9,334
planetware.com,5.9,26660
hilton.com,5.8,1876
popsugar.com,5.8,1813
wikitravel.org,5.8,10777
jcrew.com,5.7,2263
southernliving.com,5.7,12734
today.com,5.6,3673
touropia.com,5.6,29147
instyle.com,5.5,11264
synxis.com,5.5,6885
yelp.com,5.5,185
nerdwallet.com,5.4,3253
travelzoo.com,5.3,9277
vrbo.com,5.3,2673
sephora.com,5.2,1400
stubhub.com,5.2,2021
zappos.com,5.2,1595
anthropologie.com,5.1,4381
bonappetit.com,5.1,4770
narvar.com,5.1,2550
people.com,5.1,995
theknot.com,5.1,2492
groupon.com,5,654
newyorker.com,5,1459
nordstromrack.com,5,2855
thecut.com,5,3757
ticketmaster.com,5,803
bizjournals.com,4.9,3552
bloomingdales.com,4.9,5318
countryliving.com,4.9,9088
gap.com,4.9,1293
madewell.com,4.9,6353
thekitchn.com,4.9,2609
apartmenttherapy.com,4.8,4299
fourseasons.com,4.8,17844
googletraveladservices.com,4.8,8159
starwoodhotels.com,4.8,3417
amtrak.com,4.7,4651
bookingbuddy.com,4.7,4672
eventbrite.com,4.7,667
gq.com,4.7,2707
macys.com,4.7,766
npr.org,4.7,599
vanityfair.com,4.7,2884
zillow.com,4.7,230
epicurious.com,4.6,4797
redfin.com,4.6,860
urbanoutfitters.com,4.6,1365
allure.com,4.5,7755
bedbathandbeyond.com,4.5,2027
foodnetwork.com,4.5,1658
wayfair.com,4.5,921
weather.com,4.5,261
chicagotribune.com,4.4,2019
nypost.com,4.4,734
retailmenot.com,4.4,1194
rstyle.me,4.4,3835
seriouseats.com,4.4,3175
trulia.com,4.4,932
islands.com,3.9,53577
familyvacationcritic.com,3.8,95307
skyscanner.net,3.1,1290
fivestaralliance.com,2.9,151499
telegraph.co.uk,2.8,553
jetsetter.com,2.7,68455
traveller.com.au,2.7,25025
coastalliving.com,2.5,67229
disneytouristblog.com,2.5,57909
tripadvisor.ca,2.5,4353
cheapflights.com,2.3,10571
tortugabackpacks.com,2.3,65319
upgradedpoints.com,2.3,87733
cheapair.com,2.2,51101
tripadvisor.co.nz,2.2,15340
undercovertourist.com,2.2,52069
touringplans.com,2,53675
tripadvisor.co.uk,2,1475
ytravelblog.com,2,95581
afar.com,1.9,56748
cnn.com,1.9,104
escapehere.com,1.9,66156
hotels.com,1.9,672
rewardexpert.com,1.9,157490
wdwinfo.com,1.9,52168
budgettravel.com,1.8,180192
tripadvisor.co.za,1.8,11433
cheapcaribbean.com,1.7,32255
hopper.com,1.7,50972
millionmilesecrets.com,1.7,50001
santorinidave.com,1.7,68508
skift.com,1.7,40321
thesavvybackpacker.com,1.7,59913
tripadvisor.com.au,1.7,5906
tripping.com,1.7,25392
unibaggage.com,1.7,102566
foxnews.com,1.6,258
