# ----------------------------------------
# Alexa Internet
# Audience Overlaps for elle.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
elle.com,100,4027
harpersbazaar.com,28.2,5523
allure.com,22.9,7755
instyle.com,22.1,11264
cosmopolitan.com,20.3,2024
glamour.com,18.7,8632
vogue.com,18.3,3886
refinery29.com,17.7,2759
marieclaire.com,15.9,11502
thecut.com,14.7,3757
stylecaster.com,13.9,11699
people.com,13.7,995
eonline.com,13.6,2350
sephora.com,13.5,1400
popsugar.com,13.4,1813
usmagazine.com,13.3,3813
vogue.co.uk,12,19094
teenvogue.com,11.9,10423
bustle.com,11.7,1387
totalbeauty.com,11.7,34766
vanityfair.com,11.5,2884
wmagazine.com,11,21467
fashionista.com,10.5,24478
elitedaily.com,10.3,5360
goodhousekeeping.com,10.3,5440
vulture.com,10.2,1574
etonline.com,9.9,11891
byrdie.com,9.7,23493
hellogiggles.com,9.7,9879
hollywoodlife.com,9.7,8413
marieclaire.co.uk,9.6,30346
glamourmagazine.co.uk,9.4,35286
whowhatwear.com,9.3,15444
ettoday.net,9.2,134
nordstrom.com,9.2,798
pagesix.com,9.1,2824
ew.com,8.8,2073
today.com,8.7,3673
ulta.com,8.7,3375
bestproducts.com,8.6,11318
buzzfeed.com,8.6,206
nymag.com,8.6,2241
gq.com,8.5,2707
thisisinsider.com,8.4,5292
justjared.com,8.3,5081
esquire.com,8.2,2317
stylecraze.com,8.2,6518
hollywoodreporter.com,8.1,1612
townandcountrymag.com,8.1,11290
udn.com,8.1,683
seventeen.com,7.9,15794
variety.com,7.9,1420
ltn.com.tw,7.8,276
tmz.com,7.8,1137
womenshealthmag.com,7.8,8257
appledaily.com,7.7,497
racked.com,7.7,15116
wwd.com,7.7,25166
pixnet.net,7.5,89
astrology.com,7.3,12492
newyorker.com,7.3,1459
self.com,7.3,6612
billboard.com,7,1172
huffingtonpost.com,7,334
rstyle.me,7,3835
jezebel.com,6.9,2690
urbanoutfitters.com,6.9,1365
deadline.com,6.8,2314
metro.co.uk,6.8,1640
vogue.com.tw,6.8,3089
xuite.net,6.8,1442
kknews.cc,6.7,1294
ptt.cc,6.7,499
rollingstone.com,6.7,1946
astrostyle.com,6.6,18715
dcard.tw,6.6,976
read01.com,6.6,2696
shopee.tw,6.6,1033
blogspot.tw,6.5,
vox.com,6.5,1117
books.com.tw,6.4,1663
horoscope.com,6.4,8228
intothegloss.com,6.4,22858
pchome.com.tw,6.4,740
realsimple.com,6.4,8198
thesun.co.uk,6.4,837
chinatimes.com,6.3,1254
indiewire.com,6.3,3223
thedailybeast.com,6.3,1288
health.com,6.2,7903
independent.co.uk,6.2,514
marieclaire.com.tw,6.1,6636
time.com,6.1,767
dailymail.co.uk,6,158
highsnobiety.com,6,3245
avclub.com,5.9,1466
vice.com,5.9,166
mobile01.com,5.8,736
tvbs.com.tw,5.8,432
nme.com,5.7,3898
xojane.com,5.7,31392
astrology-zodiac-signs.com,5.6,12983
cafeastrology.com,5.6,11647
momoshop.com.tw,5.5,387
nownews.com,5.4,240
setn.com,5.4,278
anthropologie.com,5.3,4381
businessweekly.com.tw,5.3,1536
cw.com.tw,5.3,9850
eater.com,5.3,2327
forever21.com,5.3,1783
theatlantic.com,5.3,901
tvline.com,5.3,5113
brit.co,5.2,16408
revolve.com,5.2,6171
ruten.com.tw,5.2,873
thrillist.com,5.2,2063
104.com.tw,5.1,591
madewell.com,5.1,6353
yam.com,5.1,6948
beautyeditor.ca,5,46926
latimes.com,5,998
npr.org,5,599
shopbop.com,4.9,3298
shopstyle.com,4.9,5394
techbang.com,4.9,1891
thekitchn.com,4.9,2609
thenewslens.com,4.9,2958
gamer.com.tw,4.8,774
pcstore.com.tw,4.8,2204
buzzorange.com,4.7,4102
disp.cc,4.7,2885
elleuk.com,4.7,162669
uniqlo.com,4.7,948
thefashionspot.com,3.8,32629
hellomagazine.com,3.2,786
redbookmag.com,3.1,29776
rankandstyle.com,3,88577
makeup.com,2.9,98404
liveabout.com,2.6,28276
instyle.co.uk,2.4,114196
news.com.au,2.2,897
lorealparisusa.com,2.1,49574
mirror.co.uk,2.1,1167
essence.com,2,32995
aol.com,1.9,325
brides.com,1.9,15200
standard.co.uk,1.8,3860
therighthairstyles.com,1.8,37025
compatible-astrology.com,1.7,139487
nylon.com,1.7,46700
oprah.com,1.7,22004
thewrap.com,1.7,7454
vogue.com.au,1.7,59323
