# ----------------------------------------
# Alexa Internet
# Audience Overlaps for eonline.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
eonline.com,100,2350
people.com,40,995
usmagazine.com,39.2,3813
etonline.com,26.3,11891
tmz.com,24.4,1137
ew.com,23.9,2073
hollywoodlife.com,22.4,8413
pagesix.com,21.5,2824
hollywoodreporter.com,20.6,1612
vanityfair.com,19.8,2884
justjared.com,19.4,5081
variety.com,19.2,1420
vulture.com,18.8,1574
nydailynews.com,17.5,1835
deadline.com,17.4,2314
popsugar.com,17.2,1813
dailymail.co.uk,16.8,158
bustle.com,16.3,1387
billboard.com,15.2,1172
cosmopolitan.com,15.2,2024
abcnews.go.com,15.1,1081
tvline.com,14.9,5113
today.com,14.6,3673
refinery29.com,14.5,2759
tvguide.com,14.4,2607
foxnews.com,13.9,258
latimes.com,13.8,998
elle.com,13.6,4027
rollingstone.com,13.6,1946
thesun.co.uk,13.5,837
nypost.com,13.2,734
thedailybeast.com,13.1,1288
usatoday.com,13.1,440
cbsnews.com,13,750
buzzfeed.com,12.8,206
harpersbazaar.com,12.4,5523
mirror.co.uk,12,1167
avclub.com,11.9,1466
huffingtonpost.com,11.9,334
bravotv.com,11.8,6897
cinemablend.com,11.8,4505
metro.co.uk,11.8,1640
abc.go.com,11.7,2346
elitedaily.com,11.7,5360
mtv.com,11.7,5207
instyle.com,11.6,11264
perezhilton.com,11.6,7084
thewrap.com,11.6,7454
vogue.com,11.6,3886
indiewire.com,11.5,3223
newsweek.com,11.3,1604
glamour.com,11.2,8632
nbcnews.com,11.2,912
time.com,11.2,767
zimbio.com,11.2,4250
aol.com,11.1,325
digitalspy.com,11.1,2213
radaronline.com,11.1,16604
hellogiggles.com,11,9879
news.com.au,11,897
chicagotribune.com,10.9,2019
npr.org,10.7,599
thecut.com,10.7,3757
go.com,10.3,434
cnn.com,10.2,104
nbc.com,10,3124
vox.com,10,1117
washingtonpost.com,10,226
mashable.com,9.9,1518
teenvogue.com,9.9,10423
wmagazine.com,9.9,21467
heavy.com,9.8,1379
independent.co.uk,9.8,514
businessinsider.com,9.7,373
complex.com,9.7,2717
nme.com,9.7,3898
slate.com,9.7,1383
thisisinsider.com,9.7,5292
gq.com,9.6,2707
jezebel.com,9.6,2690
rottentomatoes.com,9.4,400
uproxx.com,9.4,4562
intouchweekly.com,9.2,16027
express.co.uk,9.1,634
screenrant.com,9.1,2158
famousbirthdays.com,8.9,2781
inquisitr.com,8.9,9951
mercurynews.com,8.9,4540
newyorker.com,8.9,1459
hulu.com,8.8,234
nytimes.com,8.8,117
telegraph.co.uk,8.8,553
nordstrom.com,8.6,798
theatlantic.com,8.6,901
collider.com,8.5,4234
ranker.com,8.5,1292
vice.com,8.3,166
yelp.com,8,185
thehill.com,7.9,829
cbslocal.com,7.8,2160
cnbc.com,7.8,555
lifeandstylemag.com,7.8,30508
cbs.com,7.7,2166
esquire.com,7.7,2317
ticketmaster.com,7.6,803
bleacherreport.com,7.4,617
gizmodo.com,7.4,508
wsj.com,7.4,546
toofab.com,7.3,15800
usnews.com,7.2,821
sephora.com,7.1,1400
zillow.com,7.1,230
denofgeek.com,7,3482
foodnetwork.com,7,1658
romper.com,7,18277
theverge.com,7,443
nymag.com,6.9,2241
target.com,6.9,415
weather.com,6.9,261
allrecipes.com,6.8,977
gofundme.com,6.7,1618
groupon.com,6.7,654
politico.com,6.7,1074
sbnation.com,6.7,2103
sfgate.com,6.7,1258
cbssports.com,6.6,602
macys.com,6.6,766
patch.com,6.6,468
eventbrite.com,6.5,667
gap.com,6.5,1293
thrillist.com,6.5,2063
usps.com,6.5,370
forbes.com,6.4,252
reuters.com,6.4,580
eater.com,6.3,2327
townandcountrymag.com,6.3,11290
bet.com,6.1,13756
ibtimes.com,6.1,17293
biography.com,5.4,5287
hellomagazine.com,5.3,786
imdb.com,3.6,57
extratv.com,3.2,66952
okmagazine.com,3.2,82252
celebritynetworth.com,3,14774
msn.com,3,50
glamourmagazine.co.uk,2.9,35286
goldderby.com,2.9,41925
thehollywoodgossip.com,2.8,33960
accessonline.com,2.5,94549
buddytv.com,2.5,60257
closerweekly.com,2.5,79242
