# ----------------------------------------
# Alexa Internet
# Audience Overlaps for realsimple.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
realsimple.com,100,8198
thekitchn.com,18,2609
marthastewart.com,17.1,7347
foodnetwork.com,16.9,1658
delish.com,16.7,4007
goodhousekeeping.com,16.2,5440
allrecipes.com,15.4,977
epicurious.com,15.4,4797
myrecipes.com,15.4,9089
bonappetit.com,14.9,4770
geniuskitchen.com,14.8,2162
tasteofhome.com,14.1,4982
countryliving.com,12.9,9088
cookinglight.com,12.3,16966
foodandwine.com,12,9132
greatist.com,11.8,7534
seriouseats.com,11.6,3175
southernliving.com,11.5,12734
eatingwell.com,11.3,11372
thespruce.com,11.3,2990
bbcgoodfood.com,11.2,4256
apartmenttherapy.com,11.1,4299
chowhound.com,11,7999
food52.com,9.9,9430
simplyrecipes.com,9.6,13874
bettycrocker.com,9.5,12362
hgtv.com,9.4,3725
bhg.com,9.3,6529
womansday.com,9.1,23483
today.com,9,3673
rd.com,8.9,4747
allure.com,8.7,7755
popsugar.com,8.6,1813
self.com,8.5,6612
health.com,8.3,7903
instyle.com,8.2,11264
refinery29.com,8.1,2759
brides.com,7.9,15200
buzzfeed.com,7.9,206
yummly.com,7.9,11626
stylecaster.com,7.7,11699
theknot.com,7.5,2492
womenshealthmag.com,7.5,8257
cosmopolitan.com,7.4,2024
glamour.com,7.4,8632
prevention.com,7.4,7762
brit.co,7.3,16408
damndelicious.net,7.3,16446
bustle.com,7.2,1387
leaf.tv,7.2,17486
livestrong.com,6.9,1006
budgetbytes.com,6.8,11809
taste.com.au,6.8,11241
bestproducts.com,6.6,11318
huffingtonpost.com,6.6,334
jamieoliver.com,6.6,10083
housebeautiful.com,6.5,21800
elle.com,6.4,4027
sfgate.com,6.4,1258
shape.com,6.3,8701
spoonuniversity.com,6.3,16754
nymag.com,6.2,2241
purewow.com,6.2,15712
uncommongoods.com,6.1,18164
williams-sonoma.com,6.1,9266
eatthis.com,6,3061
pillsbury.com,6,27685
saveur.com,6,18318
sheknows.com,6,5223
bedbathandbeyond.com,5.9,2027
minimalistbaker.com,5.9,12374
diynetwork.com,5.8,5460
thecut.com,5.8,3757
kraftrecipes.com,5.7,26753
fitnessmagazine.com,5.5,18779
eater.com,5.4,2327
gq.com,5.4,2707
lifehacker.com,5.4,676
marieclaire.com,5.4,11502
menshealth.com,5.4,4716
babble.com,5.3,13316
mindbodygreen.com,5.3,9155
nordstrom.com,5.3,798
travelandleisure.com,5.3,7920
consumerreports.org,5.2,3195
wayfair.com,5.1,921
whowhatwear.com,5.1,15444
artofmanliness.com,5,7384
sephora.com,5,1400
thrillist.com,4.9,2063
anthropologie.com,4.8,4381
ulta.com,4.7,3375
elitedaily.com,4.5,5360
jcrew.com,4.5,2263
myfitnesspal.com,4.5,925
narvar.com,4.5,2550
opentable.com,4.5,2183
people.com,4.5,995
target.com,4.5,415
gap.com,4.4,1293
overstock.com,4.4,1675
draxe.com,4.3,4016
macys.com,4.3,766
rstyle.me,4.3,3835
urbanoutfitters.com,4.3,1365
yelp.com,4.3,185
newyorker.com,4.2,1459
nordstromrack.com,4.2,2855
npr.org,4.2,599
psychologytoday.com,4.2,1553
crateandbarrel.com,4.1,6335
everydayhealth.com,4.1,5094
groupon.com,4.1,654
usnews.com,4.1,821
dsw.com,4,5787
madewell.com,4,6353
retailmenot.com,4,1194
theatlantic.com,4,901
vulture.com,4,1574
healthline.com,3.9,723
cookingchanneltv.com,3.3,45972
finecooking.com,3.3,38232
gifts.com,2.8,35650
thespruceeats.com,2.5,10479
oprah.com,2.4,22004
redbookmag.com,2.3,29776
cooksillustrated.com,2.2,28959
marthastewartweddings.com,2.2,40425
onegoodthingbyjillee.com,2.2,34401
stilltasty.com,2.2,51616
thepioneerwoman.com,2.2,24162
esquire.com,2.1,2317
shutterfly.com,2.1,2468
tablespoon.com,2.1,36241
whatscookingamerica.net,2.1,101108
dodoburd.com,2,116648
elledecor.com,2,32067
byrdie.com,1.9,23493
emilypost.com,1.9,193930
stylecraze.com,1.9,6518
wikihow.com,1.9,184
oureverydaylife.com,1.8,31237
startcooking.com,1.8,239947
thedailymeal.com,1.8,17193
wonderhowto.com,1.8,5966
bridalguide.com,1.7,57854
