# ----------------------------------------
# Alexa Internet
# Audience Overlaps for nextdraft.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
nextdraft.com,100,322644
unemployable.com,3.2,1617331
towriteastory.com,1.9,8456944
reaktivstudios.com,1.8,4001244
southernwritersmagazine.blogspot.com,1.2,
henrybasset.blogspot.com,1.1,
highcomedicvalue.com,1.1,
neckbreaker-tees.myshopify.com,1.1,3206946
veryquiet.com,1.1,142932
withdraft.com,1.1,1881782
playdraft.com,1,2303373
