# ----------------------------------------
# Alexa Internet
# Audience Overlaps for bonappetit.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
bonappetit.com,100,4770
epicurious.com,43.7,4797
seriouseats.com,33.6,3175
thekitchn.com,33.1,2609
foodnetwork.com,32.6,1658
foodandwine.com,29.3,9132
geniuskitchen.com,28.1,2162
allrecipes.com,27.3,977
marthastewart.com,26.7,7347
myrecipes.com,25.8,9089
food52.com,25.7,9430
chowhound.com,25.2,7999
tasteofhome.com,21.9,4982
delish.com,21.8,4007
simplyrecipes.com,19.4,13874
bbcgoodfood.com,18.1,4256
cookinglight.com,17.2,16966
eater.com,16.8,2327
saveur.com,16.8,18318
finecooking.com,15.7,38232
eatingwell.com,15,11372
realsimple.com,14.9,8198
bettycrocker.com,14.1,12362
thespruce.com,14,2990
williams-sonoma.com,13.3,9266
budgetbytes.com,13.2,11809
minimalistbaker.com,12.8,12374
yummly.com,12.5,11626
jamieoliver.com,12.4,10083
southernliving.com,12.2,12734
taste.com.au,11.9,11241
damndelicious.net,11.6,16446
cooksillustrated.com,11.2,28959
thepioneerwoman.com,11.2,24162
cookieandkate.com,11.1,20361
kingarthurflour.com,10.7,18677
greatist.com,10.4,7534
pinchofyum.com,10.3,24468
smittenkitchen.com,10.3,20180
thrillist.com,10.1,2063
cookingchanneltv.com,10,45972
opentable.com,9.9,2183
thespruceeats.com,9.9,10479
countryliving.com,9.8,9088
goodhousekeeping.com,9.8,5440
spoonuniversity.com,9.8,16754
tastingtable.com,9.6,37981
recipetineats.com,9.2,24730
wholefoodsmarket.com,8.9,11051
leaf.tv,8.8,17486
bhg.com,8.7,6529
thedailymeal.com,8.7,17193
today.com,8.6,3673
popsugar.com,8.3,1813
gimmesomeoven.com,8.1,31872
jcrew.com,8,2263
newyorker.com,8,1459
skinnytaste.com,8,15866
buzzfeed.com,7.9,206
inspiredtaste.net,7.9,37825
apartmenttherapy.com,7.8,4299
cafedelites.com,7.8,25134
foodrepublic.com,7.8,47300
nordstrom.com,7.8,798
nymag.com,7.8,2241
pillsbury.com,7.8,27685
self.com,7.8,6612
tablespoon.com,7.8,36241
therecipecritic.com,7.8,22202
sfgate.com,7.7,1258
chefsteps.com,7.6,38851
livestrong.com,7.6,1006
tasty.co,7.6,9451
onceuponachef.com,7.4,49745
thecut.com,7.4,3757
yelp.com,7.4,185
gq.com,7.2,2707
justonecookbook.com,7.2,24740
madewell.com,7.2,6353
npr.org,7.2,599
onegreenplanet.org,7.2,17286
toriavey.com,7.2,58325
anthropologie.com,7.1,4381
liquor.com,7.1,23012
vulture.com,7.1,1574
curbed.com,6.9,4457
everlane.com,6.9,10892
foodnetwork.ca,6.9,30410
grubhub.com,6.9,2138
refinery29.com,6.9,2759
vanityfair.com,6.9,2884
avclub.com,6.8,1466
draxe.com,6.7,4016
rei.com,6.7,1454
ticketfly.com,6.7,3691
gap.com,6.6,1293
narvar.com,6.6,2550
sephora.com,6.6,1400
urbanoutfitters.com,6.6,1365
people.com,6.5,995
splendidtable.org,6.5,90581
theatlantic.com,6.5,901
kraftrecipes.com,6.4,26753
latimes.com,6.4,998
purewow.com,6.4,15712
wayfair.com,6.4,921
bedbathandbeyond.com,6.3,2027
rstyle.me,6.3,3835
timeout.com,6.3,2072
vox.com,6.3,1117
westelm.com,6.3,5686
bustle.com,6.2,1387
deadspin.com,6.2,1131
hbogo.com,6.2,1273
thedailybeast.com,6.2,1288
thehill.com,6.2,829
crateandbarrel.com,6.1,6335
politico.com,6.1,1074
cbslocal.com,6,2160
slate.com,6,1383
tastemade.com,6,27526
ticketmaster.com,6,803
wellnessmama.com,6,17902
zillow.com,6,230
addapinch.com,5.9,52699
hollywoodreporter.com,5.9,1612
mindbodyonline.com,5.9,2393
pitchfork.com,5.9,1190
theknot.com,5.9,2492
thewirecutter.com,5.9,3524
zappos.com,5.9,1595
womansday.com,5.7,23483
justapinch.com,5.5,46521
americastestkitchen.com,5.4,33807
whatscookingamerica.net,4.6,101108
rachaelrayshow.com,2.9,70910
recipetips.com,2.9,121831
mccormick.com,2.7,52002
startcooking.com,2.7,239947
allrecipes.co.uk,2.6,24624
food.com,2.5,52457
stilltasty.com,2.5,51616
abc.go.com,2.4,2346
eatbydate.com,2.3,62332
emerils.com,2.3,149271
amazingribs.com,2.2,49904
cooks.com,2.2,56659
oureverydaylife.com,2.2,31237
snapguide.com,2.2,40944
cooksinfo.com,2.1,130872
delishably.com,2.1,55567
rachaelraymag.com,2.1,132006
incredibleegg.org,2,80306
goodfood.com.au,1.9,41764
natashaskitchen.com,1.9,40282
reluctantgourmet.com,1.9,146725
weber.com,1.9,29155
101cookingfortwo.com,1.8,123767
