# ----------------------------------------
# Alexa Internet
# Audience Overlaps for nypost.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
nypost.com,100,734
nydailynews.com,36.8,1835
foxnews.com,36.1,258
usatoday.com,32.3,440
abcnews.go.com,31.3,1081
cbsnews.com,31.3,750
washingtonpost.com,30.4,226
thehill.com,29.9,829
nbcnews.com,28.5,912
latimes.com,27.9,998
thedailybeast.com,27.7,1288
newsweek.com,27.2,1604
cnn.com,26.8,104
npr.org,26,599
nytimes.com,25.9,117
cnbc.com,25.8,555
businessinsider.com,25.4,373
people.com,24.3,995
politico.com,24.3,1074
pagesix.com,24.1,2824
cbslocal.com,24,2160
tmz.com,23.5,1137
wsj.com,23.5,546
dailymail.co.uk,23.3,158
chicagotribune.com,23.2,2019
huffingtonpost.com,22.6,334
bleacherreport.com,21.5,617
miamiherald.com,21.4,4021
vox.com,21.4,1117
time.com,21.2,767
cbssports.com,20.9,602
reuters.com,20.9,580
theatlantic.com,20.7,901
independent.co.uk,20.5,514
espn.com,20.4,99
hollywoodreporter.com,20.3,1612
go.com,20,434
vanityfair.com,20,2884
nymag.com,19.9,2241
variety.com,19.6,1420
bloomberg.com,19.3,444
snopes.com,19,2302
slate.com,18.6,1383
thesun.co.uk,18.6,837
newyorker.com,18.5,1459
vice.com,18.4,166
yelp.com,18.1,185
forbes.com,17.6,252
buzzfeed.com,17.5,206
deadline.com,17.5,2314
marketwatch.com,17.5,1149
si.com,17.5,1967
theguardian.com,17.5,140
sbnation.com,17.4,2103
theverge.com,17.3,443
ew.com,17.1,2073
mercurynews.com,17.1,4540
rollingstone.com,17,1946
weather.com,16.7,261
telegraph.co.uk,16.5,553
usnews.com,16.5,821
nbcsports.com,16.3,1375
zillow.com,16.3,230
gizmodo.com,16.2,508
fortune.com,16,2689
mirror.co.uk,16,1167
vulture.com,15.8,1574
deadspin.com,15.5,1131
sfgate.com,15.5,1258
mlb.com,15.3,445
cheatsheet.com,15.2,1568
news.com.au,15,897
apnews.com,14.9,3370
popsugar.com,14.8,1813
qz.com,14.8,2156
mashable.com,14.7,1518
nj.com,14.6,3928
craigslist.org,14.5,107
nfl.com,14.5,1271
redd.it,14.5,247
breitbart.com,14.4,318
metro.co.uk,14.3,1640
express.co.uk,14.1,634
washingtonexaminer.com,14.1,7553
techcrunch.com,13.9,893
usps.com,13.9,370
wired.com,13.9,1353
avclub.com,13.6,1466
bustle.com,13.6,1387
aol.com,13.5,325
thinkprogress.org,13.4,5070
chase.com,13.2,138
eonline.com,13.2,2350
homedepot.com,13.2,374
patch.com,13.2,468
today.com,13.2,3673
bostonglobe.com,13.1,4602
gq.com,12.8,2707
ticketmaster.com,12.8,803
thewrap.com,12.6,7454
urbandictionary.com,12.6,507
gofundme.com,12.5,1618
gfycat.com,12.4,266
walmart.com,12.4,188
irs.gov,12.2,694
msnbc.com,12.2,2869
washingtontimes.com,12.2,7141
bbc.com,12.1,92
intuit.com,12.1,294
complex.com,11.9,2717
heavy.com,11.9,1379
ups.com,11.9,423
dailycaller.com,11.8,940
eventbrite.com,11.8,667
usmagazine.com,11.8,3813
ncaa.com,11.7,2037
streamable.com,11.7,1496
arstechnica.com,11.5,1236
target.com,11.5,415
sportingnews.com,11.4,5692
zergnet.com,11.4,3561
drudgereport.com,11.3,727
realtor.com,11.3,715
glassdoor.com,11.1,401
thecut.com,11.1,3757
salon.com,10.9,5417
curbed.com,10.5,4457
foxsports.com,10.4,4509
nationalreview.com,10.3,6233
cosmopolitan.com,10.1,2024
abc.net.au,9.8,1053
globalnews.ca,9.5,3215
newsday.com,9.2,11845
nbcnewyork.com,8.8,19187
ajc.com,8.4,7678
denverpost.com,8.4,9148
nyc.gov,8.2,3794
abc7ny.com,7.7,23098
biography.com,6.3,5287
msn.com,3.2,50
