# ----------------------------------------
# Alexa Internet
# Audience Overlaps for newyorker.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
newyorker.com,100,1459
theatlantic.com,31.6,901
npr.org,27.2,599
vox.com,26.9,1117
politico.com,25.2,1074
vanityfair.com,24.9,2884
slate.com,23.4,1383
thehill.com,23.3,829
thedailybeast.com,22.9,1288
washingtonpost.com,22.8,226
nymag.com,22.7,2241
nytimes.com,22.3,117
latimes.com,21.6,998
vulture.com,21.4,1574
newsweek.com,20.4,1604
nbcnews.com,20.1,912
rollingstone.com,19.9,1946
cbsnews.com,18.9,750
vice.com,18.9,166
variety.com,18.8,1420
hollywoodreporter.com,18.7,1612
nypost.com,18.5,734
wsj.com,18.4,546
avclub.com,18.3,1466
huffingtonpost.com,18.2,334
usatoday.com,17.9,440
theguardian.com,17.7,140
time.com,17.6,767
abcnews.go.com,17.2,1081
nydailynews.com,17.1,1835
qz.com,16.9,2156
cnn.com,16.8,104
cnbc.com,16.5,555
chicagotribune.com,16.4,2019
wired.com,16.3,1353
gq.com,16.2,2707
businessinsider.com,16.1,373
deadline.com,16,2314
independent.co.uk,16,514
people.com,15.6,995
thecut.com,15.4,3757
foxnews.com,15.3,258
economist.com,15.2,2378
buzzfeed.com,15,206
fivethirtyeight.com,15,1816
pitchfork.com,15,1190
reuters.com,15,580
ew.com,14.9,2073
indiewire.com,14.9,3223
snopes.com,14.9,2302
theverge.com,14.8,443
pbs.org,14.4,1918
bloomberg.com,14.1,444
theroot.com,13.7,3108
gizmodo.com,13.6,508
axios.com,13.5,4585
eater.com,13.5,2327
motherjones.com,13.4,7484
rottentomatoes.com,13.4,400
fortune.com,13.3,2689
bostonglobe.com,13.2,4602
deadspin.com,13.2,1131
thinkprogress.org,13.2,5070
esquire.com,13.1,2317
msnbc.com,13.1,2869
telegraph.co.uk,13.1,553
yelp.com,13.1,185
bustle.com,13,1387
theonion.com,12.9,3475
salon.com,12.6,5417
apnews.com,12.3,3370
newrepublic.com,12.3,15481
go.com,12.2,434
fastcompany.com,12.1,3471
thrillist.com,12,2063
forbes.com,11.9,252
pagesix.com,11.9,2824
theringer.com,11.9,1839
mashable.com,11.8,1518
jezebel.com,11.7,2690
theweek.com,11.6,7619
cbc.ca,11.5,984
marketwatch.com,11.4,1149
smithsonianmag.com,11.3,6064
tmz.com,11.3,1137
dailymail.co.uk,11.2,158
eventbrite.com,11.2,667
psychologytoday.com,11.2,1553
usnews.com,11.2,821
cbslocal.com,11.1,2160
ft.com,11.1,1870
techcrunch.com,11.1,893
redd.it,11,247
nationalreview.com,10.9,6233
theintercept.com,10.8,9426
goodreads.com,10.7,352
gofundme.com,10.6,1618
scientificamerican.com,10.6,4025
weather.com,10.5,261
mentalfloss.com,10.4,3504
washingtonexaminer.com,10.4,7553
billboard.com,10.3,1172
medium.com,10.3,268
theconversation.com,10.2,3776
vogue.com,10.2,3886
zillow.com,10.2,230
thewrap.com,10.1,7454
ticketmaster.com,10.1,803
arstechnica.com,10,1236
thenation.com,9.9,17564
craigslist.org,9.8,107
bbc.co.uk,9.7,101
bleacherreport.com,9.6,617
curbed.com,9.6,4457
sfgate.com,9.6,1258
airbnb.com,9.5,297
lifehacker.com,9.5,676
politifact.com,9.5,9880
rogerebert.com,9.5,9683
usps.com,9.5,370
aljazeera.com,9.3,2543
news.com.au,9.3,897
history.com,9.2,2081
cc.com,9.1,3204
poetryfoundation.org,9.1,5577
thesun.co.uk,8.8,837
abc.net.au,8.7,1053
washingtontimes.com,8.7,7141
biography.com,8.6,5287
metacritic.com,8.6,1222
realclearpolitics.com,8.4,5507
britannica.com,8.2,1257
collider.com,8,4234
nybooks.com,8,25682
shmoop.com,8,2013
barnesandnoble.com,7.8,2312
foreignpolicy.com,7.8,13184
wikiquote.org,6.7,4053
irishtimes.com,6.5,4392
aol.com,6.3,325
penguinrandomhouse.com,6,14060
c-span.org,5.3,22339
bbc.com,3.5,92
imdb.com,2.4,57
commonsensemedia.org,1.9,8429
