# ----------------------------------------
# Alexa Internet
# Audience Overlaps for marketwatch.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
marketwatch.com,100,1149
nasdaq.com,48,3854
seekingalpha.com,42.9,2012
wsj.com,39.6,546
cnbc.com,38,555
fool.com,37,2913
thestreet.com,32.1,8613
morningstar.com,31.4,5050
bloomberg.com,30.3,444
reuters.com,26.9,580
investopedia.com,24.3,624
zacks.com,23.3,11779
businessinsider.com,23,373
fortune.com,22.9,2689
cnn.com,20.6,104
fidelity.com,20.6,696
barrons.com,20.4,16799
usatoday.com,19.9,440
ft.com,19.4,1870
cbsnews.com,18.7,750
thehill.com,18.6,829
investors.com,18.3,10258
usnews.com,18.3,821
forbes.com,18,252
latimes.com,17.6,998
nypost.com,17.5,734
nbcnews.com,17.3,912
washingtonpost.com,16.9,226
politico.com,16.7,1074
abcnews.go.com,16.4,1081
npr.org,16.4,599
investorplace.com,16.3,16607
techcrunch.com,16.2,893
time.com,16,767
foxnews.com,15.9,258
irs.gov,15.6,694
chicagotribune.com,15.3,2019
bankrate.com,15.1,4070
nerdwallet.com,15.1,3253
intuit.com,14.8,294
newsweek.com,14.8,1604
nytimes.com,14.8,117
qz.com,14.8,2156
thedailybeast.com,14.7,1288
vox.com,14.4,1117
theatlantic.com,14.3,901
nydailynews.com,14,1835
theverge.com,13.9,443
stocktwits.com,13.8,6657
bizjournals.com,13.1,3552
huffingtonpost.com,12.8,334
sec.gov,12.8,5385
wired.com,12.8,1353
zillow.com,12.7,230
slate.com,12.6,1383
vanguard.com,12.6,1795
cbslocal.com,12.3,2160
yelp.com,12.2,185
thebalance.com,12.1,1255
schwab.com,12,1444
go.com,11.9,434
prnewswire.com,11.9,4713
glassdoor.com,11.8,401
variety.com,11.7,1420
mercurynews.com,11.6,4540
nymag.com,11.6,2241
statista.com,11.6,2389
axios.com,11.5,4585
gizmodo.com,11.5,508
newyorker.com,11.4,1459
vanityfair.com,11.4,2884
coindesk.com,11.3,3133
bleacherreport.com,11.2,617
kiplinger.com,11.2,20732
inc.com,11.1,2041
mashable.com,11.1,1518
ycharts.com,11.1,31220
fastcompany.com,10.9,3471
hollywoodreporter.com,10.9,1612
weather.com,10.9,261
crunchbase.com,10.8,1981
cbssports.com,10.6,602
tradingview.com,10.6,581
chase.com,10.5,138
independent.co.uk,10.5,514
investing.com,10.5,628
recode.net,10.5,8530
advfn.com,10.4,8870
sfgate.com,10.4,1258
theglobeandmail.com,10.4,3459
redfin.com,10.3,860
dowjones.com,10.2,10895
people.com,10.2,995
businesswire.com,10.1,7564
arstechnica.com,10,1236
snopes.com,10,2302
bankofamerica.com,9.9,241
theguardian.com,9.9,140
realtor.com,9.8,715
usps.com,9.8,370
apnews.com,9.7,3370
tmz.com,9.7,1137
craigslist.org,9.6,107
foxbusiness.com,9.6,8820
homedepot.com,9.6,374
americanexpress.com,9.5,425
eventbrite.com,9.3,667
ticketmaster.com,9.3,803
trulia.com,9.3,932
benzinga.com,9.2,34358
miamiherald.com,9.2,4021
costco.com,9.1,853
sbnation.com,9.1,2103
citi.com,9,532
fivethirtyeight.com,9,1816
pagesix.com,9,2824
southwest.com,9,783
espn.com,8.9,99
capitalone.com,8.8,419
groupon.com,8.7,654
ups.com,8.7,423
gurufocus.com,8.3,27554
globenewswire.com,8.1,17245
aol.com,7.9,325
hrblock.com,7.7,4042
barchart.com,7.6,18019
smartasset.com,7.6,9898
macrotrends.net,7.5,40754
finviz.com,7.4,5203
tradingeconomics.com,6.7,6097
etfdb.com,6.5,39368
simplywall.st,6.3,38467
thenest.com,6,13912
yahoo.com,6,7
wallst.com,5.7,11920
bogleheads.org,5.6,22073
corporate-ir.net,5.2,27964
4-traders.com,4.9,29718
marketbeat.com,4.6,59289
streetinsider.com,3.4,55289
amigobulls.com,3.2,187481
tmxmoney.com,2.9,29298
msn.com,2.8,50
etf.com,2.6,53250
financialcontent.com,2.5,118831
moneycontrol.com,2.5,805
dividend.com,2.4,43292
stockinvest.us,2.2,98747
otcmarkets.com,2,43103
aarp.org,1.9,4960
moneycrashers.com,1.9,27431
