# ----------------------------------------
# Alexa Internet
# Audience Overlaps for grubstreet.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
grubstreet.com,100,23593
theinfatuation.com,22.6,20604
eater.com,15.4,2327
gothamist.com,14.3,22958
seamless.com,11.4,4344
zagat.com,9.9,37695
amny.com,9.7,56769
guestofaguest.com,9.6,66998
nymag.com,9.5,2241
resy.com,9.3,45152
streeteasy.com,8.6,4146
villagevoice.com,8,44735
timeout.com,7.6,2072
trycaviar.com,7.6,10797
opentable.com,7.3,2183
thrillist.com,7.2,2063
menupages.com,7.1,48550
foodandwine.com,7,9132
bonappetit.com,6.7,4770
mta.info,6.7,7664
thecut.com,6.7,3757
seriouseats.com,6.1,3175
tastingtable.com,6.1,37981
nbcnewyork.com,5.9,19187
curbed.com,5.8,4457
dnainfo.com,5.4,58440
yalegriffinprc.org,5.4,694248
racked.com,5.2,15116
theoutline.com,5.2,14198
mcsweeneys.net,5.1,26756
everlane.com,5,10892
madewell.com,4.9,6353
theringer.com,4.9,1839
cntraveler.com,4.8,11380
newyorker.com,4.8,1459
grubhub.com,4.7,2138
longreads.com,4.7,40415
smittenkitchen.com,4.7,20180
spoonuniversity.com,4.7,16754
splinternews.com,4.6,5146
aeon.co,4.5,14676
nyc.gov,4.5,3794
food52.com,4.4,9430
vulture.com,4.4,1574
deadspin.com,4.3,1131
purewow.com,4.3,15712
jcrew.com,4.2,2263
momofuku.com,4.2,73258
coned.com,4.1,16036
sweetgreen.com,4.1,41747
apple.news,4,11960
axios.com,4,4585
bloomingdales.com,4,5318
goop.com,4,22809
singleplatform.com,4,10762
vanityfair.com,4,2884
classpass.com,3.9,15083
gq.com,3.9,2707
jezebel.com,3.9,2690
paperlesspost.com,3.9,6825
propublica.org,3.9,19512
fivethirtyeight.com,3.8,1816
getbento.com,3.8,104484
politico.com,3.8,1074
reserve.com,3.8,53685
theroot.com,3.8,3108
wellandgood.com,3.8,26206
abc7ny.com,3.7,23098
brooklynvegan.com,3.7,32973
chowhound.com,3.7,7999
exploretock.com,3.7,42214
avclub.com,3.6,1466
lithub.com,3.6,29790
manrepeller.com,3.6,24432
motherjones.com,3.6,7484
outsideonline.com,3.6,10814
recode.net,3.6,8530
thetakeout.com,3.6,11435
washingtonian.com,3.6,28753
westelm.com,3.6,5686
adage.com,3.5,12047
anthropologie.com,3.5,4381
bostonglobe.com,3.5,4602
citylab.com,3.5,12881
digiday.com,3.5,15682
epicurious.com,3.5,4797
intothegloss.com,3.5,22858
nautil.us,3.5,29313
pagesix.com,3.5,2824
sfchronicle.com,3.5,10596
thereformation.com,3.5,17066
ticketfly.com,3.5,3691
amtrak.com,3.4,4651
bizjournals.com,3.4,3552
dowjones.com,3.4,10895
newrepublic.com,3.4,15481
playbill.com,3.4,16261
slate.com,3.4,1383
splashthat.com,3.4,13212
stubhub.com,3.4,2021
theonion.com,3.4,3475
thepointsguy.com,3.4,4225
vogue.com,3.4,3886
minimalistbaker.com,3.3,12374
realitytvrevisited.com,3.3,52951
thekitchn.com,3.3,2609
nycgo.com,3,51977
firstwefeast.com,2.9,42939
thedailymeal.com,2.4,17193
gayot.com,2.1,140426
kitchennightmaresupdates.com,1.7,217892
bkmag.com,1.6,227876
delish.com,1.6,4007
foodbeast.com,1.6,63286
nrn.com,1.6,93233
foodrepublic.com,1.5,47300
nyc.com,1.5,179679
pizzatoday.com,1.4,357552
postmates.com,1.4,8724
spoilednyc.com,1.4,279869
delivery.com,1.3,42724
michelin.com,1.3,34875
urbandaddy.com,1.3,92400
bedfordandbowery.com,1.2,251189
bravotv.com,1.2,6897
eat24.com,1.2,18927
laweekly.com,1.2,19595
mommypoppins.com,1.2,59433
doordash.com,1.1,3738
finedininglovers.com,1.1,81158
untappedcities.com,1.1,76003
culinaryagents.com,1,113992
eat24hours.com,1,151860
lamag.com,1,46664
opentable.ae,1,1102181
starchefs.com,1,353191
