# ----------------------------------------
# Alexa Internet
# Audience Overlaps for seventeen.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
seventeen.com,100,15794
teenvogue.com,14.8,10423
cosmopolitan.com,9.6,2024
marieclaire.com,8.7,11502
glamour.com,8.4,8632
gurl.com,8.1,30417
hercampus.com,8.1,17051
elle.com,7.9,4027
justjaredjr.com,7.9,27128
stylecaster.com,7.8,11699
harpersbazaar.com,7.7,5523
instyle.com,7.6,11264
elitedaily.com,7.4,5360
allure.com,7.3,7755
refinery29.com,7.3,2759
hellogiggles.com,6.9,9879
bustle.com,6.6,1387
hollywoodlife.com,6.5,8413
j-14.com,6.3,77827
popsugar.com,6.2,1813
thoughtcatalog.com,5.8,4478
eonline.com,5.7,2350
theodysseyonline.com,5.6,6523
lovepanky.com,5.5,18794
thisisinsider.com,5.4,5292
usmagazine.com,5.4,3813
yourtango.com,5.3,11221
goodhousekeeping.com,5.2,5440
womenshealthmag.com,4.6,8257
people.com,4.4,995
famousbirthdays.com,4.3,2781
popbuzz.com,3.5,31820
forever21.com,3.4,1783
sephora.com,3.2,1400
gifts.com,3.1,35650
lulus.com,3.1,4011
glamourmagazine.co.uk,2.9,35286
allthetests.com,2.5,44710
redbookmag.com,2.5,29776
buzzfeed.com,2.4,206
dodoburd.com,2.4,116648
clevver.com,2.3,72577
playbuzz.com,2.3,4898
uncommongoods.com,2.2,18164
girlfriend.com.au,2.1,120797
mtv.com,2.1,5207
capitalfm.com,2,29801
esquire.com,2,2317
liveabout.com,2,28276
prezzybox.com,2,86867
promgirl.com,2,45664
disney.com,1.9,3871
revelist.com,1.9,45870
whowhatwear.com,1.9,15444
allwomenstalk.com,1.7,37398
etonline.com,1.7,11891
justjared.com,1.7,5081
m-magazine.com,1.7,289923
mtv.co.uk,1.7,30150
askmen.com,1.6,6973
byrdie.com,1.6,23493
more.com,1.6,45031
pairedlife.com,1.6,27925
society19.com,1.6,41515
xojane.com,1.6,31392
brostrick.com,1.5,138628
marieclaire.co.uk,1.5,30346
realsimple.com,1.5,8198
stylecraze.com,1.5,6518
sweetyhigh.com,1.5,130364
totalbeauty.com,1.5,34766
perezhilton.com,1.4,7084
proprofs.com,1.4,5078
quibblo.com,1.4,77509
vixendaily.com,1.4,56175
wmagazine.com,1.4,21467
womansday.com,1.4,23483
bestproducts.com,1.3,11318
collegefashion.net,1.3,67092
elleuk.com,1.3,162669
fashionista.com,1.3,24478
gotoquiz.com,1.3,42478
listchallenges.com,1.3,15359
metro.co.uk,1.3,1640
therighthairstyles.com,1.3,37025
tvline.com,1.3,5113
vogue.com,1.3,3886
zimbio.com,1.3,4250
babe.net,1.2,24362
brit.co,1.2,16408
cosmopolitan.com.au,1.2,104812
ew.com,1.2,2073
findmeagift.co.uk,1.2,93253
makeup.com,1.2,98404
narcity.com,1.2,1769
popcrush.com,1.2,63655
romper.com,1.2,18277
smosh.com,1.2,31460
thecut.com,1.2,3757
thefashionspot.com,1.2,32629
ubykotex.com,1.2,146813
billboard.com,1.1,1172
commonsensemedia.org,1.1,8429
digitalspy.com,1.1,2213
jezebel.com,1.1,2690
