# ----------------------------------------
# Alexa Internet
# Audience Overlaps for thecut.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
thecut.com,100,3757
nymag.com,18.8,2241
refinery29.com,15.9,2759
vulture.com,15.7,1574
vanityfair.com,15.5,2884
newyorker.com,15.4,1459
vogue.com,14.9,3886
elle.com,14.7,4027
jezebel.com,14.6,2690
people.com,14.5,995
allure.com,13.8,7755
glamour.com,13.8,8632
pagesix.com,13.5,2824
thedailybeast.com,13.3,1288
vox.com,13.2,1117
bustle.com,13.1,1387
theatlantic.com,13.1,901
slate.com,12.8,1383
gq.com,12.7,2707
cosmopolitan.com,12.6,2024
harpersbazaar.com,12.4,5523
usmagazine.com,12.4,3813
instyle.com,11.4,11264
politico.com,11.3,1074
racked.com,11.3,15116
theroot.com,11.3,3108
npr.org,11.2,599
sephora.com,11.2,1400
thehill.com,11.2,829
nydailynews.com,11.1,1835
nypost.com,11.1,734
avclub.com,10.8,1466
hollywoodreporter.com,10.8,1612
eonline.com,10.7,2350
popsugar.com,10.7,1813
eater.com,10.4,2327
elitedaily.com,10.3,5360
latimes.com,10.3,998
nbcnews.com,10.3,912
newsweek.com,10.3,1604
vice.com,10.2,166
buzzfeed.com,10.1,206
huffingtonpost.com,10.1,334
nordstrom.com,10.1,798
teenvogue.com,10.1,10423
variety.com,10.1,1420
rollingstone.com,10,1946
deadline.com,9.9,2314
ew.com,9.8,2073
tmz.com,9.8,1137
today.com,9.8,3673
abcnews.go.com,9.6,1081
cbsnews.com,9.6,750
deadspin.com,9.6,1131
wmagazine.com,9.6,21467
psychologytoday.com,9.4,1553
hellogiggles.com,9.3,9879
splinternews.com,9.3,5146
qz.com,9.1,2156
washingtonpost.com,9.1,226
chicagotribune.com,9,2019
usatoday.com,9,440
time.com,8.9,767
fastcompany.com,8.8,3471
fashionista.com,8.7,24478
bostonglobe.com,8.5,4602
esquire.com,8.4,2317
foxnews.com,8.4,258
etonline.com,8.3,11891
pitchfork.com,8.2,1190
thoughtcatalog.com,8.2,4478
complex.com,8.1,2717
indiewire.com,8.1,3223
motherjones.com,8.1,7484
nytimes.com,8.1,117
opentable.com,8.1,2183
snopes.com,8.1,2302
businessinsider.com,8,373
marieclaire.com,8,11502
thisisinsider.com,8,5292
hollywoodlife.com,7.9,8413
mercurynews.com,7.9,4540
mashable.com,7.8,1518
theonion.com,7.8,3475
theringer.com,7.8,1839
thinkprogress.org,7.8,5070
womenshealthmag.com,7.8,8257
curbed.com,7.7,4457
thewrap.com,7.7,7454
fortune.com,7.6,2689
independent.co.uk,7.6,514
salon.com,7.6,5417
self.com,7.6,6612
thrillist.com,7.6,2063
urbanoutfitters.com,7.6,1365
apnews.com,7.5,3370
stylecaster.com,7.5,11699
wwd.com,7.5,25166
yelp.com,7.5,185
bonappetit.com,7.4,4770
fivethirtyeight.com,7.4,1816
jcrew.com,7.4,2263
thekitchn.com,7.3,2609
axios.com,7.2,4585
cnn.com,7.2,104
wsj.com,7.2,546
goodhousekeeping.com,7.1,5440
apartmenttherapy.com,7,4299
cbslocal.com,7,2160
rstyle.me,7,3835
everlane.com,6.9,10892
townandcountrymag.com,6.9,11290
highsnobiety.com,6.8,3245
madewell.com,6.8,6353
eventbrite.com,6.7,667
gofundme.com,6.7,1618
grubstreet.com,6.7,23593
health.com,6.7,7903
wired.com,6.7,1353
theoutline.com,6.6,14198
whowhatwear.com,6.6,15444
anthropologie.com,6.5,4381
narvar.com,6.5,2550
vogue.co.uk,6.5,19094
byrdie.com,6.4,23493
cnbc.com,6.4,555
intothegloss.com,6.4,22858
ticketfly.com,6.4,3691
bravotv.com,6.2,6897
justjared.com,6.1,5081
observer.com,6.1,13628
xojane.com,6.1,31392
manrepeller.com,5.8,24432
menshealth.com,5.8,4716
yourtango.com,5.2,11221
brides.com,5.1,15200
essence.com,4.6,32995
aol.com,2.4,325
dailymail.co.uk,2.2,158
news.com.au,2.1,897
thesun.co.uk,2.1,837
marieclaire.co.uk,2,30346
metro.co.uk,2,1640
mirror.co.uk,1.8,1167
glamourmagazine.co.uk,1.7,35286
totalbeauty.com,1.7,34766
hellomagazine.com,1.6,786
standard.co.uk,1.5,3860
businessoffashion.com,1.4,23013
