# ----------------------------------------
# Alexa Internet
# Audience Overlaps for smithsonianmag.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
smithsonianmag.com,100,6064
history.com,18.2,2081
nationalgeographic.com,16.9,1641
livescience.com,13.9,2377
theatlantic.com,13.3,901
scientificamerican.com,12.6,4025
si.edu,12.6,7164
npr.org,12.5,599
pbs.org,12.5,1918
mentalfloss.com,11.5,3504
newyorker.com,11.3,1459
slate.com,10.9,1383
newsweek.com,9.9,1604
vox.com,9.9,1117
atlasobscura.com,9.7,5047
britannica.com,9.7,1257
nbcnews.com,9.7,912
snopes.com,9.7,2302
latimes.com,9.4,998
cbsnews.com,9.3,750
nps.gov,9.3,2976
theconversation.com,9.3,3776
thedailybeast.com,9.2,1288
washingtonpost.com,9.2,226
biography.com,9.1,5287
time.com,9.1,767
sciencemag.org,8.9,2109
space.com,8.9,3489
gizmodo.com,8.7,508
wired.com,8.6,1353
independent.co.uk,8.5,514
nytimes.com,8.5,117
qz.com,8.5,2156
usatoday.com,8.5,440
vanityfair.com,8.5,2884
abcnews.go.com,8.4,1081
loc.gov,8.3,4926
nypost.com,8.3,734
sciencedaily.com,8.3,4829
huffingtonpost.com,8.2,334
newscientist.com,8.2,9470
thehill.com,8.1,829
theguardian.com,8,140
phys.org,7.9,7100
businessinsider.com,7.8,373
sciencealert.com,7.8,8078
telegraph.co.uk,7.8,553
vice.com,7.7,166
chicagotribune.com,7.6,2019
iflscience.com,7.6,3178
nasa.gov,7.6,1009
popsci.com,7.6,6609
cnn.com,7.5,104
foxnews.com,7.4,258
nydailynews.com,7.3,1835
politico.com,7.3,1074
cbc.ca,7.1,984
howstuffworks.com,7.1,2099
nymag.com,7.1,2241
abc.net.au,6.9,1053
economist.com,6.9,2378
psychologytoday.com,6.8,1553
archives.gov,6.6,11560
thoughtco.com,6.6,1572
theonion.com,6.5,3475
buzzfeed.com,6.4,206
dailymail.co.uk,6.4,158
discovermagazine.com,6.4,23519
nature.com,6.4,716
people.com,6.4,995
avclub.com,6.3,1466
apnews.com,6.2,3370
encyclopedia.com,6.2,10173
rollingstone.com,6.2,1946
shmoop.com,6.2,2013
wsj.com,6.2,546
cbslocal.com,6.1,2160
cnbc.com,6.1,555
easybib.com,6,2326
hollywoodreporter.com,6,1612
popularmechanics.com,6,4660
thrillist.com,6,2063
bigthink.com,5.9,10430
jstor.org,5.9,1145
news.com.au,5.8,897
ted.com,5.8,1141
usnews.com,5.8,821
mnn.com,5.7,13615
redd.it,5.7,247
theverge.com,5.7,443
thinkprogress.org,5.7,5070
variety.com,5.7,1420
listverse.com,5.6,9205
reuters.com,5.6,580
vulture.com,5.6,1574
arstechnica.com,5.5,1236
fortune.com,5.5,2689
theweek.com,5.5,7619
ushistory.org,5.5,26837
purdue.edu,5.4,1324
bustle.com,5.3,1387
deadline.com,5.3,2314
nationalgeographic.org,5.3,20421
theroot.com,5.3,3108
go.com,5.2,434
gq.com,5.2,2707
aljazeera.com,5.1,2543
bostonglobe.com,5.1,4602
sfgate.com,5.1,1258
ew.com,5,2073
fivethirtyeight.com,5,1816
miamiherald.com,5,4021
motherjones.com,5,7484
yelp.com,5,185
citationmachine.net,4.9,1873
eater.com,4.9,2327
futurism.com,4.9,9450
gfycat.com,4.9,266
metmuseum.org,4.9,10792
politifact.com,4.9,9880
sparknotes.com,4.9,2039
thecut.com,4.9,3757
deadspin.com,4.8,1131
mercurynews.com,4.8,4540
usgs.gov,4.7,2692
owlcation.com,4.6,9432
bbc.com,3.5,92
historynet.com,3,25933
bbc.co.uk,2.5,101
ancient-origins.net,2,25255
ancient.eu,2,21150
ducksters.com,2,15761
wonderopolis.org,1.9,40278
c-span.org,1.8,22339
todayifoundout.com,1.7,19092
voanews.com,1.7,3153
express.co.uk,1.6,634
americaslibrary.gov,1.5,128906
historyextra.com,1.5,56467
seeker.com,1.5,53612
ushmm.org,1.5,14628
civilwar.org,1.4,71469
csmonitor.com,1.4,19613
earthsky.org,1.4,24411
mirror.co.uk,1.4,1167
newworldencyclopedia.org,1.4,34393
noaa.gov,1.4,1962
thesun.co.uk,1.4,837
mom.me,1.3,20386
thevintagenews.com,1.3,3395
wikiquote.org,1.3,4053
amnh.org,1.2,34330
