# ----------------------------------------
# Alexa Internet
# Audience Overlaps for pagesix.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
pagesix.com,100,2824
tmz.com,28.9,1137
usmagazine.com,27.3,3813
people.com,25.5,995
nypost.com,24.1,734
eonline.com,21.5,2350
etonline.com,21.4,11891
nydailynews.com,21,1835
thedailybeast.com,20.3,1288
vanityfair.com,19.4,2884
thehill.com,18.6,829
deadline.com,18.3,2314
hollywoodreporter.com,18.2,1612
thewrap.com,17.7,7454
hollywoodlife.com,17.3,8413
apnews.com,17.1,3370
politico.com,17,1074
foxnews.com,16.7,258
miamiherald.com,16.3,4021
radaronline.com,15.7,16604
abcnews.go.com,15.6,1081
mercurynews.com,15.6,4540
variety.com,15.6,1420
ew.com,15.4,2073
dailycaller.com,15,940
latimes.com,14.8,998
vulture.com,14.6,1574
bravotv.com,14.5,6897
cbslocal.com,14.5,2160
mediaite.com,14.5,7843
washingtonexaminer.com,14.3,7553
cbsnews.com,14.2,750
nbcnews.com,14.2,912
axios.com,13.9,4585
drudgereport.com,13.9,727
justjared.com,13.7,5081
newsweek.com,13.7,1604
chicagotribune.com,13.6,2019
jezebel.com,13.6,2690
thecut.com,13.5,3757
usatoday.com,13.2,440
nymag.com,12.9,2241
rollingstone.com,12.8,1946
breitbart.com,12.7,318
washingtontimes.com,12.4,7141
avclub.com,12.1,1466
newyorker.com,11.9,1459
wsj.com,11.9,546
theroot.com,11.6,3108
theweek.com,11.6,7619
cheatsheet.com,11.5,1568
pjmedia.com,11.5,10508
thesun.co.uk,11.5,837
dailymail.co.uk,11.3,158
decider.com,11.3,8163
heavy.com,11.1,1379
popsugar.com,11.1,1813
indiewire.com,10.9,3223
today.com,10.8,3673
vox.com,10.8,1117
nickiswift.com,10.7,7181
bostonglobe.com,10.4,4602
mirror.co.uk,10.4,1167
news.com.au,10.4,897
wmagazine.com,10.4,21467
aol.com,10.3,325
cnbc.com,10.3,555
dailywire.com,10.3,3145
deadspin.com,10.3,1131
gq.com,10.3,2707
snopes.com,10.3,2302
msnbc.com,10.2,2869
sacbee.com,10.2,8069
nj.com,10.1,3928
vogue.com,10.1,3886
npr.org,10,599
realclearpolitics.com,10,5507
zergnet.com,10,3561
thinkprogress.org,9.9,5070
inquisitr.com,9.8,9951
intouchweekly.com,9.7,16027
toofab.com,9.5,15800
billboard.com,9.4,1172
uproxx.com,9.4,4562
bleacherreport.com,9.3,617
go.com,9.3,434
refinery29.com,9.3,2759
washingtonpost.com,9.3,226
huffingtonpost.com,9.2,334
elle.com,9.1,4027
metro.co.uk,9.1,1640
nbcnewyork.com,9.1,19187
marketwatch.com,9,1149
slate.com,9,1383
upi.com,9,12739
dallasnews.com,8.9,8437
philly.com,8.9,7144
theatlantic.com,8.9,901
eater.com,8.8,2327
sfgate.com,8.8,1258
harpersbazaar.com,8.7,5523
nationalreview.com,8.7,6233
freebeacon.com,8.6,23465
theamericanmirror.com,8.6,39310
bet.com,8.5,13756
complex.com,8.5,2717
nme.com,8.5,3898
businessinsider.com,8.4,373
thegatewaypundit.com,8.4,8285
hellogiggles.com,8.3,9879
reuters.com,8.3,580
cosmopolitan.com,8.2,2024
motherjones.com,8.2,7484
patch.com,8.2,468
cinemablend.com,8.1,4505
gofundme.com,8,1618
rawstory.com,8,5083
bloomberg.com,7.9,444
nbc.com,7.9,3124
si.com,7.9,1967
theblast.com,7.9,36071
yelp.com,7.9,185
thefederalist.com,7.8,13245
zillow.com,7.8,230
instyle.com,7.7,11264
lifeandstylemag.com,7.7,30508
sbnation.com,7.7,2103
seattletimes.com,7.7,5089
statesman.com,7.7,20381
townandcountrymag.com,7.7,11290
curbed.com,7.6,4457
fivethirtyeight.com,7.6,1816
tvline.com,7.6,5113
observer.com,7.5,13628
newsday.com,7.3,11845
thisisinsider.com,7.3,5292
glamour.com,7.1,8632
perezhilton.com,6.9,7084
thehollywoodgossip.com,6.7,33960
hotnewhiphop.com,6.4,1100
bossip.com,6.1,18187
spin.com,5.9,14797
tvguide.com,5.9,2607
gossipcop.com,5.7,52866
independent.ie,5.7,4078
essence.com,5.4,32995
maxim.com,5.4,15271
extratv.com,4.9,66952
celebritynetworth.com,4.4,14774
hellomagazine.com,4.2,786
okmagazine.com,3.9,82252
zimbio.com,3.7,4250
closerweekly.com,3.3,79242
biography.com,3.1,5287
realitytea.com,2.8,57992
earnthenecklace.com,2.6,81864
whosdatedwho.com,2.6,19362
marriedbiography.com,2.5,58005
articlebio.com,2.4,64860
etcanada.com,2.4,56133
accessonline.com,2.3,94549
frostsnow.com,2.3,72035
thegrio.com,2.3,35703
famousbirthdays.com,2.2,2781
glamourmagazine.co.uk,2.2,35286
wonderwall.com,2.2,108830
heightline.com,2.1,37508
nationalenquirer.com,2.1,79554
popculture.com,2,28063
