# ----------------------------------------
# Alexa Internet
# Audience Overlaps for popularmechanics.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
popularmechanics.com,100,4660
familyhandyman.com,16.9,6388
jalopnik.com,13.4,1654
consumerreports.org,11.8,3195
diynetwork.com,11.1,5460
lowes.com,10.9,733
homedepot.com,10.5,374
doityourself.com,10.2,10429
space.com,10.2,3489
thisoldhouse.com,9.8,17584
caranddriver.com,9.4,3762
yourmechanic.com,9.4,15158
sfgate.com,9.3,1258
wired.com,9.3,1353
gizmodo.com,9,508
howstuffworks.com,9,2099
instructables.com,9,1012
popsci.com,9,6609
thewirecutter.com,8.9,3524
arstechnica.com,8.8,1236
roadandtrack.com,8.7,11999
autotrader.com,8.5,1680
thedrive.com,8.3,11260
digitaltrends.com,8.1,1082
businessinsider.com,8,373
theverge.com,8,443
newsweek.com,7.8,1604
thespruce.com,7.7,2990
nationalinterest.org,7.6,11667
autozone.com,7.5,3457
cbsnews.com,7.5,750
edmunds.com,7.5,3259
hunker.com,7.4,8782
usatoday.com,7.4,440
foxnews.com,7.3,258
lifehacker.com,7.3,676
nbcnews.com,7.3,912
cargurus.com,7.2,1597
cars.com,7.1,2122
thehill.com,6.8,829
kbb.com,6.7,2185
nasa.gov,6.7,1009
theatlantic.com,6.7,901
harborfreight.com,6.5,5399
newatlas.com,6.5,8603
qz.com,6.5,2156
livescience.com,6.4,2377
scientificamerican.com,6.4,4025
angieslist.com,6.3,7765
engadget.com,6.3,649
latimes.com,6.3,998
thedailybeast.com,6.3,1288
time.com,6.3,767
npr.org,6.2,599
nypost.com,6.2,734
techcrunch.com,6.2,893
bgr.com,6.1,4842
cnbc.com,6.1,555
hgtv.com,6.1,3725
mashable.com,6.1,1518
fortune.com,6,2689
military.com,6,9431
politico.com,6,1074
smithsonianmag.com,6,6064
abcnews.go.com,5.9,1081
cnn.com,5.9,104
houzz.com,5.9,1534
phys.org,5.9,7100
slate.com,5.9,1383
independent.co.uk,5.8,514
nationalgeographic.com,5.8,1641
autoblog.com,5.7,5742
miamiherald.com,5.7,4021
thrillist.com,5.7,2063
homeadvisor.com,5.6,5711
motortrend.com,5.6,8883
sciencealert.com,5.6,8078
usnews.com,5.6,821
vox.com,5.6,1117
advanceautoparts.com,5.5,8108
forbes.com,5.5,252
wsj.com,5.5,546
apartmenttherapy.com,5.4,4299
inverse.com,5.4,7182
nydailynews.com,5.4,1835
washingtonpost.com,5.4,226
cbslocal.com,5.3,2160
makezine.com,5.3,15718
marketwatch.com,5.3,1149
nymag.com,5.3,2241
snopes.com,5.3,2302
artofmanliness.com,5.2,7384
bestproducts.com,5.2,11318
chicagotribune.com,5.2,2019
apnews.com,5.1,3370
craigslist.org,5.1,107
reuters.com,5.1,580
bloomberg.com,5,444
mercurynews.com,5,4540
vanityfair.com,5,2884
zillow.com,5,230
futurism.com,4.9,9450
newyorker.com,4.9,1459
redd.it,4.9,247
yelp.com,4.9,185
extremetech.com,4.8,10319
rei.com,4.8,1454
cbc.ca,4.7,984
go.com,4.7,434
hollywoodreporter.com,4.7,1612
huffingtonpost.com,4.7,334
nerdwallet.com,4.7,3253
tirerack.com,4.7,9422
todayshomeowner.com,4.7,33797
usps.com,4.7,370
rollingstone.com,4.6,1946
theweek.com,4.6,7619
thinkprogress.org,4.6,5070
weather.com,4.6,261
bleacherreport.com,4.5,617
crutchfield.com,4.5,8183
gq.com,4.5,2707
mentalfloss.com,4.5,3504
newscientist.com,4.5,9470
nytimes.com,4.5,117
pagesix.com,4.5,2824
vice.com,4.5,166
bobvila.com,3.6,25915
cartalk.com,3,37014
itstillruns.com,2.8,54104
axleaddict.com,2.6,59470
carsdirect.com,2.6,16915
protoolreviews.com,2.6,115182
autobytel.com,2.4,32442
finehomebuilding.com,2.4,42434
morningchores.com,2.3,44470
toolguyd.com,2.2,61358
toptenreviews.com,2.2,9686
dengarden.com,1.9,30580
hometips.com,1.9,84849
woodmagazine.com,1.9,59749
houselogic.com,1.8,49316
pepboys.com,1.8,20458
thesawguy.com,1.8,132973
repairpal.com,1.7,16548
wikihow.com,1.7,184
ezvid.com,1.6,17755
gearpatrol.com,1.6,10372
wonderhowto.com,1.5,5966
energy.gov,1.4,12652
garagejournal.com,1.4,34809
greencarreports.com,1.4,34793
ifixit.com,1.4,1887
menards.com,1.4,5235
napaonline.com,1.4,25496
popularwoodworking.com,1.4,43836
rockler.com,1.4,23781
airspacemag.com,1.3,95132
consumersearch.com,1.3,81557
diychatroom.com,1.3,51075
finewoodworking.com,1.3,50321
lifewire.com,1.3,705
mobiloil.com,1.3,99408
