# ----------------------------------------
# Alexa Internet
# Audience Overlaps for goodhousekeeping.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
goodhousekeeping.com,100,5440
countryliving.com,16.4,9088
realsimple.com,16.2,8198
thekitchn.com,14.2,2609
delish.com,14.1,4007
thespruce.com,13.4,2990
allure.com,13.3,7755
today.com,12.7,3673
foodnetwork.com,12.3,1658
consumerreports.org,12,3195
bestproducts.com,11.9,11318
allrecipes.com,11.8,977
cosmopolitan.com,11.8,2024
popsugar.com,11.8,1813
womansday.com,11.8,23483
marthastewart.com,11.7,7347
hgtv.com,11.5,3725
apartmenttherapy.com,11.4,4299
geniuskitchen.com,11.3,2162
epicurious.com,10.7,4797
instyle.com,10.5,11264
tasteofhome.com,10.5,4982
eatingwell.com,10.3,11372
elle.com,10.3,4027
bhg.com,9.9,6529
rd.com,9.9,4747
bonappetit.com,9.8,4770
harpersbazaar.com,9.8,5523
health.com,9.7,7903
housebeautiful.com,9.6,21800
southernliving.com,9.6,12734
bustle.com,9.4,1387
greatist.com,9.3,7534
myrecipes.com,9.3,9089
prevention.com,9.3,7762
people.com,9.2,995
thewirecutter.com,9.2,3524
buzzfeed.com,9.1,206
seriouseats.com,9.1,3175
bedbathandbeyond.com,9,2027
glamour.com,9,8632
nymag.com,9,2241
marieclaire.com,8.8,11502
refinery29.com,8.8,2759
womenshealthmag.com,8.6,8257
chowhound.com,8.3,7999
cookinglight.com,8.3,16966
foodandwine.com,8.3,9132
self.com,8.3,6612
stylecaster.com,8.2,11699
livestrong.com,8,1006
sfgate.com,8,1258
bbcgoodfood.com,7.8,4256
wayfair.com,7.7,921
eatthis.com,7.5,3061
huffingtonpost.com,7.5,334
sheknows.com,7.5,5223
target.com,7.5,415
townandcountrymag.com,7.5,11290
stylecraze.com,7.3,6518
sephora.com,7.2,1400
redbookmag.com,7.1,29776
thecut.com,7.1,3757
uncommongoods.com,7.1,18164
brit.co,7,16408
houzz.com,7,1534
overstock.com,7,1675
usmagazine.com,7,3813
bettycrocker.com,6.9,12362
food52.com,6.9,9430
healthline.com,6.9,723
shape.com,6.9,8701
reviewed.com,6.8,20766
abcnews.go.com,6.7,1081
draxe.com,6.7,4016
diynetwork.com,6.5,5460
eonline.com,6.4,2350
hunker.com,6.4,8782
macys.com,6.4,766
cbsnews.com,6.3,750
foxnews.com,6.3,258
ulta.com,6.3,3375
vanityfair.com,6.3,2884
leaf.tv,6.2,17486
heavy.com,6.1,1379
nordstrom.com,6.1,798
williams-sonoma.com,6.1,9266
businessinsider.com,6,373
lowes.com,5.9,733
thisisinsider.com,5.8,5292
byrdie.com,5.6,23493
yelp.com,5.5,185
elledecor.com,5.4,32067
cheatsheet.com,5.3,1568
homedepot.com,5.3,374
eater.com,5.2,2327
groupon.com,5.2,654
seventeen.com,5.2,15794
thrillist.com,5.2,2063
npr.org,5.1,599
pagesix.com,5.1,2824
usatoday.com,5.1,440
zillow.com,5.1,230
nypost.com,5,734
ew.com,4.9,2073
latimes.com,4.9,998
narvar.com,4.9,2550
theknot.com,4.9,2492
usnews.com,4.9,821
vulture.com,4.9,1574
bestreviews.com,4.8,19820
chicagotribune.com,4.8,2019
gap.com,4.8,1293
myfitnesspal.com,4.8,925
opentable.com,4.8,2183
rstyle.me,4.8,3835
urbanoutfitters.com,4.8,1365
webmd.com,4.8,560
kohls.com,4.7,1349
mercurynews.com,4.7,4540
retailmenot.com,4.7,1194
consumersearch.com,3.4,81557
howtocleanstuff.net,3.1,83709
toptenreviews.com,3.1,9686
totalbeauty.com,3,34766
gifts.com,2.9,35650
therighthairstyles.com,2.8,37025
esquire.com,2.7,2317
liveabout.com,2.7,28276
onegoodthingbyjillee.com,2.6,34401
thriftyfun.com,2.6,39643
cleanipedia.com,2.5,51809
dodoburd.com,2.3,116648
rodalesorganiclife.com,2.1,37118
bobvila.com,2,25915
reviews.com,2,30694
brostrick.com,1.9,138628
coit.com,1.9,156098
marieclaire.co.uk,1.8,30346
oprah.com,1.8,22004
yaleappliance.com,1.8,113338
aol.com,1.7,325
clark.com,1.7,19282
howstuffworks.com,1.7,2099
