# ----------------------------------------
# Alexa Internet
# Audience Overlaps for runnersworld.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
runnersworld.com,100,8900
competitor.com,43.6,41928
active.com,37.1,6968
runnersconnect.net,27.4,82750
runnerclick.com,24.8,33695
runningshoesguru.com,23.3,54992
runrepeat.com,21.6,15022
verywellfit.com,21.1,10035
letsrun.com,20.9,14061
mapmyrun.com,16.7,14555
coolrunning.com,15.2,60930
roadrunnersports.com,14.2,37479
runningwarehouse.com,13.5,28934
outsideonline.com,12.1,10814
strava.com,11.5,953
strengthrunning.com,11.3,180933
baa.org,11.1,52398
runsignup.com,11,24148
sportsinjuryclinic.net,10.1,57646
asics.com,10,14783
rei.com,9.9,1454
runnersworld.co.uk,9.9,87700
shape.com,9.7,8701
mensfitness.com,9.6,18362
brooksrunning.com,9.5,35212
halhigdon.com,9.1,80213
greatist.com,9,7534
runningintheusa.com,8.7,60690
trainingpeaks.com,8.6,17757
mensjournal.com,8.5,7516
stack.com,8.1,26959
dailyburn.com,7.9,30160
runtastic.com,7.9,9454
livestrong.com,7.7,1006
self.com,7.5,6612
garmin.com,7.4,1763
jackrabbit.com,7.4,61513
halfmarathons.net,7.3,119314
fitnessmagazine.com,7.1,18779
bodybuilding.com,7,1086
menshealth.com,7,4716
dickssportinggoods.com,6.9,2943
womenshealthmag.com,6.9,8257
breakingmuscle.com,6.8,32235
prevention.com,6.5,7762
athlinks.com,6.2,46741
newbalance.com,6.2,12568
saucony.com,6.2,60199
nike.com,6.1,476
nyrr.org,6,61154
zappos.com,6,1595
runrocknroll.com,5.9,56494
sparkpeople.com,5.9,12295
aaos.org,5.7,25334
coachmag.co.uk,5.7,45950
muscleandfitness.com,5.7,10740
t-nation.com,5.6,3455
fitbit.com,5.5,2178
health.com,5.5,7903
boston.com,5.3,5153
triathlete.com,5.3,72066
underarmour.com,5.2,5893
adidas.com,5.1,1930
bicycling.com,5,23693
patagonia.com,5,5886
popsugar.com,4.9,1813
wareable.com,4.9,22732
myfitnesspal.com,4.8,925
si.com,4.8,1967
lululemon.com,4.7,7483
backcountry.com,4.6,5680
runtothefinish.com,4.5,237778
alltrails.com,4.4,7257
bostonglobe.com,4.4,4602
eater.com,4.4,2327
jcrew.com,4.4,2263
deadspin.com,4.3,1131
gq.com,4.3,2707
ncaa.com,4.3,2037
chronotrack.com,4.2,43327
fivethirtyeight.com,4.2,1816
thekitchn.com,4.2,2609
dcrainmaker.com,4.1,39757
bonappetit.com,3.9,4770
narvar.com,3.9,2550
opentable.com,3.9,2183
bikeradar.com,3.8,10041
newyorker.com,3.8,1459
npr.org,3.8,599
seriouseats.com,3.8,3175
thewirecutter.com,3.8,3524
chowhound.com,3.7,7999
geniuskitchen.com,3.7,2162
ironman.com,3.7,27676
nbcsports.com,3.7,1375
nerdwallet.com,3.7,3253
nymag.com,3.7,2241
sbnation.com,3.7,2103
stubhub.com,3.7,2021
cbslocal.com,3.6,2160
foodnetwork.com,3.6,1658
theatlantic.com,3.6,901
thrillist.com,3.6,2063
virginmoneylondonmarathon.com,3.6,64955
epicurious.com,3.5,4797
marathonfoto.com,3.5,78437
mindbodyonline.com,3.5,2393
nps.gov,3.5,2976
vanityfair.com,3.5,2884
nordstrom.com,3.4,798
solereview.com,3.4,162572
verywell.com,3.2,18122
therunningbug.com,2.9,244811
polar.com,2.8,8114
walkjogrun.net,2.8,274599
marathonguide.com,2.7,186124
minneapolisrunning.com,2.7,553137
mcmillanrunning.com,2.6,257365
flotrack.org,2.5,68261
painscience.com,2.5,68139
sports-health.com,2.5,125298
runnersblueprint.com,2.4,314878
thisrunnersrecipes.com,2.4,741787
irunfar.com,2.3,152915
runandbecome.com,2.3,327400
footsmart.com,2.2,152137
nicershoes.com,2.1,75133
t3.com,2,23215
fellrnr.com,1.9,215717
heelthatpain.com,1.9,235614
iaaf.org,1.9,42838
runningmagazine.ca,1.9,186146
trailrunnermag.com,1.9,193910
ahotu.com,1.8,191093
hillrunner.com,1.8,594851
nomeatathlete.com,1.8,132344
runningahead.com,1.8,87707
usatf.org,1.8,74125
wikihow.fitness,1.8,128630
findmymarathon.com,1.7,289206
foot-pain-explored.com,1.7,257975
foot.com,1.7,294386
physioworks.com.au,1.7,95104
runblogger.com,1.7,638143
runjanji.com,1.7,340234
slowtwitch.com,1.7,44446
theactivetimes.com,1.7,146129
beginnertriathlete.com,1.6,121924
drpribut.com,1.6,1026819
fitday.com,1.6,39817
fitnessblender.com,1.6,14589
jeffgalloway.com,1.6,455909
milesplit.com,1.6,18769
realbuzz.com,1.6,148473
