# ----------------------------------------
# Alexa Internet
# Audience Overlaps for countryliving.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
countryliving.com,100,9088
delish.com,23.5,4007
southernliving.com,19.5,12734
hgtv.com,17.7,3725
goodhousekeeping.com,16.4,5440
housebeautiful.com,16.4,21800
tasteofhome.com,14.9,4982
marthastewart.com,14.2,7347
foodnetwork.com,13.5,1658
realsimple.com,12.9,8198
womansday.com,12.5,23483
allrecipes.com,12.2,977
bhg.com,11.7,6529
geniuskitchen.com,10.7,2162
myrecipes.com,10.6,9089
thekitchn.com,10.2,2609
cookinglight.com,10,16966
bettycrocker.com,9.8,12362
bonappetit.com,9.8,4770
elledecor.com,9.8,32067
foodandwine.com,9.3,9132
epicurious.com,9.2,4797
bbcgoodfood.com,9,4256
diynetwork.com,8.8,5460
thespruce.com,8.7,2990
apartmenttherapy.com,8.2,4299
eatingwell.com,7.7,11372
brit.co,7.6,16408
damndelicious.net,7.4,16446
pillsbury.com,7.2,27685
today.com,7.2,3673
seriouseats.com,7,3175
houzz.com,6.7,1534
homedit.com,6.5,28444
people.com,6.5,995
popsugar.com,6.5,1813
simplyrecipes.com,6.4,13874
jamieoliver.com,6.3,10083
taste.com.au,6.3,11241
architecturaldigest.com,6.2,14786
greatist.com,6.2,7534
therecipecritic.com,6.2,22202
chowhound.com,6.1,7999
buzzfeed.com,5.9,206
gardeningknowhow.com,5.9,8328
thisoldhouse.com,5.9,17584
kraftrecipes.com,5.7,26753
food52.com,5.6,9430
townandcountrymag.com,5.6,11290
wayfair.com,5.6,921
simplemost.com,5.5,8908
yummly.com,5.5,11626
purewow.com,5.4,15712
hometalk.com,5.3,12243
onlyinyourstate.com,5.3,12655
foodnetwork.ca,5.1,30410
thrillist.com,5.1,2063
cookieandkate.com,5,20361
budgetbytes.com,4.9,11809
travelandleisure.com,4.9,7920
definition.org,4.8,3746
overstock.com,4.7,1675
usmagazine.com,4.7,3813
cosmopolitan.com,4.6,2024
almanac.com,4.5,15447
babble.com,4.5,13316
bedbathandbeyond.com,4.5,2027
curbed.com,4.5,4457
thepioneerwoman.com,4.5,24162
lowes.com,4.4,733
homedepot.com,4.3,374
spendwithpennies.com,4.3,37244
potterybarn.com,4.2,7446
realtor.com,4.2,715
sfgate.com,4.2,1258
cookingclassy.com,4.1,35558
zillow.com,4.1,230
pinchofyum.com,4,24468
target.com,4,415
kohls.com,3.9,1349
midwestliving.com,3.9,58470
nordstrom.com,3.9,798
opentable.com,3.9,2183
trulia.com,3.9,932
bustle.com,3.8,1387
michaels.com,3.8,4732
consumerreports.org,3.7,3195
eater.com,3.7,2327
theknot.com,3.7,2492
vrbo.com,3.7,2673
yelp.com,3.7,185
gap.com,3.6,1293
groupon.com,3.6,654
narvar.com,3.6,2550
nextdoor.com,3.6,1184
skinnytaste.com,3.6,15866
williams-sonoma.com,3.6,9266
cafedelites.com,3.5,25134
cbsnews.com,3.5,750
crateandbarrel.com,3.5,6335
lecremedelacrumb.com,3.5,52744
legacy.com,3.5,2332
macys.com,3.5,766
refinery29.com,3.5,2759
self.com,3.5,6612
sunset.com,3.5,42426
vanityfair.com,3.5,2884
anthropologie.com,3.4,4381
chewy.com,3.4,3927
hayneedle.com,3.4,8204
nymag.com,3.4,2241
pagesix.com,3.4,2824
rstyle.me,3.4,3835
weather.com,3.4,261
worldmarket.com,3.4,9954
cookingchanneltv.com,3.1,45972
freshome.com,3.1,38642
gifts.com,2.6,35650
redbookmag.com,2.6,29776
uncommongoods.com,2.6,18164
diyncrafts.com,2.5,70663
dodoburd.com,2.4,116648
magnolia.com,2.2,43271
parade.com,2.2,28231
tasteofcountry.com,2.1,63122
balconygardenweb.com,1.9,56339
coastalliving.com,1.9,67229
magnoliamarket.com,1.9,1528314
familyfreshmeals.com,1.8,74473
idealhome.co.uk,1.8,81391
saveur.com,1.8,18318
tablespoon.com,1.7,36241
bobvila.com,1.6,25915
finegardening.com,1.6,71209
gardeners.com,1.6,31115
hallmarkchannel.com,1.6,35922
theboot.com,1.6,110458
esquire.com,1.5,2317
homebnc.com,1.5,105989
morningchores.com,1.5,44470
rd.com,1.5,4747
travelchannel.com,1.5,9786
etonline.com,1.4,11891
mrfood.com,1.4,91551
mydomaine.com,1.4,25664
personalcreations.com,1.4,49098
proflowers.com,1.4,14153
wideopencountry.com,1.4,106319
allrecipes.co.uk,1.3,24624
architectureartdesigns.com,1.3,97183
bestproducts.com,1.3,11318
iheartnaptime.net,1.3,123520
shutterfly.com,1.3,2468
vacationidea.com,1.3,34908
