# ----------------------------------------
# Alexa Internet
# Audience Overlaps for elitedaily.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
elitedaily.com,100,5360
thoughtcatalog.com,22.6,4478
bustle.com,21.8,1387
cosmopolitan.com,17.4,2024
hellogiggles.com,15.4,9879
yourtango.com,15.1,11221
refinery29.com,14.6,2759
psychologytoday.com,14.4,1553
glamour.com,14.3,8632
theodysseyonline.com,13.2,6523
lovepanky.com,13.1,18794
popsugar.com,12.8,1813
people.com,12.6,995
eonline.com,11.7,2350
thisisinsider.com,11.6,5292
usmagazine.com,11.6,3813
askmen.com,11.1,6973
buzzfeed.com,11,206
huffingtonpost.com,10.6,334
vulture.com,10.6,1574
elle.com,10.3,4027
thecut.com,10.3,3757
vanityfair.com,10.2,2884
metro.co.uk,9.9,1640
hercampus.com,9.8,17051
teenvogue.com,9.8,10423
romper.com,9.7,18277
ew.com,9.5,2073
womenshealthmag.com,9.5,8257
pairedlife.com,9.4,27925
hollywoodlife.com,9.3,8413
gq.com,9.2,2707
vox.com,9.2,1117
lifehack.org,8.9,7401
girlsaskguys.com,8.8,4116
hollywoodreporter.com,8.8,1612
newsweek.com,8.8,1604
thrillist.com,8.8,2063
variety.com,8.7,1420
time.com,8.6,767
today.com,8.6,3673
goodmenproject.com,8.5,34310
bolde.com,8.4,64691
harpersbazaar.com,8.4,5523
allure.com,8.3,7755
complex.com,8.3,2717
mashable.com,8.3,1518
tmz.com,8.3,1137
vice.com,8.3,166
etonline.com,8.2,11891
independent.co.uk,8.2,514
billboard.com,8.1,1172
businessinsider.com,8.1,373
menshealth.com,8,4716
theatlantic.com,8,901
nypost.com,7.9,734
self.com,7.9,6612
jezebel.com,7.8,2690
bodybuilding.com,7.7,1086
usatoday.com,7.7,440
mindbodygreen.com,7.6,9155
rollingstone.com,7.6,1946
thesun.co.uk,7.6,837
instyle.com,7.5,11264
nymag.com,7.5,2241
pagesix.com,7.5,2824
screenrant.com,7.5,2158
slate.com,7.5,1383
cbsnews.com,7.4,750
deadline.com,7.4,2314
greatist.com,7.4,7534
latimes.com,7.4,998
nydailynews.com,7.4,1835
seventeen.com,7.4,15794
thedailybeast.com,7.4,1288
tinybuddha.com,7.4,26482
avclub.com,7.3,1466
vogue.com,7.3,3886
dailymail.co.uk,7.2,158
urbandictionary.com,7.2,507
abcnews.go.com,7.1,1081
nbcnews.com,7.1,912
cinemablend.com,7,4505
digitalspy.com,7,2213
inc.com,7,2041
mirror.co.uk,7,1167
qz.com,7,2156
washingtonpost.com,7,226
nme.com,6.9,3898
thestudentroom.co.uk,6.9,4626
fastcompany.com,6.8,3471
npr.org,6.8,599
psychcentral.com,6.8,8256
thehill.com,6.8,829
esquire.com,6.7,2317
heavy.com,6.7,1379
indiewire.com,6.7,3223
metafilter.com,6.7,6456
uproxx.com,6.7,4562
inverse.com,6.6,7182
justjared.com,6.6,5081
marieclaire.com,6.6,11502
chicagotribune.com,6.5,2019
health.com,6.5,7903
news.com.au,6.5,897
theverge.com,6.5,443
comicbook.com,6.4,1029
newyorker.com,6.4,1459
yelp.com,6.3,185
eater.com,6.2,2327
livestrong.com,6.2,1006
sephora.com,6.2,1400
nordstrom.com,6.1,798
urbanoutfitters.com,6.1,1365
usnews.com,6,821
dailydot.com,5.9,7886
wmagazine.com,5.9,21467
mic.com,5.8,12874
tvline.com,5.8,5113
thekitchn.com,5.7,2609
gofundme.com,5.6,1618
healthline.com,5.6,723
xojane.com,5.6,31392
brainyquote.com,5.5,2320
cnbc.com,5.5,555
ticketmaster.com,5.5,803
eventbrite.com,5.4,667
opentable.com,5.4,2183
pitchfork.com,5.4,1190
vixendaily.com,5.4,56175
webmd.com,5.4,560
7cups.com,5.3,28691
mayoclinic.org,5.3,1300
thetalko.com,5.3,54928
girlschase.com,4.9,16851
eharmony.com,3,13783
gurl.com,2.7,30417
aol.com,2.1,325
express.co.uk,2.1,634
verilymag.com,2.1,81128
madamenoire.com,2,37265
thewrap.com,1.9,7454
women.com,1.9,35662
evanmarckatz.com,1.8,156320
popbuzz.com,1.8,31820
zoosk.com,1.8,5866
