# ----------------------------------------
# Alexa Internet
# Audience Overlaps for popsci.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
popsci.com,100,6609
space.com,11.6,3489
scientificamerican.com,10.5,4025
wired.com,10.1,1353
livescience.com,9.7,2377
gizmodo.com,9.6,508
popularmechanics.com,9,4660
sciencealert.com,8.7,8078
nasa.gov,8.3,1009
phys.org,8.2,7100
theverge.com,8.2,443
newscientist.com,8.1,9470
nationalgeographic.com,7.9,1641
iflscience.com,7.7,3178
smithsonianmag.com,7.6,6064
techcrunch.com,7.3,893
technologyreview.com,7.3,8499
sciencedaily.com,7.2,4829
futurism.com,7.1,9450
digitaltrends.com,7,1082
sciencemag.org,7,2109
theatlantic.com,7,901
qz.com,6.9,2156
lifehacker.com,6.8,676
nbcnews.com,6.8,912
arstechnica.com,6.7,1236
mashable.com,6.7,1518
businessinsider.com,6.5,373
howstuffworks.com,6.5,2099
npr.org,6.5,599
engadget.com,6.4,649
newsweek.com,6.4,1604
vox.com,6.4,1117
bgr.com,6.3,4842
newatlas.com,6.3,8603
time.com,6.3,767
fastcompany.com,6.2,3471
slate.com,6.2,1383
theconversation.com,6,3776
cbsnews.com,5.9,750
discovermagazine.com,5.9,23519
mentalfloss.com,5.9,3504
cnbc.com,5.8,555
fortune.com,5.7,2689
inverse.com,5.6,7182
usatoday.com,5.5,440
vice.com,5.5,166
abcnews.go.com,5.4,1081
pcmag.com,5.4,1533
snopes.com,5.4,2302
zdnet.com,5.4,3490
independent.co.uk,5.3,514
washingtonpost.com,5.2,226
foxnews.com,5.1,258
thehill.com,5,829
cnn.com,4.9,104
huffingtonpost.com,4.9,334
telegraph.co.uk,4.9,553
thenextweb.com,4.9,5495
pbs.org,4.8,1918
politico.com,4.8,1074
thewirecutter.com,4.8,3524
bigthink.com,4.7,10430
forbes.com,4.7,252
recode.net,4.7,8530
thedailybeast.com,4.7,1288
theguardian.com,4.7,140
latimes.com,4.6,998
newyorker.com,4.6,1459
nymag.com,4.6,2241
nytimes.com,4.6,117
macrumors.com,4.5,1906
nature.com,4.5,716
buzzfeed.com,4.4,206
apnews.com,4.3,3370
jalopnik.com,4.3,1654
nydailynews.com,4.2,1835
nypost.com,4.1,734
wsj.com,4.1,546
chicagotribune.com,4,2019
rollingstone.com,4,1946
vanityfair.com,4,2884
avclub.com,3.9,1466
cbslocal.com,3.9,2160
hollywoodreporter.com,3.9,1612
reuters.com,3.9,580
axios.com,3.8,4585
marketwatch.com,3.8,1149
sfgate.com,3.8,1258
atlasobscura.com,3.7,5047
cbc.ca,3.7,984
fivethirtyeight.com,3.7,1816
gq.com,3.7,2707
theonion.com,3.7,3475
thinkprogress.org,3.7,5070
usnews.com,3.7,821
economist.com,3.6,2378
mercurynews.com,3.6,4540
saveur.com,3.6,18318
bloomberg.com,3.5,444
bustle.com,3.5,1387
deadspin.com,3.5,1131
ew.com,3.5,2073
miamiherald.com,3.5,4021
people.com,3.5,995
theweek.com,3.5,7619
variety.com,3.5,1420
vulture.com,3.5,1574
xkcd.com,3.5,1666
boingboing.net,3.4,5627
motherjones.com,3.4,7484
psychologytoday.com,3.4,1553
redd.it,3.4,247
pocket-lint.com,2.9,11712
androidauthority.com,2.7,2765
androidcentral.com,2.7,1692
computerworld.com,2.6,9139
makeuseof.com,2.6,1354
techradar.com,2.6,660
techadvisor.co.uk,2.5,4034
wired.co.uk,2.5,10745
extremetech.com,2.4,10319
gadgethacks.com,2.4,7866
pcworld.com,2.4,2398
greenbot.com,2.3,41639
howtogeek.com,2.3,942
tomsguide.com,2.3,807
cnet.com,2.2,170
imore.com,2.2,3374
androidpolice.com,2,4384
trustedreviews.com,1.9,2848
universetoday.com,1.9,30162
9to5google.com,1.8,12099
9to5mac.com,1.8,4693
cultofmac.com,1.8,12590
lifewire.com,1.8,705
macworld.co.uk,1.8,4045
techhive.com,1.8,27939
androidpit.com,1.7,11850
bbc.com,1.7,92
earthsky.org,1.6,24411
mnn.com,1.6,13615
abc.net.au,1.5,1053
express.co.uk,1.5,634
macworld.com,1.5,7536
seeker.com,1.5,53612
wikihow.tech,1.5,27127
alphr.com,1.4,18225
bt.com,1.4,1501
dailymail.co.uk,1.4,158
idownloadblog.com,1.4,9618
komando.com,1.4,20032
techlicious.com,1.4,40952
blog.google,1.3,12535
instructables.com,1.3,1012
