# ----------------------------------------
# Alexa Internet
# Audience Overlaps for abcnews.go.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
abcnews.go.com,100,1081
go.com,68.6,434
cbsnews.com,37.5,750
foxnews.com,36.4,258
nbcnews.com,35.4,912
usatoday.com,33.5,440
washingtonpost.com,33.1,226
cnn.com,32.2,104
nypost.com,31.3,734
thehill.com,30.5,829
latimes.com,29.6,998
npr.org,29.5,599
nydailynews.com,28.3,1835
newsweek.com,27.8,1604
people.com,27.1,995
thedailybeast.com,26.3,1288
cnbc.com,26.1,555
politico.com,25.9,1074
nytimes.com,25.6,117
businessinsider.com,24.7,373
time.com,24.6,767
huffingtonpost.com,23.5,334
chicagotribune.com,23.3,2019
reuters.com,23.1,580
vox.com,23.1,1117
wsj.com,21.7,546
dailymail.co.uk,21.1,158
theatlantic.com,21.1,901
cbslocal.com,20.8,2160
independent.co.uk,20.5,514
hollywoodreporter.com,19.6,1612
vanityfair.com,19.6,2884
tmz.com,19.5,1137
variety.com,19.3,1420
slate.com,19,1383
theguardian.com,18.4,140
miamiherald.com,18.3,4021
bloomberg.com,18.2,444
snopes.com,18.1,2302
usnews.com,17.8,821
bleacherreport.com,17.3,617
ew.com,17.2,2073
newyorker.com,17.2,1459
theverge.com,17,443
weather.com,17,261
telegraph.co.uk,16.9,553
yelp.com,16.9,185
deadline.com,16.6,2314
forbes.com,16.6,252
rollingstone.com,16.6,1946
buzzfeed.com,16.5,206
cbssports.com,16.5,602
marketwatch.com,16.4,1149
nymag.com,16.4,2241
espn.com,16.2,99
mercurynews.com,16.2,4540
sfgate.com,15.8,1258
fortune.com,15.7,2689
today.com,15.7,3673
pagesix.com,15.6,2824
vice.com,15.6,166
apnews.com,15.3,3370
gizmodo.com,15.3,508
zillow.com,15.3,230
eonline.com,15.1,2350
thesun.co.uk,14.9,837
vulture.com,14.5,1574
pbs.org,14.3,1918
thinkprogress.org,14.3,5070
msnbc.com,14.1,2869
mashable.com,14,1518
wired.com,13.9,1353
bbc.com,13.8,92
news.com.au,13.8,897
qz.com,13.8,2156
redd.it,13.8,247
craigslist.org,13.7,107
mirror.co.uk,13.7,1167
popsugar.com,13.7,1813
express.co.uk,13.6,634
sbnation.com,13.6,2103
bustle.com,13.4,1387
si.com,13.4,1967
webmd.com,13.4,560
techcrunch.com,13.3,893
cbc.ca,13.1,984
homedepot.com,13.1,374
washingtonexaminer.com,13.1,7553
usmagazine.com,12.9,3813
usps.com,12.9,370
nbcsports.com,12.7,1375
axios.com,12.6,4585
aol.com,12.4,325
metro.co.uk,12.4,1640
walmart.com,12.3,188
bostonglobe.com,12.2,4602
chase.com,12.1,138
billboard.com,11.9,1172
irs.gov,11.9,694
arstechnica.com,11.8,1236
ticketmaster.com,11.8,803
bbc.co.uk,11.7,101
intuit.com,11.6,294
target.com,11.6,415
gfycat.com,11.4,266
cheatsheet.com,11.3,1568
heavy.com,11.3,1379
thewrap.com,11.2,7454
ups.com,11.1,423
eventbrite.com,11,667
gofundme.com,11,1618
washingtontimes.com,11,7141
abc.net.au,10.9,1053
salon.com,10.9,5417
groupon.com,10.6,654
bankofamerica.com,10.5,241
glassdoor.com,10.5,401
hulu.com,10.5,234
lifehacker.com,10.5,676
livescience.com,10.5,2377
realtor.com,10.5,715
allrecipes.com,10.4,977
aljazeera.com,10.1,2543
history.com,10,2081
politifact.com,9.9,9880
globalnews.ca,9.8,3215
cosmopolitan.com,9.5,2024
biography.com,9,5287
ajc.com,8.4,7678
etonline.com,8.4,11891
realclearpolitics.com,8.3,5507
tvguide.com,8.1,2607
denverpost.com,8,9148
abc7.com,7.7,10697
abc13.com,7.1,12202
wtop.com,6.3,14375
abc7chicago.com,6.1,19006
msn.com,3.2,50
imdb.com,2.5,57
yahoo.com,2.3,7
