# ----------------------------------------
# Alexa Internet
# Audience Overlaps for afar.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
afar.com,100,56748
cntraveler.com,5.6,11380
fodors.com,4.7,17000
dojomojo.ninja,3.4,32998
travelpulse.com,3.3,102489
tastingtable.com,3.2,37981
inspirock.com,3,11225
tripexpert.com,2.5,211894
frommers.com,2.2,34838
lonelyplanet.com,2,2625
jetsetter.com,1.9,68455
travelandleisure.com,1.9,7920
wheretraveler.com,1.9,122997
likealocalguide.com,1.8,57413
tripadvisor.ie,1.8,16336
triphobo.com,1.8,46171
tripadvisor.com.sg,1.7,14612
skyscanner.net,1.6,1290
viator.com,1.6,4580
10best.com,1.5,27714
theculturetrip.com,1.5,4338
tripadvisor.co.za,1.5,11433
tripadvisor.com.hk,1.5,14377
tripadvisor.com.my,1.5,24443
roughguides.com,1.4,28533
tripadvisor.com.ph,1.4,19158
atlasobscura.com,1.3,5047
cntraveller.com,1.3,60519
forbestravelguide.com,1.3,255332
trip101.com,1.3,76695
atlasandboots.com,1.2,152516
getyourguide.com,1.2,11305
goop.com,1.2,22809
hotelscombined.com,1.2,12811
indagare.com,1.2,590993
tripadvisor.co.nz,1.2,15340
expedia.ca,1.1,7009
michelin.com,1.1,34875
tablethotels.com,1.1,116906
travelweekly.com,1.1,72336
tripadvisor.ca,1.1,4353
tripadvisor.com.au,1.1,5906
tripadvisor.se,1.1,35465
virtuoso.com,1.1,123938
expedia.co.uk,1,7949
expedia.com.sg,1,17247
smartertravel.com,1,21211
travelcodex.com,1,168360
tripadvisor.com.mx,1,13860
tripadvisor.nl,1,35732
wikitravel.org,1,10777
wikivoyage.org,1,20551
zagat.com,1,37695
