# ----------------------------------------
# Alexa Internet
# Audience Overlaps for golfdigest.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
golfdigest.com,100,12169
golf.com,71.7,22451
golfchannel.com,56.8,7169
golfweek.com,53.6,42109
pgatour.com,48.9,5065
golfwrx.com,46,15834
pga.com,45.5,26712
golf-monthly.co.uk,34.7,63927
masters.com,26.9,8286
golfalot.com,25,106506
mygolfspy.com,23.1,66121
thesandtrap.com,22.7,98482
golfgalaxy.com,21.3,34822
titleist.com,19.5,62362
augusta.com,19.1,60066
callawaygolf.com,18.1,56295
golfadvisor.com,17.4,69630
rockbottomgolf.com,17.4,37192
taylormadegolf.com,17.3,63676
thehackersparadise.com,16.7,94684
thegolfnewsnet.com,16.3,135921
2ndswing.com,15.2,58745
golfmagic.com,14.9,197934
globalgolf.com,14.4,51759
golfnow.com,14.4,20649
usga.org,14.4,70869
golf-info-guide.com,14.3,198810
tgw.com,14.3,48511
todaysgolfer.co.uk,14.3,150125
pgatoursuperstore.com,14.2,66543
pgatourlive.com,13.7,27436
pluggedingolf.com,12,179101
owgr.com,11.2,70068
sportingnews.com,10.4,5692
sbnation.com,9.8,2103
cbssports.com,9.3,602
golftec.com,9.1,120270
golfdiscount.com,9,106624
barstoolsports.com,8.9,1809
bluegolf.com,8.9,47273
callawaygolfpreowned.com,8.7,73136
golftipsmag.com,8.7,418420
dickssportinggoods.com,8.1,2943
vegasinsider.com,8.1,23817
lpga.com,7.9,37181
twogolfguys.com,7.9,385877
cobragolf.com,7.8,115372
deadspin.com,7.8,1131
ping.com,7.8,90279
top100golfcourses.com,7.6,229195
si.com,7.5,1967
thebiglead.com,7.4,24627
247sports.com,7.1,2090
apptopia.com,7.1,93420
birdload.com,7.1,392978
carlsgolfland.com,7.1,140646
nbcsports.com,7.1,1375
bleacherreport.com,7,617
trackmangolf.com,6.8,276224
baseball-reference.com,6.4,3028
rotoworld.com,6.4,3235
landof10.com,6.2,16360
ncaa.com,6.2,2037
nesn.com,6.1,12077
theathletic.com,6.1,7987
theringer.com,6,1839
3balls.com,5.9,129340
europeantour.com,5.8,38439
ghin.com,5.8,69910
foxsports.com,5.7,4509
worldwidegolfshops.com,5.7,125592
golfworks.com,5.5,157822
nfl.com,5.5,1271
fivethirtyeight.com,5.3,1816
seccountry.com,5.3,19926
bovada.lv,5.2,7498
espn.com,5.2,99
theplayerstribune.com,5.2,18822
swingbyswing.com,5.1,69402
oddsshark.com,5,17831
teeitup.com,5,83814
royalecheat.com,4.9,731923
stubhub.com,4.9,2021
mlb.com,4.8,445
seatgeek.com,4.8,6818
topgolf.com,4.8,34956
draftkings.com,4.7,9084
spotrac.com,4.7,15847
ezlinksgolf.com,4.6,136619
basketball-reference.com,4.5,2952
bizjournals.com,4.5,3552
fangraphs.com,4.5,5435
jasonspencer.com,4.5,274891
sports-reference.com,4.4,19919
sportsline.com,4.4,40328
footjoy.com,4.3,134829
milb.com,4.3,6114
scottycameron.com,4.3,145866
nj.com,4.2,3928
teeoff.com,4.2,80318
kenpom.com,4.1,49340
golficity.com,4,435140
sportsnet.ca,4,6279
bostonglobe.com,3.9,4602
fantasypros.com,3.9,10682
opentable.com,3.9,2183
practical-golf.com,3.9,412925
primealpha.ml,3.9,41844
pro-football-reference.com,3.9,13717
tsn.ca,3.9,3936
golflink.com,3.1,279291
nationalclubgolfer.com,3.1,359345
americangolf.com,2.9,378847
free-online-golf-tips.com,2.4,532082
golftoday.co.uk,2.3,543219
golfbidder.co.uk,2.2,175891
golfinfluence.com,2.2,659681
rotaryswing.com,2.1,175445
golfpunkhq.com,2,624138
leaderboard.com,1.7,934274
randa.org,1.7,372290
golfassessor.com,1.6,771034
linksmagazine.com,1.6,774334
swingmangolf.com,1.6,772486
americangolf.co.uk,1.5,122018
hittingitsolid.com,1.5,1119475
lasergolfrangefinder.com,1.5,603583
pinemeadowgolf.com,1.5,703910
amateurgolf.com,1.4,376099
murdofrazer.com,1.4,1184620
taylormadegolfpreowned.com,1.4,281533
bunkersparadise.com,1.3,1088262
independentgolfreviews.com,1.3,900884
nextgengolf.org,1.3,511344
breakingeighty.com,1.2,387886
geoffshackelford.com,1.2,349289
golfcoursegurus.com,1.2,1483726
golftripper.com,1.2,1187894
pgadigitalgolfacademy.com,1.2,1152807
skysports.com,1.2,1072
andrewricegolf.com,1.1,1109293
coloradoavidgolfer.com,1.1,1146257
golfclubatlas.com,1.1,468849
golfonline.co.uk,1.1,203991
golfvacationinsider.com,1.1,7439044
lostgolfballs.com,1.1,222686
milesofgolf.com,1.1,1104502
