# ----------------------------------------
# Alexa Internet
# Audience Overlaps for remodelista.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
remodelista.com,100,70329
gardenista.com,12.5,83053
organized-home.com,9.2,324647
dwell.com,6.6,33905
stylebyemilyhenderson.com,6.6,68352
rejuvenation.com,6.3,60773
ylighting.com,5.3,110352
dwr.com,5.2,54968
restorationhardware.com,5,23367
designsponge.com,4.8,56991
laurelberninteriors.com,4.7,47262
schoolhouse.com,4.6,125978
cb2.com,4.5,13672
deringhall.com,4.5,170651
decorpad.com,4.4,132526
domino.com,4.2,47881
yaleappliance.com,4,113338
yliving.com,3.8,117852
myscandinavianhome.com,3.7,236249
chairish.com,3.5,39897
onekingslane.com,3.4,46457
studio-mcgee.com,3.3,210345
countertopinvestigator.com,3.2,491170
subzero-wolf.com,2.8,80711
semihandmadedoors.com,2.7,362352
summitappliance.com,2.4,396367
ajmadison.com,2.3,36420
countertopguides.com,2.3,431980
uglyducklinghouse.com,2.1,440971
arteriors.net,1.9,5993544
confessionsofaserialdiyer.com,1.8,362552
designerhomesurplus.com,1.7,1228747
ikeahackers.net,1.7,42812
designertrapped.com,1.6,252351
fisherpaykel.com,1.6,121567
remodelaholic.com,1.6,116585
vikingrange.com,1.6,209742
apartmenttherapy.com,1.5,4299
greatlakesgm.com,1.5,1652996
kokeena.com,1.5,2622494
us-appliance.com,1.5,197012
architecturaldigest.com,1.4,14786
bosch-home.com,1.4,26994
corian.com,1.4,290660
designerappliances.com,1.4,295462
evolutionofstyleblog.com,1.4,985162
ikeaddict.com,1.4,318699
appliancesconnection.com,1.3,72338
compactappliance.com,1.3,72293
kitchencabinetdepot.com,1.3,787357
modernkitchenpros.com,1.3,1291050
mydomaine.com,1.3,25664
thermador.com,1.3,221552
ninahendrick.com,1.2,844061
westelm.com,1.2,5686
addicted2decorating.com,1.1,166041
benjaminmoore.com,1.1,39290
blesserhouse.com,1.1,210569
design-milk.com,1.1,34923
hgtv.com,1.1,3725
kitchenaid.com,1.1,46197
kitchencabinetkings.com,1.1,323108
kitchenmagic.com,1.1,629305
sebringdesignbuild.com,1.1,211064
thecabinetface.com,1.1,2701489
butcherblockco.com,1,755218
caesarstoneus.com,1,281040
inspiredkitchendesign.com,1,784828
northstory.ca,1,1235109
wdcappliances.com,1,579576
