# ----------------------------------------
# Alexa Internet
# Audience Overlaps for recode.net 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
recode.net,100,8530
techcrunch.com,18.4,893
fortune.com,15.9,2689
cnbc.com,12.6,555
fastcompany.com,12.5,3471
qz.com,12.4,2156
theverge.com,12.4,443
geekwire.com,11.9,17931
digiday.com,11.7,15682
wired.com,11.6,1353
adweek.com,11.4,4739
axios.com,11.3,4585
crunchbase.com,11.3,1981
wsj.com,11.3,546
venturebeat.com,11.1,6185
marketwatch.com,10.5,1149
bizjournals.com,9.9,3552
adage.com,9.8,12047
mashable.com,9.6,1518
seekingalpha.com,9.5,2012
businessinsider.com,9.4,373
bgr.com,9.3,4842
thenextweb.com,9.3,5495
variety.com,9.3,1420
politico.com,9.1,1074
vox.com,8.9,1117
engadget.com,8.8,649
vanityfair.com,8.8,2884
inc.com,8.7,2041
statista.com,8.7,2389
9to5mac.com,8.6,4693
thehill.com,8.6,829
arstechnica.com,8.5,1236
mercurynews.com,8.5,4540
nymag.com,8.5,2241
thestreet.com,8.5,8613
bloomberg.com,8.4,444
ft.com,8.4,1870
fool.com,8.3,2913
ycombinator.com,8.3,1586
latimes.com,8.2,998
technologyreview.com,8.2,8499
reuters.com,8.1,580
nbcnews.com,8,912
newyorker.com,8,1459
theatlantic.com,8,901
nasdaq.com,7.6,3854
slate.com,7.6,1383
gizmodo.com,7.5,508
cbsnews.com,7.4,750
eater.com,7.4,2327
npr.org,7.4,599
usatoday.com,7.4,440
curbed.com,7.3,4457
deadline.com,7.3,2314
zdnet.com,7.3,3490
hbr.org,7.2,3304
prnewswire.com,7.2,4713
barrons.com,7,16799
newsweek.com,7,1604
appleinsider.com,6.9,11026
investors.com,6.9,10258
marketingland.com,6.9,26185
nypost.com,6.9,734
businesswire.com,6.8,7564
fb.com,6.8,6684
macrumors.com,6.7,1906
time.com,6.7,767
abcnews.go.com,6.5,1081
forbes.com,6.5,252
greenhouse.io,6.5,2629
angel.co,6.4,2514
sec.gov,6.4,5385
washingtonpost.com,6.4,226
cbinsights.com,6.3,20396
opentable.com,6.3,2183
thedailybeast.com,6.3,1288
wired.co.uk,6.3,10745
apnews.com,6.2,3370
economist.com,6.2,2378
fivethirtyeight.com,6.2,1816
hackernoon.com,6.2,3828
seattletimes.com,6.2,5089
sfchronicle.com,6.2,10596
digitaltrends.com,6.1,1082
inverse.com,6.1,7182
squareup.com,6.1,2438
cnn.com,6,104
dowjones.com,6,10895
emarketer.com,6,25098
cbslocal.com,5.9,2160
producthunt.com,5.9,4043
theregister.co.uk,5.9,6970
deadspin.com,5.7,1131
nytimes.com,5.7,117
splashthat.com,5.7,13212
investorplace.com,5.6,16607
lever.co,5.6,4496
pagesix.com,5.6,2824
pymnts.com,5.6,43784
9to5google.com,5.5,12099
chicagotribune.com,5.5,2019
eventbrite.com,5.5,667
gq.com,5.5,2707
hollywoodreporter.com,5.5,1612
nydailynews.com,5.5,1835
thecut.com,5.5,3757
thepointsguy.com,5.5,4225
theringer.com,5.5,1839
fastcodesign.com,5.4,13054
bostonglobe.com,5.3,4602
coindesk.com,5.3,3133
futurism.com,5.3,9450
jalopnik.com,5.2,1654
rollingstone.com,5.2,1946
vulture.com,5.2,1574
people.com,5.1,995
avclub.com,5,1466
mckinsey.com,5,6292
theoutline.com,5,14198
bufferapp.com,4.9,13970
androidpolice.com,4.8,4384
cultofmac.com,4.8,12590
socialmediaexaminer.com,4.8,11503
popsci.com,4.7,6609
cio.com,4.5,18655
computerworld.com,4.5,9139
pocket-lint.com,2,11712
techhive.com,2,27939
hootsuite.com,1.8,1264
sling.com,1.8,5120
roku.com,1.7,7506
uber.com,1.7,1247
dailydot.com,1.6,7886
entrepreneur.com,1.6,1713
imore.com,1.5,3374
niemanlab.org,1.5,63594
pcmag.com,1.5,1533
snapchat.com,1.5,4741
adespresso.com,1.4,13181
cash.me,1.4,44276
cnet.com,1.4,170
consumerist.com,1.4,49352
downdetector.com,1.4,6938
expandedramblings.com,1.4,103763
amazon.jobs,1.3,8361
androidauthority.com,1.3,2765
independent.co.uk,1.3,514
