# ----------------------------------------
# Alexa Internet
# Audience Overlaps for bravotv.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
bravotv.com,100,6897
realitytea.com,20.1,57992
usmagazine.com,15,3813
radaronline.com,14.8,16604
pagesix.com,14.5,2824
etonline.com,12,11891
eonline.com,11.8,2350
people.com,11,995
toofab.com,9.9,15800
slice.ca,9.5,39208
tmz.com,7.9,1137
hollywoodlife.com,7.8,8413
lifeandstylemag.com,7.6,30508
intouchweekly.com,7.5,16027
okmagazine.com,7.2,82252
vh1.com,7.2,8615
perezhilton.com,7,7084
thehollywoodgossip.com,6.7,33960
eater.com,6.2,2327
jezebel.com,6.2,2690
romper.com,6.2,18277
thecut.com,6.2,3757
instyle.com,6.1,11264
bet.com,6,13756
refinery29.com,6,2759
vulture.com,5.9,1574
justjared.com,5.7,5081
wmagazine.com,5.7,21467
bustle.com,5.6,1387
revolve.com,5.5,6171
mylifetime.com,5.4,25646
essence.com,5.3,32995
ew.com,5.3,2073
nbc.com,5.3,3124
opentable.com,5.3,2183
townandcountrymag.com,5.3,11290
vogue.com,5.3,3886
vanityfair.com,5.2,2884
madewell.com,5.1,6353
anthropologie.com,5,4381
betches.com,5,46883
elle.com,5,4027
harpersbazaar.com,5,5523
hulu.com,5,234
nickiswift.com,5,7181
popsugar.com,5,1813
foodandwine.com,4.9,9132
glamour.com,4.9,8632
lipstickalley.com,4.8,10744
sephora.com,4.8,1400
tamaratattles.com,4.8,179682
today.com,4.8,3673
westelm.com,4.8,5686
bloomingdales.com,4.6,5318
deadline.com,4.6,2314
hellogiggles.com,4.6,9879
mtv.com,4.6,5207
nordstrom.com,4.6,798
elitedaily.com,4.5,5360
neimanmarcus.com,4.5,5727
heavy.com,4.4,1379
nordstromrack.com,4.4,2855
nydailynews.com,4.4,1835
potterybarn.com,4.4,7446
ulta.com,4.4,3375
decider.com,4.3,8163
freepeople.com,4.3,7064
hollywoodreporter.com,4.3,1612
lulus.com,4.3,4011
seamless.com,4.3,4344
allure.com,4.2,7755
jcrew.com,4.2,2263
rstyle.me,4.2,3835
abc.go.com,4,2346
bonappetit.com,4,4770
tlc.com,4,23301
urbanoutfitters.com,4,1365
hbogo.com,3.9,1273
narvar.com,3.9,2550
renttherunway.com,3.9,14695
crateandbarrel.com,3.8,6335
curbed.com,3.8,4457
dsw.com,3.8,5787
everlane.com,3.8,10892
gap.com,3.8,1293
gilt.com,3.8,9341
worldmarket.com,3.8,9954
cb2.com,3.6,13672
fxnetworks.com,3.6,6760
grubhub.com,3.6,2138
lonny.com,3.6,23137
mindbodyonline.com,3.6,2393
glossier.com,3.5,16268
nymag.com,3.5,2241
poshmark.com,3.5,2598
williams-sonoma.com,3.5,9266
apartmenttherapy.com,3.4,4299
bedbathandbeyond.com,3.4,2027
streeteasy.com,3.4,4146
theroot.com,3.4,3108
wayfair.com,3.4,921
ae.com,3.3,2994
inquisitr.com,3.3,9951
saksfifthavenue.com,3.3,7863
shopbop.com,3.3,3298
doordash.com,3.2,3738
goop.com,3.2,22809
hgtv.com,3.2,3725
postmates.com,3.2,8724
theknot.com,3.2,2492
thrillist.com,3.2,2063
okhereisthesituation.com,3,416747
wetpaint.com,2.8,89206
extratv.com,2.5,66952
allaboutthetea.com,2.1,326530
bossip.com,2,18187
celebritynetworth.com,2,14774
realityblurb.com,2,23750
tvguide.com,2,2607
aol.com,1.9,325
hellomagazine.com,1.8,786
allabouttrh.com,1.7,514427
previously.tv,1.7,34057
buddytv.com,1.5,60257
dailymail.co.uk,1.5,158
starcasm.net,1.5,89808
earnthenecklace.com,1.4,81864
famousbirthdays.com,1.4,2781
thisisinsider.com,1.4,5292
allthingsrh.com,1.3,1428555
bigblondehair.com,1.3,577827
bravowatch.com,1.3,1970244
cosmopolitan.com,1.3,2024
marriedbiography.com,1.3,58005
straightfromthea.com,1.3,236539
thewrap.com,1.3,7454
zimbio.com,1.3,4250
accessonline.com,1.2,94549
glamourmagazine.co.uk,1.2,35286
goldderby.com,1.2,41925
grubstreet.com,1.2,23593
news.com.au,1.2,897
tasteofreality.com,1.2,791604
teenvogue.com,1.2,10423
thegrio.com,1.2,35703
tvline.com,1.2,5113
celebrityinsider.org,1.1,8261
closerweekly.com,1.1,79242
elleuk.com,1.1,162669
gossipcop.com,1.1,52866
hayu.com,1.1,66457
islandpacket.com,1.1,116062
theblast.com,1.1,36071
thedailybeast.com,1.1,1288
thesun.co.uk,1.1,837
tv.com,1.1,8761
wikinetworth.com,1.1,80627
wonderwall.com,1.1,108830
