# ----------------------------------------
# Alexa Internet
# Audience Overlaps for newsweek.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
newsweek.com,100,1604
thehill.com,36.2,829
washingtonpost.com,31,226
nbcnews.com,29.6,912
foxnews.com,29.1,258
cbsnews.com,29,750
vox.com,28.7,1117
npr.org,28.2,599
politico.com,28.2,1074
thedailybeast.com,28,1288
usatoday.com,28,440
abcnews.go.com,27.8,1081
nypost.com,27.2,734
cnn.com,27,104
latimes.com,26.4,998
cnbc.com,24.6,555
businessinsider.com,24.4,373
nydailynews.com,24.3,1835
independent.co.uk,24.1,514
theatlantic.com,24.1,901
time.com,23.4,767
nytimes.com,23.2,117
vanityfair.com,23,2884
snopes.com,22.1,2302
huffingtonpost.com,21.7,334
reuters.com,21.6,580
people.com,21.1,995
chicagotribune.com,20.6,2019
slate.com,20.6,1383
newyorker.com,20.4,1459
nymag.com,20,2241
theverge.com,20,443
variety.com,20,1420
vice.com,19.6,166
hollywoodreporter.com,19.4,1612
wsj.com,19,546
redd.it,18.8,247
express.co.uk,18.6,634
polygon.com,18.6,943
theguardian.com,18.5,140
thinkprogress.org,18.2,5070
rollingstone.com,18.1,1946
forbes.com,18,252
dailymail.co.uk,17.9,158
fortune.com,17.7,2689
go.com,17.5,434
qz.com,17.4,2156
bloomberg.com,17.3,444
deadline.com,17.3,2314
gizmodo.com,17,508
telegraph.co.uk,16.8,553
metro.co.uk,16.7,1640
thesun.co.uk,16.7,837
tmz.com,16.7,1137
vulture.com,16.6,1574
ew.com,16.4,2073
washingtonexaminer.com,16.4,7553
buzzfeed.com,16.3,206
cbslocal.com,16.3,2160
gfycat.com,16,266
usnews.com,15.8,821
msnbc.com,15.7,2869
miamiherald.com,15.5,4021
yelp.com,15.4,185
news.com.au,15.3,897
apnews.com,15.2,3370
avclub.com,15.2,1466
marketwatch.com,14.8,1149
bustle.com,14.6,1387
kotaku.com,14.6,814
mercurynews.com,14.6,4540
bleacherreport.com,14.5,617
mashable.com,14.5,1518
streamable.com,14.5,1496
wired.com,14.5,1353
cbc.ca,14.3,984
comicbook.com,14.3,1029
axios.com,14.2,4585
cbssports.com,14,602
espn.com,13.9,99
mirror.co.uk,13.9,1167
politifact.com,13.9,9880
bbc.com,13.8,92
heavy.com,13.8,1379
arstechnica.com,13.7,1236
gamespot.com,13.7,280
pagesix.com,13.7,2824
theroot.com,13.7,3108
pbs.org,13.6,1918
weather.com,13.5,261
knowyourmeme.com,13.4,885
techcrunch.com,13.4,893
theweek.com,13.4,7619
motherjones.com,13.2,7484
eurogamer.net,13.1,1801
fivethirtyeight.com,13.1,1816
ign.com,13.1,326
zillow.com,13,230
gq.com,12.9,2707
salon.com,12.9,5417
craigslist.org,12.6,107
dailystar.co.uk,12.6,2461
indiewire.com,12.4,3223
thewrap.com,12.4,7454
urbandictionary.com,12.4,507
esquire.com,12.3,2317
washingtontimes.com,12.3,7141
vg247.com,12.2,3398
nationalgeographic.com,12.1,1641
bostonglobe.com,11.8,4602
gofundme.com,11.8,1618
sfgate.com,11.7,1258
livescience.com,11.6,2377
aljazeera.com,11.5,2543
usps.com,11.5,370
breitbart.com,11.3,318
eonline.com,11.3,2350
theonion.com,11.3,3475
aol.com,11.1,325
hulu.com,11.1,234
imgur.com,11.1,51
lifehacker.com,11,676
pcgamer.com,11,909
rottentomatoes.com,10.9,400
ticketmaster.com,10.9,803
abc.net.au,10.6,1053
globalnews.ca,10.5,3215
history.com,10.5,2081
nationalreview.com,10.4,6233
inverse.com,10.2,7182
usmagazine.com,9.9,3813
refinery29.com,9.7,2759
dailycaller.com,9.6,940
realclearpolitics.com,9.6,5507
elitedaily.com,8.8,5360
haaretz.com,8.1,7310
newrepublic.com,8.1,15481
ajc.com,7.9,7678
biography.com,6.7,5287
townandcountrymag.com,5.9,11290
msn.com,2.7,50
rt.com,2.6,306
