# ----------------------------------------
# Alexa Internet
# Audience Overlaps for variety.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
variety.com,100,1420
deadline.com,47.9,2314
hollywoodreporter.com,47,1612
ew.com,34.3,2073
vulture.com,31.5,1574
rottentomatoes.com,30.4,400
indiewire.com,30.3,3223
vanityfair.com,26.7,2884
latimes.com,26.2,998
people.com,24.8,995
theverge.com,24.5,443
rollingstone.com,24.2,1946
avclub.com,23.5,1466
usatoday.com,23.3,440
vox.com,22.6,1117
nytimes.com,21.6,117
washingtonpost.com,20.9,226
cbsnews.com,20.8,750
imdb.com,20.8,57
npr.org,20.8,599
independent.co.uk,20.2,514
billboard.com,20,1172
newsweek.com,20,1604
thewrap.com,20,7454
time.com,20,767
cnn.com,19.8,104
businessinsider.com,19.7,373
thedailybeast.com,19.7,1288
cinemablend.com,19.6,4505
nypost.com,19.6,734
abcnews.go.com,19.3,1081
foxnews.com,19.3,258
eonline.com,19.2,2350
collider.com,19,4234
theguardian.com,19,140
newyorker.com,18.8,1459
thehill.com,18.8,829
theatlantic.com,18.6,901
cnbc.com,18.5,555
nbcnews.com,18.5,912
nydailynews.com,18.5,1835
denofgeek.com,18.3,3482
huffingtonpost.com,18.1,334
screenrant.com,18,2158
tvline.com,17.9,5113
tmz.com,17.8,1137
bustle.com,17.7,1387
forbes.com,17.6,252
tvguide.com,17.4,2607
gizmodo.com,17.3,508
buzzfeed.com,16.9,206
digitalspy.com,16.8,2213
vice.com,16.8,166
dailymail.co.uk,16.7,158
metacritic.com,16.4,1222
polygon.com,16.4,943
express.co.uk,16.2,634
wsj.com,16.2,546
go.com,16.1,434
slate.com,16.1,1383
comicbook.com,16,1029
netflix.com,16,29
techcrunch.com,15.9,893
hulu.com,15.8,234
telegraph.co.uk,15.8,553
pagesix.com,15.6,2824
fandango.com,15.4,1380
mashable.com,15.3,1518
nme.com,15.1,3898
chicagotribune.com,15,2019
politico.com,15,1074
redd.it,14.8,247
yelp.com,14.8,185
pitchfork.com,14.5,1190
bloomberg.com,14.3,444
reuters.com,14.3,580
thesun.co.uk,14.3,837
fortune.com,14.2,2689
metro.co.uk,14.2,1640
wired.com,14,1353
gq.com,13.9,2707
nymag.com,13.9,2241
usmagazine.com,13.7,3813
complex.com,13.6,2717
thrillist.com,13.5,2063
ticketmaster.com,13.5,803
uproxx.com,13.4,4562
cbslocal.com,13.3,2160
refinery29.com,13.3,2759
esquire.com,13.2,2317
ign.com,13.1,326
popsugar.com,13.1,1813
qz.com,13,2156
cbssports.com,12.9,602
rogerebert.com,12.8,9683
slashfilm.com,12.8,4508
gfycat.com,12.4,266
arstechnica.com,12.1,1236
ranker.com,12,1292
engadget.com,11.9,649
abc.go.com,11.8,2346
weather.com,11.8,261
news.com.au,11.7,897
snopes.com,11.6,2302
bleacherreport.com,11.5,617
boxofficemojo.com,11.5,2029
espn.com,11.5,99
pastemagazine.com,11.5,5090
urbandictionary.com,11.5,507
streamable.com,11.4,1496
zillow.com,11.3,230
eventbrite.com,11,667
kotaku.com,10.9,814
usnews.com,10.9,821
adweek.com,10.8,4739
craigslist.org,10.8,107
gofundme.com,10.8,1618
decider.com,10.6,8163
eater.com,10.5,2327
etonline.com,10.5,11891
nbc.com,10.5,3124
lifehacker.com,10.4,676
consequenceofsound.net,10.3,6953
nerdist.com,10.3,7502
usps.com,10.3,370
apnews.com,10,3370
deadspin.com,10,1131
medium.com,10,268
justjared.com,9,5081
syfy.com,9,7415
radiotimes.com,8.2,5611
commonsensemedia.org,8,8429
broadwayworld.com,7.5,14736
biography.com,7.4,5287
empireonline.com,7,17637
comingsoon.net,3.9,13289
tvseriesfinale.com,3.3,18995
allocine.fr,3.1,1005
goldderby.com,3.1,41925
playbill.com,2.9,16261
wikia.com,2.9,58
