# ----------------------------------------
# Alexa Internet
# Audience Overlaps for surfer.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
surfer.com,100,45404
stabmag.com,37.2,56260
surfline.com,34.1,10591
worldsurfleague.com,31.9,16442
theinertia.com,28.8,75990
surfertoday.com,22,169723
magicseaweed.com,19.7,17989
surfing-waves.com,19,174208
firewiresurfboards.com,15.3,277907
swellnet.com,14.5,61310
swaylocks.com,13.2,204158
beachgrit.com,12.8,219383
surfscience.com,12.8,401306
cleanlinesurf.com,12.7,242594
tracksmag.com.au,11.5,626960
coastalwatch.com,11.2,78285
adventuresportsnetwork.com,11.1,76748
wannasurf.com,10.5,211194
realwatersports.com,10.4,196720
surfeuropemag.com,10,742251
boardcave.com,9.4,638270
lostsurfboards.net,9.2,385339
surf-forecast.com,8.8,51223
cisurfboards.com,8.7,307843
swellinfo.com,8.3,78502
surfsimply.com,8.2,582154
comparesurfboards.com,7.7,958925
blinksurf.com,7.6,962115
surfersvillage.com,7.1,1241837
thesurfingsite.com,7.1,614668
wslfounderscup.com,6.9,216796
surfstationstore.com,6.8,492878
degree33surfboards.com,6.7,675194
eos.surf,6.4,1169185
ripcurl.com,6.4,144238
kswaveco.com,6.2,713974
whatyouth.com,5.7,309029
mollusksurfshop.com,5.4,319647
finbin.net,5.3,808569
surftech.com,5.3,754767
vissla.com,5,158087
surffcs.com,4.9,340564
seabreeze.com.au,4.7,69589
surfstitch.com,4.7,24628
stormsurf.com,4.6,446995
grindtv.com,4.5,696732
swellmagnet.com,4.2,243483
catchsurf.com,4.1,388283
xcelwetsuits.com,4,420332
dhdsurf.com,3.8,832101
pyzelsurfboards.com,3.8,498857
booksurfcamps.com,3.5,246441
oneill.com,3.5,91047
rvca.com,3.4,63512
encyclopediaofsurfing.com,3.1,
tetongravity.com,3.1,35829
hurley.com,3,162153
surfinghandbook.com,3,928418
360guide.info,2.3,1016267
boardcave.com.au,2.3,891876
freesurfmagazine.com,2.2,3209999
mpora.com,2.2,93130
boardshop.co.uk,2.1,435858
carvemag.com,2,1060057
surfd.com,2,1177938
easternsurf.com,1.9,2110185
solspot.com,1.9,518011
thesurfboardwarehouse.com,1.9,998667
quiksilver.com,1.8,55431
surfholidays.com,1.8,347710
lushpalm.com,1.7,881136
realsurf.com,1.7,2186500
wavetribe.com,1.7,780263
surfersjournal.com,1.5,975138
surfparkcentral.com,1.5,2054206
thesurfchannel.com,1.5,1481209
newquaysurfer.org,1.4,2156135
wavelengthmag.com,1.4,1135836
disruptsports.com,1.3,1071680
hansensurf.com,1.3,481718
indosurflife.com,1.3,1227509
santacruzwaves.com,1.3,775239
shop-eat-surf.com,1.3,456134
surfboardsdirect.com.au,1.3,1435872
surftotal.com,1.3,334228
wetsuitwearhouse.com,1.3,294371
billabong.com,1.2,35852
standupzone.com,1.2,980685
surfindustries.com,1.2,517656
surfinglife.com.au,1.2,2114055
liquidsaltmag.com,1.1,4835564
supthemag.com,1.1,408051
surf-station.com,1.1,805422
surfnewsnetwork.com,1.1,290725
barefootsurftravel.com,1,596928
futuresfins.com,1,391031
