# ----------------------------------------
# Alexa Internet
# Audience Overlaps for curbed.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
curbed.com,100,4457
eater.com,17.8,2327
streeteasy.com,16.8,4146
bizjournals.com,13.7,3552
latimes.com,13.6,998
redfin.com,13.3,860
cbslocal.com,13.1,2160
apartments.com,12.7,1434
therealdeal.com,12.6,25258
timeout.com,12.5,2072
zillow.com,12.3,230
thrillist.com,12.2,2063
citylab.com,11.8,12881
trulia.com,11.8,932
architecturaldigest.com,11.7,14786
nymag.com,11.4,2241
nyc.gov,11.2,3794
mercurynews.com,11.1,4540
patch.com,10.8,468
chicagotribune.com,10.7,2019
opentable.com,10.7,2183
nypost.com,10.5,734
sfchronicle.com,10.5,10596
apartmenttherapy.com,10.4,4299
yelp.com,10.1,185
airbnb.com,9.9,297
nydailynews.com,9.9,1835
seattletimes.com,9.9,5089
wsj.com,9.7,546
eventbrite.com,9.6,667
hotpads.com,9.6,6155
mta.info,9.6,7664
newyorker.com,9.6,1459
realtor.com,9.6,715
dezeen.com,9.1,4454
politico.com,9,1074
thehill.com,8.9,829
cnbc.com,8.8,555
deadspin.com,8.7,1131
archdaily.com,8.6,2742
fortune.com,8.6,2689
npr.org,8.6,599
usatoday.com,8.6,440
atlasobscura.com,8.5,5047
bostonglobe.com,8.5,4602
stubhub.com,8.5,2021
cbsnews.com,8.4,750
businessinsider.com,8.3,373
ca.gov,8.3,640
fivethirtyeight.com,8.3,1816
sfgate.com,8.3,1258
theatlantic.com,8.3,901
thepointsguy.com,8.3,4225
thedailybeast.com,8.2,1288
vox.com,8.2,1117
nerdwallet.com,8.1,3253
ticketfly.com,8.1,3691
vanityfair.com,8.1,2884
craigslist.org,8,107
dnainfo.com,8,58440
laweekly.com,7.9,19595
abc7.com,7.8,10697
qz.com,7.8,2156
gq.com,7.7,2707
nytimes.com,7.7,117
slate.com,7.7,1383
thecut.com,7.7,3757
travelandleisure.com,7.7,7920
nextdoor.com,7.6,1184
pagesix.com,7.6,2824
theroot.com,7.6,3108
vulture.com,7.6,1574
ajc.com,7.5,7678
amny.com,7.5,56769
avclub.com,7.5,1466
axios.com,7.5,4585
brickunderground.com,7.5,62883
city-data.com,7.5,4209
jcrew.com,7.5,2263
ticketmaster.com,7.5,803
tripsavvy.com,7.5,5333
amtrak.com,7.4,4651
deadline.com,7.4,2314
nbcnews.com,7.4,912
philly.com,7.4,7144
grubhub.com,7.3,2138
recode.net,7.3,8530
hollywoodreporter.com,7.2,1612
niche.com,7.2,6772
southwest.com,7.2,783
usnews.com,7.2,821
variety.com,7.2,1420
jalopnik.com,7.1,1654
people.com,7.1,995
seamless.com,7.1,4344
techcrunch.com,7.1,893
abc7news.com,7,15382
marketwatch.com,7,1149
rollingstone.com,7,1946
theonion.com,7,3475
united.com,7,1078
wayfair.com,7,921
westelm.com,7,5686
apnews.com,6.9,3370
bonappetit.com,6.9,4770
cntraveler.com,6.9,11380
delta.com,6.9,882
hbogo.com,6.9,1273
newsweek.com,6.9,1604
pitchfork.com,6.9,1190
rei.com,6.9,1454
fastcompany.com,6.8,3471
nordstrom.com,6.8,798
theringer.com,6.8,1839
jezebel.com,6.7,2690
nbcnewyork.com,6.7,19187
ncaa.com,6.7,2037
thewirecutter.com,6.7,3524
weather.com,6.7,261
wired.com,6.7,1353
lamag.com,6.5,46664
dailynews.com,6.4,38339
nbclosangeles.com,6.4,28090
inhabitat.com,6.3,18856
wtop.com,6.3,14375
lacity.org,6.2,27275
nbcbayarea.com,6.2,21768
ocregister.com,6.1,11416
theculturetrip.com,6.1,4338
bisnow.com,6,41378
rentcafe.com,6,13201
apartmentlist.com,5.8,15784
zumper.com,5.8,22552
gothamist.com,5.7,22958
geekwire.com,5.6,17931
thestranger.com,5.6,15203
washingtonian.com,5.6,28753
abc7ny.com,5.5,23098
dwell.com,5.5,33905
apartmentguide.com,5.3,9703
seattle.gov,5.1,19139
metro.net,4.9,45032
streetsblog.org,4.8,66514
newatlas.com,4.6,8603
cityrealty.com,3.4,89946
6sqft.com,3.2,84900
discoverlosangeles.com,2.7,59653
untappedcities.com,2.3,76003
nycgo.com,2.1,51977
scpr.org,2.1,44762
archpaper.com,2,94094
mansionglobal.com,1.9,17277
phillymag.com,1.9,32580
chicagobusiness.com,1.8,52156
freetoursbyfoot.com,1.8,49384
nakedapartments.com,1.8,33594
buzzbuzzhome.com,1.6,61907
elledecor.com,1.6,32067
mommypoppins.com,1.6,59433
nycgovparks.org,1.5,51546
redtri.com,1.5,52057
streetadvisor.com,1.5,146156
kcet.org,1.4,83129
laist.com,1.4,150898
metro.us,1.4,41256
rent.com,1.4,12203
urbanize.la,1.4,91797
visitphilly.com,1.4,66233
apartmentfinder.com,1.3,19120
