# ----------------------------------------
# Alexa Internet
# Audience Overlaps for yogajournal.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
yogajournal.com,100,23598
doyouyoga.com,56.9,59861
yogainternational.com,41.6,66946
yogaoutlet.com,26.6,69523
ekhartyoga.com,26.5,109243
yogabasics.com,19.7,265973
artofliving.org,18,44873
chopra.com,15.9,50336
yogapedia.com,13.6,164802
doyogawithme.com,12.9,56778
mindbodygreen.com,12.5,9155
yogiapproved.com,12.4,126934
gaia.com,12.3,18434
elephantjournal.com,11.1,28919
gaiam.com,10.5,58103
yogaalliance.org,9.2,106795
yogauonline.com,8.7,178749
bookyogaretreats.com,8,73106
banyanbotanicals.com,7.1,90690
verywellfit.com,7,10035
kripalu.org,6.9,169796
sadhguru.org,6.8,26887
yogicwayoflife.com,6.6,304516
wanderlust.com,6.4,122399
chakras.info,5.9,133818
yogabycandace.com,5.6,299755
tummee.com,5.5,446031
mindbodyonline.com,5,2393
shape.com,4.5,8701
thejourneyjunkie.com,4.2,443411
sonima.com,4.1,286281
jasonyoga.com,3.8,354671
beyogi.com,3.7,680982
cnyhealingarts.com,3.6,1503637
yinyoga.com,3.3,472252
yogapoint.com,3.3,390592
theyogalunchbox.co.nz,3.2,478922
yogaglo.com,3.2,77909
yogadork.com,3.1,708782
yogaforhealthyaging.blogspot.com,3.1,1703460
3ho.org,3,217471
pocketyoga.com,3,943266
sarvyoga.com,3,576873
swamij.com,3,338167
yogitimes.com,3,525447
mapi.com,2.9,184223
spiritvoyage.com,2.8,128265
yoganatomy.com,2.8,399256
yogawiz.com,2.8,527659
sensational-yoga-poses.com,2.7,822433
ashtangayoga.info,2.6,345301
expandinglight.org,2.6,415401
seattleyoganews.com,2.6,721561
breakingmuscle.com,2.5,32235
dailyburn.com,2.5,30160
yoga.com,2.5,1516756
sequencewiz.org,2.4,436923
yogaindailylife.org,2.4,290636
corepoweryoga.com,2.3,37735
gyanunlimited.com,2.3,149819
stylecraze.com,2.3,6518
yogaworks.com,2.3,112663
spotebi.com,2.2,116708
workouttrends.com,2.2,767322
yogawithadriene.com,2.2,106663
eyogaguru.com,2.1,908107
bookretreats.com,2,255424
kidsyogastories.com,2,526902
lifespa.com,2,119657
mindful.org,2,65066
beachbodyondemand.com,1.9,12314
greatist.com,1.9,7534
sivanaspirit.com,1.9,100356
ananda.org,1.8,170398
avocadu.com,1.8,149956
theayurvedaexperience.com,1.8,146457
thesecretsofyoga.com,1.8,683063
yoga15.com,1.7,668051
yogaclassplan.com,1.7,1735400
yurielkaim.com,1.7,81450
gmb.io,1.6,57096
yogabody.com,1.6,416451
yogadownload.com,1.6,250799
yogaforums.com,1.6,601926
yogatoday.com,1.6,628047
gethealthyu.com,1.5,143806
lovemeditating.com,1.5,1302329
yogafit.com,1.5,804080
active.com,1.4,6968
corewalking.com,1.4,362587
feelgoodyogavictoria.com,1.4,1924190
huggermugger.com,1.4,1069619
wellandgood.com,1.4,26206
yoga-teacher-training.org,1.4,1396981
yogamagazine.com,1.4,1514406
fitnessmagazine.com,1.3,18779
healthandyoga.com,1.3,510001
thechalkboardmag.com,1.3,106017
theyoganomads.com,1.3,674414
yogadigest.com,1.3,870848
yogalondon.net,1.3,765972
blueosa.com,1.2,669686
dailycupofyoga.com,1.2,745565
