# ----------------------------------------
# Alexa Internet
# Audience Overlaps for autoweek.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
autoweek.com,100,26080
motortrend.com,29,8883
caranddriver.com,26.6,3762
roadandtrack.com,25.4,11999
automobilemag.com,22.8,44909
thedrive.com,19.7,11260
motorauthority.com,19.2,33798
jalopnik.com,18.9,1654
autoblog.com,18,5742
motor1.com,17.5,9606
topspeed.com,17.1,22697
thecarconnection.com,16.6,22790
autoguide.com,13.9,39436
autonews.com,13.6,27537
thetruthaboutcars.com,13,46438
edmunds.com,12.9,3259
kbb.com,12.8,2185
topgear.com,12.7,12078
jdpower.com,12.6,47691
carbuzz.com,12.4,39347
autocar.co.uk,12,15490
greencarreports.com,12,34793
autotrader.com,11.8,1680
cars.com,11.8,2122
driving.ca,10.8,52145
chevrolet.com,10.6,10018
motorsport.com,10.6,817
carscoops.com,10.5,14959
carmax.com,10.2,4047
autosport.com,10.1,13235
cargurus.com,10,1597
autoevolution.com,9.9,18222
carmagazine.co.uk,9.9,43403
autobytel.com,9.8,32442
evo.co.uk,9.8,46003
carthrottle.com,9.6,15777
hemmings.com,9.4,20322
audiusa.com,9.1,13041
ford.com,9,3258
mbusa.com,9,11866
truecar.com,9,7267
bringatrailer.com,8.9,10815
gmauthority.com,8.7,70811
carfax.com,8.6,5381
autoexpress.co.uk,8.5,13278
nadaguides.com,8.5,11272
caradvice.com.au,8.2,24156
nascar.com,8.2,13529
bmwblog.com,8,31849
vw.com,8,14739
bmwusa.com,7.6,10312
torquenews.com,7.4,122576
zeroto60times.com,7.2,44827
fueleconomy.gov,7.1,29187
trucktrend.com,7.1,85185
electrek.co,7,8202
formula1.com,7,3445
insideevs.com,7,35721
mazdausa.com,6.9,18184
honda.com,6.8,5547
carsdirect.com,6.7,16915
toyota.com,6.7,5145
hotrod.com,6.6,46034
jeep.com,6.6,13945
dupontregistry.com,6.5,19752
lexus.com,6.5,17520
racer.com,6.5,19567
subaru.com,6.3,12174
porsche.com,6.2,7578
hagerty.com,6.1,50320
motoring.com.au,6.1,64709
consumerreports.org,5.9,3195
bimmerpost.com,5.8,16028
carwow.co.uk,5.5,25223
dodge.com,5.5,23958
hyundaiusa.com,5.5,18322
superstreetonline.com,5.5,56321
vehiclehistory.com,5.4,23960
carsforsale.com,5.3,2608
nhtsa.gov,5.3,32408
ramtrucks.com,5.3,29424
gmc.com,5.2,33823
autotrader.ca,5.1,6877
nissanusa.com,5.1,11579
tirerack.com,5,9422
cadillac.com,4.9,40190
drivetribe.com,4.8,29993
carid.com,4.7,5427
acura.com,4.6,32514
infinitiusa.com,4.5,38630
summitracing.com,4.5,10200
grassrootsmotorsports.com,4,66193
racefans.net,4,38585
carsguide.com.au,3.9,18170
corvetteforum.com,3.9,21778
jegs.com,3.9,21474
rennlist.com,3.9,29198
petrolicious.com,3.7,42614
autotempest.com,3.6,29007
mclaren.com,3.6,42384
vwvortex.com,3.6,17620
autoanything.com,3.5,19988
jaguarusa.com,3.5,53985
nasioc.com,3.5,23116
dealer.com,3.4,22331
guideautoweb.com,3.4,68304
miata.net,3.4,33497
audiworld.com,3.3,31283
ecstuning.com,3.3,13036
ferrari.com,3.3,23448
tflcar.com,3.1,193738
dealereprocess.net,2.8,262048
newatlas.com,2.8,8603
whatcar.com,2.8,24853
auto123.com,2.7,56438
leftlanenews.com,2.7,118288
tfltruck.com,2.7,150307
carsales.com.au,2.6,5604
jlwranglerforums.com,2.5,86616
allpar.com,2.4,79874
cleantechnica.com,2.4,24310
drive.com.au,2.4,43248
nydailynews.com,2.4,1835
gm.com,2.3,9634
detroitnews.com,2.2,22651
automobile-catalog.com,2.1,39585
consumerguide.com,2.1,180776
freep.com,2.1,11545
hybridcars.com,2.1,160584
trucks.com,2.1,203938
iihs.org,2,53902
motorweek.org,2,262781
pickuptrucks.com,2,212944
autolist.com,1.9,57990
