# ----------------------------------------
# Alexa Internet
# Audience Overlaps for mic.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
mic.com,100,12874
zeldadungeon.net,9.2,11879
polygon.com,8.8,943
twinfinite.net,8.7,4407
usgamer.net,8.2,5672
eurogamer.net,8,1801
gosunoob.com,8,7130
player.one,7.9,23504
rankedboost.com,7.1,6020
vox.com,6.8,1117
nintendolife.com,6.6,7804
primagames.com,6.6,9488
vg247.com,6.4,3398
kotaku.com,6.2,814
vulture.com,6.2,1574
bustle.com,6.1,1387
theatlantic.com,6,901
thedailybeast.com,6,1288
theroot.com,6,3108
newsweek.com,5.9,1604
slate.com,5.9,1383
thecut.com,5.9,3757
avclub.com,5.8,1466
dailydot.com,5.8,7886
elitedaily.com,5.8,5360
vanityfair.com,5.8,2884
jezebel.com,5.7,2690
nintendo.com,5.7,1672
politico.com,5.6,1074
thehill.com,5.6,829
vice.com,5.6,166
refinery29.com,5.5,2759
thinkprogress.org,5.4,5070
rollingstone.com,5.3,1946
teenvogue.com,5.2,10423
theodysseyonline.com,5.2,6523
gamesradar.com,5.1,3361
motherjones.com,5.1,7484
complex.com,5,2717
ew.com,5,2073
heavy.com,5,1379
hollywoodreporter.com,5,1612
inverse.com,5,7182
nbcnews.com,5,912
newyorker.com,5,1459
metro.co.uk,4.9,1640
salon.com,4.9,5417
snopes.com,4.9,2302
splinternews.com,4.9,5146
huffingtonpost.com,4.8,334
nydailynews.com,4.8,1835
nymag.com,4.8,2241
qz.com,4.8,2156
uproxx.com,4.8,4562
buzzfeed.com,4.6,206
cosmopolitan.com,4.6,2024
hellogiggles.com,4.6,9879
indiewire.com,4.6,3223
thewrap.com,4.6,7454
mashable.com,4.5,1518
politifact.com,4.5,9880
time.com,4.5,767
businessinsider.com,4.4,373
glamour.com,4.4,8632
leafly.com,4.4,4386
thoughtcatalog.com,4.4,4478
theonion.com,4.3,3475
washingtonexaminer.com,4.3,7553
independent.co.uk,4.2,514
gq.com,4.1,2707
latimes.com,4.1,998
npr.org,4.1,599
apnews.com,3.9,3370
deadline.com,3.9,2314
fivethirtyeight.com,3.9,1816
axios.com,3.8,4585
nationalreview.com,3.8,6233
newrepublic.com,3.8,15481
pitchfork.com,3.8,1190
theweek.com,3.8,7619
bostonglobe.com,3.7,4602
eater.com,3.7,2327
variety.com,3.7,1420
cbsnews.com,3.6,750
deadspin.com,3.6,1131
nypost.com,3.6,734
people.com,3.6,995
chicagotribune.com,3.5,2019
psychologytoday.com,3.5,1553
rawstory.com,3.5,5083
samurai-gamers.com,3.5,34082
theoutline.com,3.5,14198
usatoday.com,3.5,440
curbed.com,3.4,4457
fastcompany.com,3.4,3471
knowyourmeme.com,3.4,885
thefader.com,3.4,9878
thenation.com,3.4,17564
thrillist.com,3.4,2063
abcnews.go.com,3.3,1081
cbslocal.com,3.3,2160
dailykos.com,3.3,4479
gofundme.com,3.3,1618
pagesix.com,3.3,2824
ratemyprofessors.com,3.3,2451
theintercept.com,3.3,9426
metafilter.com,3.2,6456
pinknews.co.uk,3.2,17540
theverge.com,3.2,443
ign.com,2.6,326
gamerant.com,2.5,6942
gamefaqs.com,2.3,44426
gameranx.com,2.3,13996
segmentnext.com,2.3,14147
gamersheroes.com,2.1,18308
orcz.com,2,11876
rpgsite.net,2,27988
shacknews.com,2,12324
bulbagarden.net,1.8,1462
kotaku.com.au,1.8,13540
pokemongohub.net,1.8,12162
gamerevolution.com,1.7,6079
pastemagazine.com,1.7,5090
gamespot.com,1.6,280
ibtimes.com,1.6,17293
rockstargames.com,1.6,2214
gamepress.gg,1.5,4085
herb.co,1.5,16802
thonky.com,1.5,35792
cinemablend.com,1.4,4505
destructoid.com,1.4,10159
gameskinny.com,1.4,8916
nowloading.co,1.4,18145562
pokemondb.net,1.4,5033
aol.com,1.3,325
comicbook.com,1.3,1029
escapistmagazine.com,1.3,9206
nintendoeverything.com,1.3,18243
serebii.net,1.3,3320
attackofthefanboy.com,1.2,64966
dailystar.co.uk,1.2,2461
gameinformer.com,1.2,8077
newnownext.com,1.2,26507
pcgamesn.com,1.2,4322
tvline.com,1.2,5113
billboard.com,1.1,1172
civfanatics.com,1.1,18996
digitalspy.com,1.1,2213
dotesports.com,1.1,9715
eonline.com,1.1,2350
express.co.uk,1.1,634
n4g.com,1.1,9949
neogaf.com,1.1,8681
