# ----------------------------------------
# Alexa Internet
# Audience Overlaps for mtv.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
mtv.com,100,5207
usmagazine.com,11.8,3813
eonline.com,11.7,2350
ew.com,10.6,2073
mtv.com.au,10.1,36934
tmz.com,9.2,1137
people.com,9,995
perezhilton.com,8.4,7084
hotnewhiphop.com,8,1100
tvguide.com,7.7,2607
xxlmag.com,7.7,10402
hollywoodlife.com,7.6,8413
nbc.com,7.5,3124
hulu.com,7.4,234
thefader.com,7.3,9878
vh1.com,7.3,8615
ijjnews.com,7.2,34962
86gg.cn,7.1,26957
zouba.cn,7.1,48486
zqnow.com,7.1,20930
56568.com,7,70196
yihaocar.com,7,14448
axs.com,6.9,3833
cguwan.com,6.9,14389
zwskw.com,6.9,28387
afzhan.com,6.8,13857
haofang.net,6.8,19946
nydailynews.com,6.8,1835
abc.go.com,6.7,2346
alexa100.com,6.7,29056
mtv.ca,6.7,19508
spin.com,6.6,14797
webdesignbeast.com,6.6,26800
zimbio.com,6.6,4250
flagpolewarehouse.com,6.5,60689
jiazhuang.com,6.5,24185
optimum.net,6.5,5224
shangdashi.com,6.5,27373
xxhh.com,6.5,12629
alpssocial.com,6.4,21265
etonline.com,6.4,11891
shoppingblog2k.com,6.4,34661
zoneju.com,6.4,69715
brandingforum.org,6.3,26740
hiphopsire.com,6.3,46724
legendsdigitaltv.com,6.3,21560
prohbtd.com,6.3,21320
wskonnekt.com,6.3,27462
edulands.com,6.2,21651
jasminedirectory.com,6.2,16433
jiguo.com,6.2,15002
mountainside.com,6.2,27729
newsmobile.in,6.2,27585
free-tv-video-online.me,6.1,55750
ishtartv.com,6.1,20084
justmov.com,6.1,20298
lerablog.org,6.1,20790
allhyipmonitors.com,6,30357
ezilon.com,6,22913
financedigest.com,6,21710
globalbrandsmagazine.com,6,25806
guardian.co.uk,6,54734
legends2be.com,6,16904
teenvogue.com,6,10423
askfortask.com,5.9,35430
connectioncafe.com,5.9,45898
gt-worldwide.com,5.9,16777
livestock.com,5.9,20038
mediatakeout.com,5.9,39287
wigetmedia.com,5.9,50836
zocoin.co,5.9,28671
zopbuy.com,5.9,13242
80073.com,5.8,44052
avoiceformen.com,5.8,39506
cafemom.com,5.8,10799
camdudes.com,5.8,31189
digitalconnectmag.com,5.8,59119
gamefaqs.com,5.8,44426
ihyips.com,5.8,48144
mediavision848.com,5.8,61894
tradesparq.com,5.8,16087
web-submission.com,5.8,47176
worldsources.com,5.8,16550
accountonline.com,5.7,32102
bbandt.com,5.7,50507
blacksinsanantonio.com,5.7,46945
churchblessings.com,5.7,51349
comcast.com,5.7,7795
conferenceplus.com,5.7,55361
dealblaster.net,5.7,46152
digitaledge.org,5.7,54017
digitalmuscle.com,5.7,45592
directrev.com,5.7,54467
fab.com,5.7,44409
fushionmag.com,5.7,46193
gawker.com,5.7,12772
giracoin.com,5.7,12137
kat.ph,5.7,38429
movietvtechgeeks.com,5.7,16324
staffkit.com,5.7,47892
stereogum.com,5.7,9129
testbankclick.com,5.7,38241
thefinanser.com,5.7,54267
today.com,5.7,3673
upticknewswire.com,5.7,27454
zggjsmc.com,5.7,7850
baghunter.com,5.6,56600
citrixonline.com,5.6,48958
financialteamwork.com,5.6,46132
intouchweekly.com,5.6,16027
nordstrom.com,5.6,798
qm41.com,5.6,35580
srzb.com,5.6,38953
supercheapdeals.net,5.6,46564
trkjmp.com,5.6,57710
upworthy.com,5.6,13926
yieldmanager.com,5.6,55455
hellogiggles.com,5.2,9879
billboard.com,4.8,1172
hiphopdx.com,4.3,14106
rollingstone.com,3.6,1946
nme.com,3.5,3898
complex.com,3.3,2717
mtv.co.uk,3,30150
pitchfork.com,2.9,1190
cinemablend.com,2.8,4505
vulture.com,2.8,1574
bet.com,2.7,13756
justjared.com,2.7,5081
uproxx.com,2.7,4562
fuse.tv,2.6,64854
songfacts.com,2.6,16700
vevo.com,2.5,14367
vibe.com,2.5,39181
consequenceofsound.net,2.4,6953
whosampled.com,2.4,6407
hollywoodreporter.com,2.3,1612
screenrant.com,2.3,2158
collider.com,2.2,4234
popcrush.com,2.2,63655
rap-up.com,2.2,38874
bustle.com,2.1,1387
digitalspy.com,2.1,2213
seventeen.com,2.1,15794
avclub.com,2,1466
djbooth.net,2,30717
j-14.com,2,77827
moviepilot.com,2,694025
radio.com,2,12042
slashfilm.com,1.9,4508
genius.com,1.8,259
justjaredjr.com,1.8,27128
pigeonsandplanes.com,1.8,18670
thewrap.com,1.8,7454
capitalfm.com,1.7,29801
capitalxtra.com,1.7,25494
denofgeek.com,1.7,3482
last.fm,1.7,1374
nerdist.com,1.7,7502
rateyourmusic.com,1.7,3376
setlist.fm,1.7,5297
tv.com,1.7,8761
tvline.com,1.7,5113
vanityfair.com,1.7,2884
cbr.com,1.6,5087
famousbirthdays.com,1.6,2781
indiewire.com,1.6,3223
syfy.com,1.6,7415
vagalume.com.br,1.6,3037
wetpaint.com,1.6,89206
allmusic.com,1.5,2744
bossip.com,1.5,18187
buzzfeed.com,1.5,206
deadline.com,1.5,2314
elitedaily.com,1.5,5360
highsnobiety.com,1.5,3245
idolator.com,1.5,43139
pagesix.com,1.5,2824
popsugar.com,1.5,1813
ranker.com,1.5,1292
refinery29.com,1.5,2759
screenertv.com,1.5,101651
tunefind.com,1.5,9366
variety.com,1.5,1420
accessonline.com,1.4,94549
altpress.com,1.4,41546
azlyrics.com,1.4,1221
cosmopolitan.com,1.4,2024
empireonline.com,1.4,17637
giphy.com,1.4,478
grammy.com,1.4,65188
hypable.com,1.4,42739
imdb.com,1.4,57
jezebel.com,1.4,2690
movieweb.com,1.4,3098
pandora.com,1.4,569
