# ----------------------------------------
# Alexa Internet
# Audience Overlaps for nationalreview.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
nationalreview.com,100,6233
washingtonexaminer.com,24.8,7553
thefederalist.com,23.5,13245
realclearpolitics.com,22.1,5507
dailycaller.com,21.5,940
dailywire.com,21.5,3145
townhall.com,20.8,9675
politico.com,20.6,1074
washingtontimes.com,20.3,7141
thehill.com,19.9,829
breitbart.com,18.5,318
reason.com,18.2,13494
politifact.com,17.6,9880
weeklystandard.com,17.3,26793
axios.com,16.5,4585
freebeacon.com,16.5,23465
pjmedia.com,16.5,10508
mediaite.com,16.4,7843
newrepublic.com,14.2,15481
thegatewaypundit.com,13.9,8285
apnews.com,13.6,3370
motherjones.com,13.1,7484
redstate.com,12.7,25275
thedailybeast.com,12.7,1288
vox.com,12.6,1117
theweek.com,12.4,7619
cnsnews.com,12.2,30740
theblaze.com,12.2,6505
twitchy.com,12.2,16364
thenation.com,12,17564
msnbc.com,11.9,2869
fivethirtyeight.com,11.8,1816
theintercept.com,11.8,9426
hotair.com,11.7,15876
theatlantic.com,11.6,901
americanthinker.com,11.5,16691
theamericanconservative.com,11.5,35811
nymag.com,11.4,2241
snopes.com,11.4,2302
newsbusters.org,11.2,27808
thinkprogress.org,11.1,5070
salon.com,11,5417
newyorker.com,10.9,1459
newsweek.com,10.4,1604
slate.com,10.4,1383
nbcnews.com,10.3,912
nypost.com,10.3,734
factcheck.org,10.2,33073
foxnews.com,10.2,258
infowars.com,10.2,4119
sacbee.com,10.2,8069
senate.gov,9.8,11937
dailysignal.com,9.6,45314
wsj.com,9.6,546
heritage.org,9.5,24420
theroot.com,9.5,3108
zerohedge.com,9.5,1860
bostonglobe.com,9.4,4602
thewrap.com,9.4,7454
chicagotribune.com,9.3,2019
foreignpolicy.com,9.3,13184
house.gov,9.3,8275
mcclatchydc.com,9.3,39392
miamiherald.com,9.3,4021
nydailynews.com,9.3,1835
c-span.org,9.2,22339
ballotpedia.org,9.1,3980
latimes.com,9.1,998
rawstory.com,9.1,5083
talkingpointsmemo.com,9.1,6994
vanityfair.com,8.9,2884
ijr.com,8.8,28905
mediamatters.org,8.8,33214
npr.org,8.8,599
pagesix.com,8.7,2824
dailykos.com,8.6,4479
newsmax.com,8.6,8137
splinternews.com,8.6,5146
washingtonpost.com,8.6,226
wnd.com,8.6,5892
cbsnews.com,8.5,750
drudgereport.com,8.5,727
jpost.com,8.5,7509
whitehouse.gov,8.5,9413
rollcall.com,8.4,44146
spectator.org,8.4,51872
theamericanmirror.com,8.4,39310
mercurynews.com,8.3,4540
abcnews.go.com,8.2,1081
investors.com,8.2,10258
haaretz.com,8.1,7310
cbslocal.com,8,2160
congress.gov,8,14146
foxbusiness.com,7.9,8820
lifesitenews.com,7.6,30907
timesofisrael.com,7.6,7262
brookings.edu,7.4,10320
pewresearch.org,7.4,15082
spectator.co.uk,7.4,16708
aei.org,7.3,50477
louderwithcrowder.com,7.3,26644
truepundit.com,7.3,22632
lawandcrime.com,7.2,22951
lawfareblog.com,7.2,41108
philly.com,7.1,7144
themaven.net,7.1,11886
cato.org,7,49623
economist.com,7,2378
westernjournal.com,6.9,962
commentarymagazine.com,6.8,78538
statesman.com,6.8,20381
theonion.com,6.8,3475
dallasnews.com,6.7,8437
conservativetribune.com,6.6,36634
pbs.org,6.5,1918
qz.com,6.5,2156
deadspin.com,6.4,1131
kansascity.com,6.4,11846
thecollegefix.com,6.4,59589
campusreform.org,6.3,76241
rationalwiki.org,6.3,15734
nj.com,6.2,3928
aclu.org,5.9,22361
fee.org,5.4,42824
thenewamerican.com,5,94583
cfr.org,4.9,22979
constitutioncenter.org,4.9,49674
mises.org,4.7,28498
cnn.com,2.2,104
aljazeera.com,2,2543
prospect.org,1.8,91932
nytimes.com,1.7,117
cis.org,1.6,124857
debate.org,1.6,14755
psmag.com,1.6,37102
