# ----------------------------------------
# Alexa Internet
# Audience Overlaps for nationalgeographic.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
nationalgeographic.com,100,1641
livescience.com,22.3,2377
smithsonianmag.com,16.9,6064
nasa.gov,15,1009
npr.org,14.6,599
scientificamerican.com,14.5,4025
theatlantic.com,14.2,901
britannica.com,13.3,1257
history.com,13.2,2081
space.com,13.2,3489
theguardian.com,12.6,140
washingtonpost.com,12.6,226
cnn.com,12.4,104
independent.co.uk,12.4,514
nytimes.com,12.3,117
pbs.org,12.3,1918
time.com,12.3,767
cbsnews.com,12.1,750
newsweek.com,12.1,1604
huffingtonpost.com,12,334
usatoday.com,11.9,440
nbcnews.com,11.8,912
vox.com,11.8,1117
businessinsider.com,11.6,373
telegraph.co.uk,11.5,553
latimes.com,11.3,998
nationalgeographic.org,10.9,20421
newyorker.com,10.7,1459
abcnews.go.com,10.6,1081
foxnews.com,10.6,258
mentalfloss.com,10.6,3504
bbc.co.uk,10.5,101
gizmodo.com,10.5,508
nps.gov,10.4,2976
sciencemag.org,10.4,2109
bbc.com,10.3,92
slate.com,10.3,1383
wired.com,10.3,1353
dailymail.co.uk,10.2,158
nypost.com,10.2,734
sciencedaily.com,10.2,4829
vice.com,10.2,166
buzzfeed.com,10.1,206
noaa.gov,10.1,1962
si.edu,10,7164
qz.com,9.7,2156
theverge.com,9.7,443
reuters.com,9.6,580
theconversation.com,9.6,3776
howstuffworks.com,9.4,2099
snopes.com,9.4,2302
iflscience.com,9.2,3178
forbes.com,9.1,252
nature.com,9.1,716
thoughtco.com,9.1,1572
cbc.ca,9,984
thedailybeast.com,8.9,1288
cnbc.com,8.8,555
phys.org,8.8,7100
weather.com,8.8,261
newscientist.com,8.4,9470
abc.net.au,8.3,1053
express.co.uk,8.3,634
sciencealert.com,8.3,8078
thehill.com,8.3,829
redd.it,8.1,247
thesaurus.com,8.1,284
thesun.co.uk,8,837
dictionary.com,7.9,534
go.com,7.9,434
popsci.com,7.9,6609
sciencing.com,7.9,6236
usnews.com,7.9,821
yelp.com,7.9,185
atlasobscura.com,7.8,5047
tripadvisor.com,7.8,239
usgs.gov,7.7,2692
lonelyplanet.com,7.6,2625
mashable.com,7.6,1518
berkeley.edu,7.5,999
quora.com,7.5,100
study.com,7.5,1094
boredpanda.com,7.4,1974
chicagotribune.com,7.4,2019
news.com.au,7.4,897
ted.com,7.4,1141
wsj.com,7.4,546
bloomberg.com,7.3,444
mirror.co.uk,7.3,1167
thrillist.com,7.3,2063
urbandictionary.com,7.2,507
mnn.com,7.1,13615
quizlet.com,7.1,643
variety.com,7.1,1420
bustle.com,7,1387
epa.gov,7,5379
hollywoodreporter.com,7,1612
politico.com,7,1074
vanityfair.com,7,2884
webmd.com,7,560
psychologytoday.com,6.9,1553
rollingstone.com,6.9,1946
gfycat.com,6.8,266
livestrong.com,6.8,1006
nydailynews.com,6.8,1835
nymag.com,6.8,2241
aljazeera.com,6.7,2543
merriam-webster.com,6.7,741
medium.com,6.6,268
people.com,6.6,995
lifehacker.com,6.5,676
sfgate.com,6.5,1258
worldatlas.com,6.5,8343
zillow.com,6.5,230
techcrunch.com,6.4,893
vulture.com,6.4,1574
worldwildlife.org,6.4,26618
allrecipes.com,6.3,977
cbslocal.com,6.3,2160
craigslist.org,6.3,107
harvard.edu,6.3,792
healthline.com,6.3,723
travelandleisure.com,6.3,7920
airbnb.com,6.2,297
encyclopedia.com,6.2,10173
etsy.com,6.2,186
fortune.com,6.2,2689
gofundme.com,6.2,1618
squarespace.com,6.2,657
popularmechanics.com,5.8,4660
softschools.com,5.7,9082
tripsavvy.com,5.7,5333
ducksters.com,5.3,15761
futurism.com,5.3,9450
mom.me,4.9,20386
a-z-animals.com,3.8,57015
defenders.org,3.3,78766
discovermagazine.com,3.1,23519
arkive.org,2.9,64873
earthsky.org,2.9,24411
sandiegozoo.org,2.8,43181
allaboutbirds.org,2.7,22217
panda.org,2.4,39024
audubon.org,2.3,36182
ancient.eu,2.2,21150
iucnredlist.org,2.2,33158
wonderopolis.org,2.2,40278
seeker.com,2.1,53612
universetoday.com,2.1,30162
animaldiversity.org,1.9,74287
enchantedlearning.com,1.9,17758
amnh.org,1.8,34330
listverse.com,1.8,9205
seaworld.org,1.8,134316
ancient-origins.net,1.7,25255
eol.org,1.7,38518
fws.gov,1.7,32109
natgeotv.com,1.7,46989
ucsusa.org,1.6,36463
wikitravel.org,1.6,10777
