# ----------------------------------------
# Alexa Internet
# Audience Overlaps for hollywoodreporter.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
hollywoodreporter.com,100,1612
variety.com,47,1420
deadline.com,43.1,2314
ew.com,36.8,2073
vulture.com,32,1574
vanityfair.com,29.4,2884
indiewire.com,29.2,3223
rottentomatoes.com,27.5,400
avclub.com,25.7,1466
latimes.com,25.3,998
people.com,25,995
cinemablend.com,23.3,4505
thewrap.com,23.2,7454
thedailybeast.com,22.5,1288
rollingstone.com,22.3,1946
screenrant.com,22.1,2158
collider.com,21.6,4234
usatoday.com,21.4,440
vox.com,21.1,1117
thehill.com,20.8,829
eonline.com,20.6,2350
nydailynews.com,20.3,1835
nypost.com,20.3,734
abcnews.go.com,19.6,1081
cbsnews.com,19.6,750
npr.org,19.6,599
denofgeek.com,19.4,3482
newsweek.com,19.4,1604
tvline.com,19.4,5113
washingtonpost.com,19.4,226
tmz.com,19,1137
foxnews.com,18.9,258
theverge.com,18.9,443
newyorker.com,18.7,1459
comicbook.com,18.5,1029
nbcnews.com,18.5,912
bustle.com,18.4,1387
pagesix.com,18.2,2824
digitalspy.com,18.1,2213
independent.co.uk,18.1,514
nytimes.com,18.1,117
theatlantic.com,17.9,901
time.com,17.7,767
imdb.com,17.6,57
businessinsider.com,17.3,373
huffingtonpost.com,17.3,334
gizmodo.com,17.1,508
tvguide.com,17.1,2607
politico.com,17,1074
cnbc.com,16.5,555
cnn.com,16.5,104
slate.com,16.4,1383
buzzfeed.com,16.1,206
dailymail.co.uk,16.1,158
theguardian.com,16,140
wsj.com,15.9,546
metacritic.com,15.8,1222
billboard.com,15.4,1172
chicagotribune.com,15.4,2019
slashfilm.com,15.4,4508
usmagazine.com,15.3,3813
vice.com,15.3,166
fandango.com,15,1380
uproxx.com,14.8,4562
gq.com,14.7,2707
cbslocal.com,14.6,2160
polygon.com,14.5,943
express.co.uk,14.4,634
go.com,14.4,434
nymag.com,14.3,2241
telegraph.co.uk,14.3,553
esquire.com,14.2,2317
nme.com,14.2,3898
forbes.com,14.1,252
redd.it,14,247
mashable.com,13.8,1518
popsugar.com,13.7,1813
refinery29.com,13.6,2759
reuters.com,13.5,580
metro.co.uk,13.3,1640
complex.com,13.1,2717
thrillist.com,13,2063
thesun.co.uk,12.9,837
yelp.com,12.9,185
etonline.com,12.8,11891
hulu.com,12.8,234
nerdist.com,12.8,7502
netflix.com,12.8,29
rogerebert.com,12.7,9683
cbr.com,12.6,5087
ranker.com,12.5,1292
wired.com,12.4,1353
apnews.com,12.2,3370
snopes.com,12.2,2302
boxofficemojo.com,12.1,2029
fortune.com,12,2689
pitchfork.com,12,1190
bloomberg.com,11.9,444
bleacherreport.com,11.8,617
gfycat.com,11.8,266
mercurynews.com,11.8,4540
news.com.au,11.8,897
qz.com,11.7,2156
today.com,11.4,3673
cbc.ca,11.3,984
pastemagazine.com,11.3,5090
nbc.com,11.1,3124
streamable.com,11.1,1496
deadspin.com,11,1131
cbssports.com,10.9,602
kotaku.com,10.8,814
syfy.com,10.8,7415
theonion.com,10.8,3475
arstechnica.com,10.7,1236
hollywoodlife.com,10.7,8413
weather.com,10.7,261
espn.com,10.6,99
decider.com,10.4,8163
eater.com,10.4,2327
inverse.com,10.4,7182
techcrunch.com,10.4,893
usnews.com,10.4,821
zillow.com,10.4,230
gofundme.com,10.3,1618
ticketmaster.com,10.3,803
abc.go.com,10.1,2346
thisisinsider.com,10.1,5292
urbandictionary.com,10,507
justjared.com,9.9,5081
sfgate.com,9.9,1258
si.com,9.9,1967
movieweb.com,9.3,3098
tvtropes.org,9.3,1676
radiotimes.com,8.7,5611
aol.com,8.3,325
biography.com,8.2,5287
cbs.com,7.9,2166
commonsensemedia.org,7.9,8429
empireonline.com,7.9,17637
bleedingcool.com,7.8,11875
comingsoon.net,7.5,13289
broadwayworld.com,7.1,14736
moviefone.com,7.1,6440
allocine.fr,3.6,1005
wikia.com,3.5,58
tvseriesfinale.com,3.3,18995
goldderby.com,3.1,41925
