# ----------------------------------------
# Alexa Internet
# Audience Overlaps for fastcompany.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
fastcompany.com,100,3471
inc.com,24.5,2041
hbr.org,22,3304
themuse.com,20.3,4368
fortune.com,18,2689
techcrunch.com,18,893
entrepreneur.com,17.8,1713
businessinsider.com,16.1,373
cnbc.com,16,555
qz.com,15.8,2156
forbes.com,15.5,252
wired.com,14.9,1353
wsj.com,14.4,546
theatlantic.com,14.2,901
theverge.com,14.1,443
mashable.com,13.2,1518
adweek.com,12.9,4739
hubspot.com,12.9,605
huffingtonpost.com,12.5,334
recode.net,12.5,8530
bloomberg.com,12.3,444
npr.org,12.3,599
newyorker.com,12.1,1459
time.com,12.1,767
vox.com,12.1,1117
cbsnews.com,11.6,750
latimes.com,11.5,998
usatoday.com,11.5,440
crunchbase.com,11.4,1981
lifehacker.com,11.3,676
psychologytoday.com,11.3,1553
medium.com,11.2,268
marketwatch.com,10.9,1149
bizjournals.com,10.8,3552
gizmodo.com,10.8,508
nbcnews.com,10.8,912
thebalance.com,10.8,1255
nytimes.com,10.7,117
slate.com,10.7,1383
washingtonpost.com,10.7,226
glassdoor.com,10.6,401
thehill.com,10.5,829
variety.com,10.5,1420
monster.com,10.4,1846
nymag.com,10.4,2241
thedailybeast.com,10.4,1288
nypost.com,10.3,734
reuters.com,10.2,580
theguardian.com,10.1,140
economist.com,9.9,2378
ft.com,9.9,1870
vanityfair.com,9.9,2884
vice.com,9.9,166
newsweek.com,9.8,1604
hollywoodreporter.com,9.7,1612
adage.com,9.6,12047
arstechnica.com,9.6,1236
cnn.com,9.6,104
independent.co.uk,9.6,514
abcnews.go.com,9.5,1081
buzzfeed.com,9.5,206
usnews.com,9.5,821
fastcodesign.com,9.4,13054
thenextweb.com,9.4,5495
eventbrite.com,9.3,667
chron.com,9.2,832
prnewswire.com,9.2,4713
bustle.com,9.1,1387
chicagotribune.com,9.1,2019
engadget.com,9.1,649
politico.com,9,1074
investopedia.com,8.8,624
thecut.com,8.8,3757
venturebeat.com,8.8,6185
vulture.com,8.8,1574
angel.co,8.7,2514
technologyreview.com,8.7,8499
gq.com,8.6,2707
telegraph.co.uk,8.6,553
thesaurus.com,8.6,284
digitaltrends.com,8.5,1082
foxnews.com,8.5,258
statista.com,8.5,2389
ycombinator.com,8.5,1586
yelp.com,8.5,185
deadline.com,8.4,2314
slack.com,8.4,244
mckinsey.com,8.3,6292
mindtools.com,8.2,11035
cbslocal.com,8.1,2160
lifehack.org,8.1,7401
eater.com,8,2327
hackernoon.com,8,3828
mercurynews.com,7.9,4540
ted.com,7.8,1141
rollingstone.com,7.6,1946
theconversation.com,7.6,3776
axios.com,7.4,4585
nydailynews.com,7.4,1835
scientificamerican.com,7.4,4025
thrillist.com,7.4,2063
zdnet.com,7.3,3490
bgr.com,7.2,4842
go.com,7.2,434
apnews.com,7.1,3370
quora.com,7.1,100
squarespace.com,7.1,657
greenhouse.io,7,2629
people.com,7,995
sfgate.com,7,1258
zillow.com,7,230
airbnb.com,6.9,297
dailymail.co.uk,6.9,158
opentable.com,6.9,2183
curbed.com,6.8,4457
elitedaily.com,6.8,5360
weforum.org,6.7,6771
bufferapp.com,6.4,13970
popsci.com,6.2,6609
brainyquote.com,6.1,2320
zapier.com,6.1,3880
9to5mac.com,6,4693
businessnewsdaily.com,6,19915
kissmetrics.com,6,14640
livecareer.com,5.9,5639
geekwire.com,5.7,17931
shrm.org,5.6,15127
wired.co.uk,5.6,10745
cio.com,5.5,18655
thebalancecareers.com,5.4,3327
computerworld.com,5.2,9139
askamanager.org,3.2,19499
bbc.com,1.6,92
pcmag.com,1.4,1533
cnet.com,1.3,170
makeuseof.com,1.3,1354
