# ----------------------------------------
# Alexa Internet
# Audience Overlaps for latimes.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
latimes.com,100,998
washingtonpost.com,35,226
usatoday.com,34.8,440
npr.org,32.3,599
nytimes.com,32.1,117
cbsnews.com,31.7,750
nbcnews.com,30.5,912
cnn.com,30.3,104
abcnews.go.com,29.6,1081
foxnews.com,29.2,258
thehill.com,28.6,829
nypost.com,27.9,734
cnbc.com,27.2,555
newsweek.com,26.4,1604
variety.com,26.2,1420
businessinsider.com,26.1,373
nydailynews.com,26,1835
hollywoodreporter.com,25.3,1612
politico.com,25.3,1074
theatlantic.com,25.3,901
huffingtonpost.com,25.2,334
vox.com,25.2,1117
chicagotribune.com,25,2019
time.com,25,767
wsj.com,24.9,546
thedailybeast.com,24.8,1288
people.com,24,995
cbslocal.com,23.1,2160
reuters.com,22.9,580
yelp.com,22.4,185
newyorker.com,21.6,1459
vanityfair.com,21.2,2884
ca.gov,21.1,640
slate.com,21.1,1383
theguardian.com,21.1,140
bloomberg.com,20.9,444
deadline.com,20.9,2314
independent.co.uk,20.8,514
theverge.com,20.5,443
forbes.com,20.2,252
go.com,20.2,434
usnews.com,20,821
mercurynews.com,19.9,4540
ew.com,19.6,2073
rollingstone.com,19.6,1946
dailymail.co.uk,19.1,158
espn.com,19.1,99
fortune.com,18.7,2689
bleacherreport.com,18.6,617
tmz.com,18.5,1137
vice.com,18.5,166
sfgate.com,18.2,1258
cbssports.com,18.1,602
vulture.com,18,1574
nymag.com,17.9,2241
buzzfeed.com,17.6,206
marketwatch.com,17.6,1149
telegraph.co.uk,17.6,553
snopes.com,17.5,2302
zillow.com,17.5,230
gizmodo.com,17.4,508
wired.com,16.7,1353
qz.com,16.1,2156
weather.com,16,261
techcrunch.com,15.9,893
rottentomatoes.com,15.8,400
craigslist.org,15.5,107
eventbrite.com,15.3,667
redd.it,15.3,247
avclub.com,15.2,1466
sbnation.com,15.1,2103
pbs.org,15,1918
si.com,14.9,1967
pagesix.com,14.8,2824
ticketmaster.com,14.7,803
bustle.com,14.5,1387
mashable.com,14.5,1518
eater.com,14.4,2327
apnews.com,14.3,3370
miamiherald.com,14.2,4021
usps.com,14.1,370
billboard.com,14,1172
indiewire.com,14,3223
chase.com,13.8,138
eonline.com,13.8,2350
thesun.co.uk,13.7,837
curbed.com,13.6,4457
glassdoor.com,13.6,401
tripadvisor.com,13.6,239
urbandictionary.com,13.3,507
nbcsports.com,13.2,1375
sacbee.com,13.2,8069
deadspin.com,13.1,1131
irs.gov,13.1,694
intuit.com,13,294
patch.com,12.9,468
arstechnica.com,12.8,1236
bbc.com,12.8,92
express.co.uk,12.7,634
gfycat.com,12.7,266
thewrap.com,12.7,7454
today.com,12.7,3673
homedepot.com,12.6,374
target.com,12.5,415
ocregister.com,12.4,11416
bostonglobe.com,12.3,4602
imdb.com,12.3,57
bankofamerica.com,12.2,241
hulu.com,12.2,234
washingtonexaminer.com,12.1,7553
lifehacker.com,11.9,676
streamable.com,11.9,1496
ups.com,11.9,423
walmart.com,11.9,188
gofundme.com,11.8,1618
news.com.au,11.8,897
airbnb.com,11.7,297
southwest.com,11.7,783
webmd.com,11.6,560
bbc.co.uk,11.4,101
abc7.com,11.1,10697
usmagazine.com,11.1,3813
washingtontimes.com,10.8,7141
history.com,10.6,2081
politifact.com,10.5,9880
aol.com,10.4,325
ktla.com,9.1,13747
tvguide.com,9,2607
biography.com,8.5,5287
sandiegouniontribune.com,8.5,12984
nbclosangeles.com,7.9,28090
laweekly.com,7.8,19595
dailynews.com,7.7,38339
ballotpedia.org,7.6,3980
wikipedia.org,2.8,5
yahoo.com,2.7,7
msn.com,2.4,50
scpr.org,2.4,44762
