# ----------------------------------------
# Alexa Internet
# Audience Overlaps for vogue.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
vogue.com,100,3886
harpersbazaar.com,19.4,5523
elle.com,18.3,4027
vogue.co.uk,16.9,19094
wwd.com,16.2,25166
wmagazine.com,15.8,21467
instyle.com,15.7,11264
thecut.com,14.9,3757
vanityfair.com,14.4,2884
refinery29.com,14.3,2759
glamour.com,13.8,8632
fashionista.com,13.5,24478
people.com,13.2,995
allure.com,12.5,7755
gq.com,11.8,2707
usmagazine.com,11.7,3813
eonline.com,11.6,2350
teenvogue.com,11.3,10423
popsugar.com,11.1,1813
cosmopolitan.com,10.9,2024
vulture.com,10.6,1574
newyorker.com,10.2,1459
highsnobiety.com,10.1,3245
pagesix.com,10.1,2824
businessoffashion.com,9.7,23013
hollywoodreporter.com,9.6,1612
nymag.com,9.5,2241
sephora.com,9.4,1400
whowhatwear.com,9.4,15444
net-a-porter.com,9.3,4372
nordstrom.com,9.2,798
justjared.com,9,5081
bustle.com,8.9,1387
hellogiggles.com,8.7,9879
variety.com,8.7,1420
hypebeast.com,8.6,2110
racked.com,8.6,15116
stylecaster.com,8.5,11699
ew.com,8.4,2073
farfetch.com,8.2,1407
marieclaire.com,8.2,11502
deadline.com,8.1,2314
etonline.com,8.1,11891
townandcountrymag.com,8,11290
urbanoutfitters.com,8,1365
rollingstone.com,7.9,1946
hollywoodlife.com,7.8,8413
thedailybeast.com,7.8,1288
ssense.com,7.7,3115
timeout.com,7.7,2072
dazeddigital.com,7.6,16994
indiewire.com,7.6,3223
pitchfork.com,7.6,1190
tmz.com,7.6,1137
vogue.fr,7.6,37774
complex.com,7.5,2717
jezebel.com,7.5,2690
latimes.com,7.5,998
vice.com,7.4,166
billboard.com,7.3,1172
buzzfeed.com,7.3,206
elitedaily.com,7.3,5360
vox.com,7.3,1117
eater.com,7.2,2327
nypost.com,7.2,734
today.com,7.2,3673
nydailynews.com,7.1,1835
rstyle.me,7.1,3835
thefader.com,7.1,9878
thisisinsider.com,7.1,5292
esquire.com,7,2317
neimanmarcus.com,7,5727
npr.org,7,599
shopbop.com,7,3298
avclub.com,6.9,1466
theatlantic.com,6.9,901
thrillist.com,6.9,2063
huffingtonpost.com,6.8,334
brides.com,6.7,15200
newsweek.com,6.7,1604
slate.com,6.7,1383
architecturaldigest.com,6.6,14786
theculturetrip.com,6.5,4338
barneys.com,6.4,10180
dailymail.co.uk,6.4,158
telegraph.co.uk,6.4,553
time.com,6.4,767
abcnews.go.com,6.3,1081
byrdie.com,6.3,23493
independent.co.uk,6.3,514
travelandleisure.com,6.3,7920
intothegloss.com,6.1,22858
metro.co.uk,6.1,1640
usatoday.com,6.1,440
goodhousekeeping.com,6,5440
nme.com,6,3898
qz.com,6,2156
vogue.it,6,32595
anthropologie.com,5.9,4381
cntraveler.com,5.9,11380
revolve.com,5.9,6171
thesun.co.uk,5.9,837
goop.com,5.8,22809
madewell.com,5.8,6353
news.com.au,5.8,897
shopstyle.com,5.8,5394
jcrew.com,5.7,2263
marieclaire.co.uk,5.7,30346
curbed.com,5.6,4457
everlane.com,5.6,10892
opentable.com,5.6,2183
bonappetit.com,5.4,4770
thefashionspot.com,5.4,32629
bravotv.com,5.3,6897
topshop.com,5.3,6446
bloomingdales.com,5.2,5318
thehill.com,5.2,829
saksfifthavenue.com,5.1,7863
thekitchn.com,5.1,2609
yelp.com,5.1,185
freepeople.com,5,7064
politico.com,5,1074
poshmark.com,5,2598
apartmenttherapy.com,4.9,4299
fastcompany.com,4.9,3471
uniqlo.com,4.9,948
observer.com,4.8,13628
theroot.com,4.8,3108
glamourmagazine.co.uk,3.1,35286
hellomagazine.com,3,786
elleuk.com,2.3,162669
footwearnews.com,2.3,37517
standard.co.uk,2.1,3860
aol.com,2,325
biography.com,2,5287
gq-magazine.co.uk,1.9,19474
models.com,1.9,26028
zimbio.com,1.8,4250
essence.com,1.7,32995
interviewmagazine.com,1.7,59532
mirror.co.uk,1.7,1167
vogue.com.au,1.7,59323
coveteur.com,1.5,57313
nowfashion.com,1.5,260349
