# ----------------------------------------
# Alexa Internet
# Audience Overlaps for instyle.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
instyle.com,100,11264
allure.com,26.2,7755
elle.com,22.1,4027
harpersbazaar.com,20.8,5523
stylecaster.com,20.4,11699
glamour.com,19.8,8632
refinery29.com,16.6,2759
whowhatwear.com,16.5,15444
marieclaire.com,16.2,11502
vogue.com,15.7,3886
byrdie.com,15.3,23493
cosmopolitan.com,14,2024
totalbeauty.com,13.8,34766
sephora.com,13.7,1400
usmagazine.com,13.1,3813
popsugar.com,13,1813
people.com,12,995
eonline.com,11.6,2350
fashionista.com,11.5,24478
thecut.com,11.4,3757
ulta.com,11.2,3375
teenvogue.com,11.1,10423
goodhousekeeping.com,10.5,5440
bustle.com,10.4,1387
vogue.co.uk,10.4,19094
wmagazine.com,10.3,21467
etonline.com,10,11891
glamourmagazine.co.uk,9.9,35286
hellogiggles.com,9.8,9879
marieclaire.co.uk,9.8,30346
nordstrom.com,9.6,798
justjared.com,9.5,5081
liveabout.com,9.4,28276
today.com,9.4,3673
stylecraze.com,9.3,6518
intothegloss.com,9.2,22858
bestproducts.com,9,11318
racked.com,8.8,15116
beautyeditor.ca,8.3,46926
thefashionspot.com,8.3,32629
hollywoodlife.com,8.2,8413
realsimple.com,8.2,8198
vanityfair.com,8.2,2884
xojane.com,8.2,31392
wwd.com,7.9,25166
influenster.com,7.7,14624
pagesix.com,7.7,2824
self.com,7.7,6612
seventeen.com,7.6,15794
thisisinsider.com,7.6,5292
womenshealthmag.com,7.6,8257
brit.co,7.5,16408
elitedaily.com,7.5,5360
brides.com,7.4,15200
gq.com,7.2,2707
makeup.com,7.2,98404
rankandstyle.com,7,88577
rstyle.me,7,3835
dermstore.com,6.9,22311
nymag.com,6.9,2241
buzzfeed.com,6.8,206
health.com,6.7,7903
makeupalley.com,6.7,15330
shape.com,6.6,8701
neimanmarcus.com,6.5,5727
therighthairstyles.com,6.5,37025
townandcountrymag.com,6.5,11290
vulture.com,6.5,1574
birchbox.com,6.4,25342
bloomingdales.com,6.4,5318
ew.com,6.2,2073
sheknows.com,6.2,5223
bravotv.com,6.1,6897
anthropologie.com,6,4381
hollywoodreporter.com,6,1612
macys.com,6,766
purewow.com,6,15712
urbanoutfitters.com,6,1365
madewell.com,5.9,6353
tmz.com,5.8,1137
revolve.com,5.7,6171
southernliving.com,5.5,12734
travelandleisure.com,5.5,7920
jezebel.com,5.4,2690
variety.com,5.4,1420
lulus.com,5.3,4011
nordstromrack.com,5.3,2855
poshmark.com,5.3,2598
realself.com,5.3,7972
shopstyle.com,5.3,5394
goop.com,5.2,22809
theknot.com,5.2,2492
everlane.com,5.1,10892
forever21.com,5.1,1783
zimbio.com,5.1,4250
freepeople.com,5,7064
jcrew.com,4.9,2263
thelist.com,4.9,17563
babble.com,4.8,13316
gap.com,4.7,1293
glossier.com,4.6,16268
leaf.tv,4.6,17486
ae.com,4.5,2994
apartmenttherapy.com,4.5,4299
eater.com,4.5,2327
net-a-porter.com,4.5,4372
thekitchn.com,4.5,2609
shopbop.com,4.4,3298
topshop.com,4.4,6446
dsw.com,4.3,5787
narvar.com,4.3,2550
opentable.com,4.3,2183
bonappetit.com,4.2,4770
newyorker.com,4.2,1459
saksfifthavenue.com,4.2,7863
greatist.com,4,7534
hellomagazine.com,3.7,786
redbookmag.com,3.6,29776
elleuk.com,3.5,162669
lorealparisusa.com,3.2,49574
gurl.com,3,30417
instyle.co.uk,2.8,114196
oprah.com,2.6,22004
theidleman.com,2.6,15681
newbeauty.com,2.5,84699
aol.com,2.3,325
bellatory.com,2.3,53861
esquire.com,2.3,2317
essence.com,2.3,32995
latest-hairstyles.com,2.3,132904
more.com,2.3,45031
youbeauty.com,2.3,134163
matrix.com,2.2,114235
dailymail.co.uk,1.9,158
footwearnews.com,1.9,37517
thehairstyler.com,1.9,220071
thesun.co.uk,1.8,837
laurenconrad.com,1.7,87826
perezhilton.com,1.7,7084
allwomenstalk.com,1.6,37398
beautyheaven.com.au,1.6,77179
