# ----------------------------------------
# Alexa Internet
# Audience Overlaps for bleacherreport.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
bleacherreport.com,100,617
cbssports.com,55.3,602
espn.com,51.7,99
sbnation.com,50.7,2103
si.com,46.4,1967
nfl.com,39.5,1271
nbcsports.com,37.9,1375
sportingnews.com,37.2,5692
nba.com,33.6,482
foxsports.com,32.1,4509
usatoday.com,29.2,440
247sports.com,28.3,2090
mlb.com,26.8,445
ncaa.com,26.3,2037
deadspin.com,23.3,1131
nypost.com,21.5,734
basketball-reference.com,21.4,2952
theringer.com,20.2,1839
washingtonpost.com,19.4,226
tmz.com,19,1137
foxnews.com,18.6,258
latimes.com,18.6,998
fivethirtyeight.com,18.1,1816
cnn.com,18,104
nydailynews.com,17.9,1835
cbsnews.com,17.4,750
abcnews.go.com,17.3,1081
chicagotribune.com,16.3,2019
businessinsider.com,16.2,373
cbslocal.com,16.2,2160
nj.com,15.9,3928
nhl.com,15.5,811
baseball-reference.com,15.3,3028
rotoworld.com,15.3,3235
ticketmaster.com,15.3,803
nytimes.com,15.2,117
thehill.com,15.1,829
weather.com,14.9,261
cnbc.com,14.6,555
landof10.com,14.6,16360
yelp.com,14.6,185
forbes.com,14.5,252
newsweek.com,14.5,1604
npr.org,14.4,599
buffstreamz.com,14.2,2176
streamable.com,14.2,1496
stubhub.com,14.2,2021
nbcnews.com,14,912
thedailybeast.com,13.9,1288
go.com,13.8,434
wsj.com,13.8,546
zillow.com,13.6,230
complex.com,13.5,2717
people.com,13.5,995
mercurynews.com,12.9,4540
politico.com,12.8,1074
time.com,12.7,767
uproxx.com,12.6,4562
mirror.co.uk,12.4,1167
pro-football-reference.com,12.4,13717
express.co.uk,12.3,634
usnews.com,12.3,821
reuters.com,12.2,580
thesun.co.uk,12.2,837
huffingtonpost.com,12.1,334
redd.it,12,247
skysports.com,12,1072
sportskeeda.com,12,4177
hollywoodreporter.com,11.8,1612
wwe.com,11.8,2092
bloomberg.com,11.6,444
independent.co.uk,11.5,514
variety.com,11.5,1420
craigslist.org,11.4,107
dailymail.co.uk,11.4,158
zddxlih.com,11.4,2369
seccountry.com,11.3,19926
theverge.com,11.3,443
chase.com,11.2,138
marketwatch.com,11.2,1149
nesn.com,11.2,12077
vox.com,11.2,1117
miamiherald.com,11.1,4021
rollingstone.com,11,1946
homedepot.com,10.8,374
xfinity.com,10.8,281
southwest.com,10.7,783
theatlantic.com,10.7,901
cleveland.com,10.6,8040
gfycat.com,10.6,266
intuit.com,10.6,294
ripple.is,10.5,3176
dailystar.co.uk,10.4,2461
gizmodo.com,10.4,508
goal.com,10.4,708
heavy.com,10.4,1379
slate.com,10.4,1383
usps.com,10.4,370
ew.com,10.2,2073
irs.gov,10.2,694
sfgate.com,10.2,1258
bostonglobe.com,10.1,4602
glassdoor.com,10.1,401
bankofamerica.com,10,241
rottentomatoes.com,9.9,400
buzzfeed.com,9.8,206
sportsnet.ca,9.8,6279
vanityfair.com,9.8,2884
vice.com,9.8,166
vulture.com,9.8,1574
eventbrite.com,9.7,667
deadline.com,9.6,2314
newyorker.com,9.6,1459
ranker.com,9.6,1292
sports-reference.com,9.6,19919
techcrunch.com,9.6,893
boston.com,9.5,5153
realgm.com,9.5,8890
ups.com,9.5,423
avclub.com,9.4,1466
fansided.com,9.4,18009
dallasnews.com,9.3,8437
masters.com,9.3,8286
sasastreams.pw,9.3,14631
spotrac.com,9.2,15847
cheatsheet.com,9.1,1568
oddsshark.com,8.6,17831
mmafighting.com,8.5,6683
philly.com,8.5,7144
thebiglead.com,8.4,24627
oregonlive.com,8.3,6291
denverpost.com,8.2,9148
hoopshype.com,7.9,17002
newsday.com,7.9,11845
walterfootball.com,7.8,20653
al.com,7.6,10026
espn.co.uk,7.4,11625
mmajunkie.com,7.3,9306
cagesideseats.com,7.2,11984
fangraphs.com,7.2,5435
fantasypros.com,7.2,10682
wrestlinginc.com,6.9,14319
thescore.com,6.8,18388
bloodyelbow.com,6.7,12000
sporcle.com,6.4,2195
mmamania.com,6.3,14836
sherdog.com,6.1,5125
givemesport.com,6,691
slamonline.com,5.9,37031
freep.com,5.8,11545
espnfc.com,5.5,12876
thesportster.com,4.3,34328
scout.com,4,29808
nbcolympics.com,3.8,71775
olympic.org,3.5,26565
msn.com,3.2,50
athlonsports.com,2.9,58913
chatsports.com,2.9,126848
espn.com.au,2.6,25281
landofbasketball.com,2.5,58238
rivals.com,2.5,4292
ticketcity.com,2.5,72176
yardbarker.com,2.5,42899
eurosport.com,2.3,4637
herosports.com,2.3,75700
sportsonearth.com,2.3,214103
baseball-almanac.com,2.2,81569
teamrankings.com,2.2,62542
espn.go.com,2.1,39704
