# ----------------------------------------
# Alexa Internet
# Audience Overlaps for nbcnews.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
nbcnews.com,100,912
cbsnews.com,37.4,750
thehill.com,35.5,829
abcnews.go.com,35.4,1081
washingtonpost.com,34.3,226
foxnews.com,33.7,258
cnn.com,33.1,104
npr.org,33,599
usatoday.com,32.4,440
politico.com,30.9,1074
latimes.com,30.5,998
newsweek.com,29.6,1604
cnbc.com,28.6,555
vox.com,28.6,1117
nypost.com,28.5,734
nytimes.com,27.1,117
thedailybeast.com,27,1288
nydailynews.com,26.8,1835
time.com,25.5,767
reuters.com,25.3,580
theatlantic.com,24.6,901
businessinsider.com,24.2,373
wsj.com,24.2,546
huffingtonpost.com,24.1,334
chicagotribune.com,23.8,2019
people.com,21.6,995
slate.com,21.4,1383
independent.co.uk,21.3,514
cbslocal.com,20.9,2160
go.com,20.5,434
snopes.com,20.3,2302
newyorker.com,20.1,1459
msnbc.com,20,2869
vanityfair.com,19.5,2884
bloomberg.com,19.4,444
nymag.com,19.4,2241
theguardian.com,18.9,140
usnews.com,18.8,821
theverge.com,18.6,443
fortune.com,18.5,2689
hollywoodreporter.com,18.5,1612
variety.com,18.5,1420
vice.com,17.6,166
apnews.com,17.5,3370
weather.com,17.5,261
dailymail.co.uk,17.3,158
marketwatch.com,17.3,1149
yelp.com,17.1,185
buzzfeed.com,16.9,206
forbes.com,16.9,252
gizmodo.com,16.9,508
tmz.com,16.9,1137
today.com,16.9,3673
deadline.com,16.5,2314
rollingstone.com,16.5,1946
qz.com,16.3,2156
pbs.org,16.2,1918
telegraph.co.uk,16.2,553
wired.com,16,1353
axios.com,15.7,4585
washingtonexaminer.com,15.5,7553
miamiherald.com,15.3,4021
zillow.com,15.3,230
ew.com,15,2073
thinkprogress.org,15,5070
mercurynews.com,14.7,4540
sfgate.com,14.7,1258
bbc.com,14.6,92
techcrunch.com,14.6,893
redd.it,14.3,247
cbssports.com,14.2,602
pagesix.com,14.2,2824
bleacherreport.com,14,617
craigslist.org,13.9,107
mashable.com,13.9,1518
arstechnica.com,13.8,1236
cbc.ca,13.8,984
vulture.com,13.8,1574
usps.com,13.4,370
thesun.co.uk,13.3,837
bustle.com,13.1,1387
fivethirtyeight.com,13.1,1816
politifact.com,12.9,9880
breitbart.com,12.8,318
news.com.au,12.8,897
homedepot.com,12.7,374
motherjones.com,12.6,7484
nbcsports.com,12.6,1375
avclub.com,12.5,1466
theweek.com,12.5,7619
bostonglobe.com,12.4,4602
espn.com,12.4,99
webmd.com,12.4,560
express.co.uk,12.3,634
salon.com,12.3,5417
ticketmaster.com,12.3,803
washingtontimes.com,12.3,7141
irs.gov,12.2,694
chase.com,12.1,138
intuit.com,12.1,294
livescience.com,12,2377
mirror.co.uk,12,1167
eventbrite.com,11.9,667
gfycat.com,11.8,266
gofundme.com,11.8,1618
metro.co.uk,11.8,1640
nationalgeographic.com,11.8,1641
walmart.com,11.7,188
aol.com,11.6,325
bbc.co.uk,11.5,101
ups.com,11.5,423
target.com,11.4,415
thewrap.com,11.4,7454
lifehacker.com,11,676
aljazeera.com,10.9,2543
glassdoor.com,10.9,401
hulu.com,10.9,234
allrecipes.com,10.8,977
fedex.com,10.8,454
xfinity.com,10.8,281
abc.net.au,10.7,1053
bankofamerica.com,10.7,241
realclearpolitics.com,10.7,5507
globalnews.ca,10.6,3215
history.com,10.4,2081
nationalreview.com,10.3,6233
space.com,10.3,3489
thecut.com,10.3,3757
scientificamerican.com,10.2,4025
economist.com,10,2378
cdc.gov,9.8,1828
smithsonianmag.com,9.7,6064
theconversation.com,8.6,3776
denverpost.com,8.3,9148
ajc.com,8.1,7678
newrepublic.com,7.4,15481
sun-sentinel.com,7.4,13360
abc7.com,7.1,10697
biography.com,6.6,5287
c-span.org,5.9,22339
msn.com,2.9,50
voanews.com,2.4,3153
