# ----------------------------------------
# Alexa Internet
# Audience Overlaps for reuters.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
reuters.com,100,580
bloomberg.com,37.8,444
cnbc.com,36.2,555
wsj.com,34.1,546
cnn.com,29.7,104
washingtonpost.com,28.7,226
businessinsider.com,26.9,373
marketwatch.com,26.9,1149
nytimes.com,26.6,117
ft.com,25.5,1870
thehill.com,25.5,829
usatoday.com,25.5,440
nbcnews.com,25.3,912
cbsnews.com,25.1,750
npr.org,24.4,599
foxnews.com,23.6,258
abcnews.go.com,23.1,1081
latimes.com,22.9,998
theguardian.com,22.8,140
independent.co.uk,22.6,514
fortune.com,21.9,2689
newsweek.com,21.6,1604
forbes.com,21.1,252
politico.com,21,1074
nypost.com,20.9,734
time.com,20.6,767
vox.com,19.9,1117
seekingalpha.com,19.7,2012
telegraph.co.uk,19.7,553
theatlantic.com,19.5,901
bbc.com,19.4,92
thedailybeast.com,19,1288
huffingtonpost.com,18.8,334
theverge.com,18.8,443
techcrunch.com,18.3,893
qz.com,17.7,2156
dailymail.co.uk,17.2,158
nydailynews.com,17.1,1835
investopedia.com,16.7,624
usnews.com,16.6,821
chicagotribune.com,16.5,2019
go.com,16.2,434
aljazeera.com,15.9,2543
nasdaq.com,15.9,3854
bbc.co.uk,15.7,101
vice.com,15.2,166
newyorker.com,15,1459
wired.com,15,1353
economist.com,14.9,2378
slate.com,14.7,1383
cbc.ca,14.3,984
variety.com,14.3,1420
gizmodo.com,14.1,508
express.co.uk,13.9,634
cbslocal.com,13.8,2160
redd.it,13.8,247
apnews.com,13.7,3370
hollywoodreporter.com,13.5,1612
thesun.co.uk,13.5,837
yelp.com,13.5,185
fool.com,13.4,2913
vanityfair.com,13.4,2884
arstechnica.com,13.3,1236
people.com,13.3,995
scmp.com,13.3,3228
buzzfeed.com,12.9,206
nymag.com,12.8,2241
glassdoor.com,12.7,401
news.com.au,12.7,897
espn.com,12.6,99
snopes.com,12.3,2302
bleacherreport.com,12.2,617
mirror.co.uk,12.2,1167
prnewswire.com,12,4713
statista.com,12,2389
mashable.com,11.9,1518
weather.com,11.9,261
medium.com,11.8,268
abc.net.au,11.6,1053
axios.com,11.5,4585
zillow.com,11.4,230
linkedin.com,11.3,34
morningstar.com,11.3,5050
gfycat.com,11.2,266
rollingstone.com,11.2,1946
deadline.com,11.1,2314
engadget.com,11.1,649
dw.com,11,1126
metro.co.uk,10.9,1640
bizjournals.com,10.8,3552
crunchbase.com,10.7,1981
craigslist.org,10.6,107
pbs.org,10.4,1918
thebalance.com,10.4,1255
urbandictionary.com,10.4,507
cbssports.com,10.3,602
sfgate.com,10.3,1258
theglobeandmail.com,10.3,3459
washingtonexaminer.com,10.3,7553
lifehacker.com,10.2,676
quora.com,10.2,100
tripadvisor.com,10.2,239
businesswire.com,10,7564
thestreet.com,10,8613
streamable.com,9.9,1496
tmz.com,9.9,1137
eventbrite.com,9.8,667
intuit.com,9.8,294
thesaurus.com,9.8,284
imgur.com,9.7,51
webmd.com,9.7,560
usps.com,9.5,370
chase.com,9.4,138
chron.com,9.4,832
irs.gov,9.4,694
rottentomatoes.com,9.3,400
globalnews.ca,9.2,3215
outbrain.com,9.2,354
europa.eu,8.6,726
sec.gov,8.6,5385
washingtontimes.com,8.6,7141
recode.net,8.1,8530
aol.com,8,325
straitstimes.com,7.5,3958
barrons.com,7.4,16799
voanews.com,7.4,3153
smh.com.au,7.3,2638
msn.com,7.1,50
tradingeconomics.com,7.1,6097
investing.com,7,628
investors.com,6.9,10258
globenewswire.com,6.4,17245
zacks.com,6.2,11779
foxbusiness.com,6,8820
japantimes.co.jp,5.8,4962
4-traders.com,3.8,29718
indiatimes.com,3.7,225
nikkei.com,3.5,964
yahoo.com,3.4,7
moneycontrol.com,3,805
advfn.com,2.8,8870
rt.com,2.5,306
ndtv.com,2.4,402
business-standard.com,2.2,5082
livemint.com,2.2,6606
benzinga.com,2.1,34358
streetinsider.com,2.1,55289
ycharts.com,2.1,31220
bloomberg.co.jp,2,13169
