# ----------------------------------------
# Alexa Internet
# Audience Overlaps for techcrunch.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
techcrunch.com,100,893
theverge.com,37.6,443
cnbc.com,27.4,555
businessinsider.com,26.7,373
engadget.com,26.7,649
crunchbase.com,26.1,1981
wired.com,25.8,1353
fortune.com,24.7,2689
mashable.com,24.1,1518
forbes.com,22.5,252
bloomberg.com,22.3,444
medium.com,21.4,268
wsj.com,20.4,546
gizmodo.com,20.3,508
arstechnica.com,20.1,1236
digitaltrends.com,19.5,1082
qz.com,18.8,2156
usatoday.com,18.8,440
recode.net,18.4,8530
reuters.com,18.3,580
lifehacker.com,18.2,676
fastcompany.com,18,3471
thenextweb.com,17.2,5495
nytimes.com,17.1,117
cnn.com,16.9,104
venturebeat.com,16.9,6185
inc.com,16.7,2041
time.com,16.6,767
npr.org,16.3,599
washingtonpost.com,16.3,226
marketwatch.com,16.2,1149
ycombinator.com,16,1586
latimes.com,15.9,998
variety.com,15.9,1420
zdnet.com,15.7,3490
cbsnews.com,15.3,750
pcmag.com,15.2,1533
theatlantic.com,15,901
techradar.com,14.9,660
huffingtonpost.com,14.6,334
nbcnews.com,14.6,912
theguardian.com,14.6,140
hackernoon.com,14.4,3828
independent.co.uk,14.4,514
angel.co,14.3,2514
glassdoor.com,14.3,401
macrumors.com,14.3,1906
vice.com,14.3,166
yelp.com,14.2,185
eventbrite.com,13.9,667
nypost.com,13.9,734
vox.com,13.9,1117
quora.com,13.7,100
slack.com,13.7,244
adweek.com,13.6,4739
bgr.com,13.4,4842
foxnews.com,13.4,258
newsweek.com,13.4,1604
abcnews.go.com,13.3,1081
buzzfeed.com,13.3,206
hubspot.com,13.2,605
investopedia.com,13.2,624
androidcentral.com,13,1692
9to5mac.com,12.8,4693
imore.com,12.8,3374
telegraph.co.uk,12.8,553
entrepreneur.com,12.7,1713
thehill.com,12.7,829
tomsguide.com,12.6,807
kickstarter.com,12.3,604
redd.it,12.3,247
seekingalpha.com,12.2,2012
slate.com,12.2,1383
thedailybeast.com,12.2,1288
makeuseof.com,12,1354
ft.com,11.9,1870
go.com,11.9,434
nymag.com,11.9,2241
prnewswire.com,11.8,4713
bizjournals.com,11.7,3552
lifewire.com,11.7,705
howtogeek.com,11.6,942
producthunt.com,11.6,4043
apple.com,11.5,72
coindesk.com,11.5,3133
polygon.com,11.5,943
github.com,11.4,64
usnews.com,11.4,821
zillow.com,11.4,230
intuit.com,11.3,294
linkedin.com,11.3,34
fool.com,11.1,2913
newyorker.com,11.1,1459
statista.com,11,2389
chase.com,10.8,138
stackexchange.com,10.8,123
airbnb.com,10.7,297
pcworld.com,10.7,2398
craigslist.org,10.6,107
politico.com,10.6,1074
googleblog.com,10.5,3420
weather.com,10.5,261
hollywoodreporter.com,10.4,1612
nydailynews.com,10.4,1835
androidauthority.com,10.2,2765
gfycat.com,10.2,266
people.com,10.1,995
usps.com,10.1,370
list-manage.com,10,471
urbandictionary.com,10,507
chicagotribune.com,9.9,2019
androidpolice.com,9.8,4384
cbslocal.com,9.8,2160
express.co.uk,9.8,634
irs.gov,9.8,694
technologyreview.com,9.8,8499
zendesk.com,9.8,406
businesswire.com,9.7,7564
cbssports.com,9.7,602
meetup.com,9.7,920
trustedreviews.com,9.7,2848
vanityfair.com,9.7,2884
americanexpress.com,9.6,425
bleacherreport.com,9.6,617
ticketmaster.com,9.6,803
bankofamerica.com,9.5,241
espn.com,9.5,99
ups.com,9.5,423
zoom.us,9.5,488
techrepublic.com,9.4,2698
macworld.co.uk,9.1,4045
geekwire.com,8.8,17931
pocket-lint.com,8.6,11712
theregister.co.uk,8.6,6970
macworld.com,8.3,7536
computerworld.com,7.9,9139
fb.com,7.9,6684
techadvisor.co.uk,7.7,4034
socialmediaexaminer.com,7.4,11503
popsci.com,7.3,6609
wired.co.uk,7.3,10745
blog.google,7.2,12535
cnet.com,7.2,170
appleinsider.com,7.1,11026
cointelegraph.com,7.1,5538
cultofmac.com,7.1,12590
dailydot.com,7,7886
gadgethacks.com,7,7866
9to5google.com,6.4,12099
bufferapp.com,6.2,13970
extremetech.com,5.7,10319
idownloadblog.com,5.5,9618
slashgear.com,5.5,18058
techhive.com,2.9,27939
itmedia.co.jp,2.3,1179
google.com,2.2,1
ndtv.com,2.2,402
