# ----------------------------------------
# Alexa Internet
# Audience Overlaps for people.com 6/13/2018
# ----------------------------------------

Site,Blended Overlap Score,Traffic Rank
people.com,100,995
eonline.com,40,2350
usmagazine.com,38.7,3813
tmz.com,29,1137
nydailynews.com,27.3,1835
abcnews.go.com,27.1,1081
vanityfair.com,26.5,2884
dailymail.co.uk,26.1,158
foxnews.com,25.9,258
pagesix.com,25.5,2824
hollywoodreporter.com,25,1612
cbsnews.com,24.9,750
ew.com,24.9,2073
variety.com,24.8,1420
usatoday.com,24.6,440
nypost.com,24.3,734
latimes.com,24,998
etonline.com,23.2,11891
nbcnews.com,21.6,912
vulture.com,21.2,1574
newsweek.com,21.1,1604
washingtonpost.com,21.1,226
thedailybeast.com,20.7,1288
today.com,20.6,3673
deadline.com,20.5,2314
huffingtonpost.com,20.5,334
npr.org,20.5,599
popsugar.com,20.4,1813
cnn.com,20.3,104
time.com,20.1,767
bustle.com,19.8,1387
rollingstone.com,19.8,1946
hollywoodlife.com,19.5,8413
thesun.co.uk,18.9,837
billboard.com,18.8,1172
buzzfeed.com,18,206
thehill.com,18,829
chicagotribune.com,17.9,2019
nytimes.com,17.8,117
businessinsider.com,17.4,373
cosmopolitan.com,17.2,2024
refinery29.com,17,2759
go.com,16.8,434
independent.co.uk,16.8,514
vox.com,16.8,1117
mirror.co.uk,16.1,1167
cnbc.com,16,555
newyorker.com,15.6,1459
theatlantic.com,15.4,901
cbslocal.com,15.3,2160
slate.com,15.3,1383
yelp.com,15.1,185
metro.co.uk,15,1640
politico.com,15,1074
justjared.com,14.9,5081
news.com.au,14.9,897
aol.com,14.7,325
thecut.com,14.5,3757
wsj.com,14.5,546
avclub.com,14.4,1466
telegraph.co.uk,14.3,553
nymag.com,14.1,2241
heavy.com,13.9,1379
elle.com,13.7,4027
bleacherreport.com,13.5,617
mercurynews.com,13.5,4540
zillow.com,13.5,230
snopes.com,13.4,2302
theguardian.com,13.4,140
vice.com,13.4,166
harpersbazaar.com,13.3,5523
reuters.com,13.3,580
express.co.uk,13.2,634
vogue.com,13.2,3886
mashable.com,13.1,1518
thewrap.com,13.1,7454
ticketmaster.com,13.1,803
forbes.com,12.9,252
gq.com,12.9,2707
weather.com,12.9,261
cbssports.com,12.8,602
indiewire.com,12.8,3223
elitedaily.com,12.6,5360
rottentomatoes.com,12.5,400
usnews.com,12.4,821
theverge.com,12.3,443
tvguide.com,12.3,2607
fortune.com,12.1,2689
complex.com,12,2717
instyle.com,12,11264
target.com,12,415
biography.com,11.8,5287
glamour.com,11.8,8632
nordstrom.com,11.8,798
gofundme.com,11.7,1618
espn.com,11.5,99
sbnation.com,11.5,2103
hellogiggles.com,11.4,9879
usps.com,11.4,370
gizmodo.com,11.3,508
eater.com,11.1,2327
sfgate.com,11.1,1258
bloomberg.com,11,444
bravotv.com,11,6897
jezebel.com,11,2690
ranker.com,11,1292
allrecipes.com,10.8,977
craigslist.org,10.8,107
eventbrite.com,10.8,667
groupon.com,10.7,654
hulu.com,10.7,234
thisisinsider.com,10.7,5292
redd.it,10.6,247
nme.com,10.5,3898
foodnetwork.com,10.4,1658
radaronline.com,10.4,16604
uproxx.com,10.4,4562
cinemablend.com,10.2,4505
homedepot.com,10.2,374
marketwatch.com,10.2,1149
chase.com,10.1,138
realtor.com,10.1,715
techcrunch.com,10.1,893
ups.com,10.1,423
etsy.com,10,186
famousbirthdays.com,10,2781
retailmenot.com,9.9,1194
teenvogue.com,9.9,10423
walmart.com,9.9,188
webmd.com,9.9,560
inquisitr.com,9.8,9951
patch.com,9.8,468
digitalspy.com,9.7,2213
zimbio.com,9.7,4250
townandcountrymag.com,9.4,11290
intouchweekly.com,9.3,16027
goodhousekeeping.com,9.2,5440
tvline.com,9.1,5113
wmagazine.com,9.1,21467
gettyimages.com,7.2,1942
romper.com,7,18277
lifeandstylemag.com,6.4,30508
toofab.com,6.1,15800
hellomagazine.com,5,786
imdb.com,4.9,57
msn.com,3.6,50
perezhilton.com,3.5,7084
celebritynetworth.com,3,14774
bbc.com,2.9,92
instagram.com,2.8,15
